text,label,events
"Article 92 of the Treaty states: `Save as otherwise provided in this Treaty, any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods shall, in so far as it affects trade between Member States, be incompatible with the common market.'",prem,"['article state ', ' provide treaty', ' grant state', ' grant form', 'which distort ', 'which threaten ', ' to distort petition', ' favour undertaking', 'it affect trade']"
"So, in order for there to be State aid within the meaning of that provision it is necessary, first, for there to be aid favouring certain undertakings or the production of certain goods and, second, for that advantage to come from the State or State resources.",prem,[' favour undertaking']
"It follows that if the reasoning in the contested decision to the effect that there was no advantage for the Belgian PMU was correct, the Court of First Instance was right to hold that that was enough in itself to justify the rejection of the complaint, and that it did not need to examine Ladbroke's argument that the Belgian PMU's French revenue came from a compulsory levy provided for under rules of French public law.",prem,"['it follow ', 'there be advantage', ' to justify rejection', ' to examine argument', 'revenue come levy', ' provide rule']"
"Consequently, it has to be considered whether the Court of First Instance was right to accept the reasoning in the contested decision to the effect that there was no treatment favouring the Belgian PMU.",prem,"['it have ', ' to accept reasoning', 'there be treatment', ' favour pmu']"
"Ladbroke challenges the reasoning in paragraphs 59 to 63 of the contested judgment, in which the Court of First Instance did not find fault with the finding in the contested decision that the Belgian PMU was not favoured because its revenue from bets taken in France under the contested agreement was obtained at a rate equivalent to that which it would have received if the bets on Belgian races were taken directly by it in Belgium.",prem,"['ladbroke challenge reasoning', 'ladbroke challenge paragraph', 'court do find fault', 'court do find finding', 'pmu be favour ', ' take france', ' take agreement', 'revenue be obtain rate', 'it would have receive ', 'bet be take it', 'bet be take belgium']"
"The Court of First Instance stated, in particular, in paragraphs 60 and 62 of the contested judgment, that a comparison between the rate of revenue realized by the Belgian PMU in France and in Belgium on bets on Belgian races was the appropriate criterion for determining whether the Belgian PMU benefited from an advantage for the purposes of Article 92, since Article 15(3) of Law No 64-1279 established as a general rule that bets on horse-races run abroad were to be subject to the statutory and fiscal levies in force in the country in which the races were organized.",prem,"['court state paragraph', ' realize pmu', ' realize france', ' realize bet', 'pmu benefit advantage', 'pmu benefit purpose', 'article establish rule', 'race be organize ']"
"According to the Court of First Instance, the way in which the levy on bets on Belgian races is treated in France, whereby the Belgian PMU receives a share of the levy comparable to that which it would receive if the Belgian statutory and fiscal retentions were applied, does not therefore constitute a measure which derogates from the scheme of the general system but on the contrary accords with that general system.",prem,"[' accord court', 'levy be treat france', 'pmu receive share', 'it would receive ', 'retention be apply ', ' stitute measure', 'which derogate scheme']"
"Ladbroke claims, however, that the comparison should have been between the levies on bets placed in France on non-French races and the levies on bets placed in France on French races.",prem,"['ladbroke claim ', ' place france', ' place race', ' place france', ' place race']"
"If a Member State claims to regulate a particular economic activity (by way of taxation or imposition of levies), it must treat all such economic activity equally.",prem,"['state claim ', ' to regulate activity', ' to regulate way', 'it must treat activity']"
"The general system for determining the statutory and fiscal retentions on betting in France should therefore, contrary to the finding of the Court of First Instance, be that established for bets placed in France and not that established by Article 15(3) of Law No 64-1279, of which, moreover, the Belgian PMU is the sole beneficiary.",prem,"[' determine retention', ' bet france', ' establish bet', ' place france', ' establish article']"
