text,label,events
"By its first ground of appeal, which is in four parts, the appellant challenges the judgment of the Court of First Instance in so far as it found that the contested decision was defective in that it excluded from the scope of Article 92(1) of the Treaty the measures relating to (i) the amendment in 1985 and 1986 of the allocation of betting levies, (ii) the cash-flow benefits granted to the PMU as a result of the authorisation to defer payment of certain of those levies, (iii) the PMU's access to winnings unclaimed by bettors and (iv) the exemption from the one-month delay rule for the deduction of VAT in respect of the period after 1 January 1989.",prem,"['appellant challenge judgment', 'it find ', 'it exclude scope', ' relate amendment', ' grant result', ' to defer payment']"
"In the first part of the first ground of appeal, the appellant contends that the Court of First Instance made several errors of law in holding that the three criteria relied on by the Commission in declining to categorise the measure concerning the reduction in the public levies for the benefit of the PMU as State aid were not an appropriate basis for ruling out the existence of aid for the purposes of Article 92(1) of the Treaty.",prem,"['company tend ', 'court make error', ' rely commission', ' to categorise company', ' cerne reduction', ' cerne aid', ' rule existence', ' rule purpose']"
"The appellant maintains, first of all, that in reaching that conclusion the Court of First Instance gave insufficient grounds, contrary to Article 190 of the EC Treaty (now Article 253 EC), for certain steps in its reasoning, that it failed to adopt a position with regard to certain crucial factors relied on both by the Commission, in the contested decision and in its pleadings before the Court of First Instance, and by the appellant itself, in its statement in intervention, and that it based part of its reasoning on false premisses.",prem,"['appellant maintain ', ' reach clusion', 'court give ground', 'court give step', 'it fail ', ' to adopt position', ' rely commission', 'it base part', 'it base premiss']"
It should be noted at the outset that the appellant's argument relates to the nature and scope of review of the Commission's assessment as to whether a measure adopted by national authorities is to be categorised as State aid.,prem,"['argument relate nature', ' adopt authority', ' to be categorise aid']"
"According to the appellant, the particular nature of the review of State aid means that, when the court carrying out the review is called on to assess the facts of the case in the light of legal criteria, it must limit itself to satisfying itself that there is no manifest error of assessment.",prem,"[' accord appellant', 'nature mean ', ' carry review', ' to assess fact', ' to assess light', 'it must limit itself', ' satisfy itself', 'there be error']"
"That form of review cannot be reserved for special circumstances, whose existence is in any event often difficult to ascertain.",prem,['form can be not reserve circumstance']
"Consequently, the Court of First Instance erred in law in its definition of the nature of the review which it was to carry out in that it stated, in essence, that in the absence of special circumstances, arising in particular from the complex nature of the State intervention in question, review by it is not to be confined to determining whether there has been a manifest error of assessment as to whether aid is involved.",prem,"['court err law', 'court err definition', 'it state essence', ' arise nature', 'aid be involve ']"
"The short answer to that is that State aid, as defined in the Treaty, is a legal concept which must be interpreted on the basis of objective factors.",prem,"[' define treaty', 'which must be interpret basis']"
"For that reason, the Community courts must in principle, having regard both to the specific features of the case before them and to the technical or complex nature of the Commission's assessments, carry out a comprehensive review as to whether a measure falls within the scope of Article 92(1) of the Treaty.",prem,"[' have regard', 'rt must carry review', 'measure fall scope']"
The Court of First Instance therefore did not err in law so far as concerns the scope of judicial review of the Commission's assessments.,prem,"['court do number', 'company cern scope']"
