text,label,events
"As a preliminary point, it must be observed that the Commission has abandoned its claims made in the alternative for the contested judgment to be set aside in so far as it partially annulled the contested decision.",prem,"['it must be observe ', 'commission have abandon claim', ' make alternative', 'judgment to be set ', 'it annul decision']"
"It must be recalled that Article 173 of the Treaty, by virtue of which the Court of Justice is to review the legality of Community acts, provides that any natural or legal person may on grounds of lack of competence, infringement of an essential procedural requirement, infringement of this Treaty or of any rule of law relating to its application, or misuse of powers institute proceedings against a decision addressed to that person or against a decision which, although in the form of a regulation or a decision addressed to another person, is of direct and individual concern to the former.",prem,"['it must be recall ', ' to review legality', 'article provide ', ' relate application', 'person may institute proceeding', 'person may institute decision', ' address person', ' address person']"
"Where a decision is not of individual concern to a natural or legal person within the meaning of that provision, which is an essential condition for having locus standi in proceedings seeking judicial review of a Community act, such proceedings are inadmissible and that inadmissibility therefore constitutes a ground involving a question of public policy which may, and even must, be raised of its own motion by the Community judicature (see, with regard to a party having no interest in bringing or in maintaining an appeal, Case C‑19/93 P Rendo and Others v Commission [1995] ECR I‑3319, paragraph 13).",prem,"[' have standi', ' have proceeding', ' seek review', 'inadmissibility stitute ground', 'inadmissibility stitute case', ' involve question', 'which must be raise motion', ' have interest', ' maintain appeal']"
"According to settled case‑law, persons other than those to whom a decision is addressed may only claim to be individually concerned if that decision affects them by reason of certain attributes which are peculiar to them or by reason of circumstances in which they are differentiated from all other persons and by virtue of these factors distinguishes them individually just as in the case of the person addressed (see, inter alia, judgments in Case 25/62 Plaumann v Commission [1963] ECR 95; Case C‑321/95 P Greenpeace Council and Others v Commission [1998] ECR I‑1651, paragraphs 7 and 28, and Italy and Sardegna Lines v Commission, cited above, paragraph 32).",prem,"[' accord caselaw', 'decision be address ', 'person may claim ', 'decision affect they', 'decision affect reason', 'they be differentiate person', 'decision distinguish they', ' see judgment']"
"The Court has thus held that an undertaking cannot, in principle, contest a Commission decision prohibiting a sectoral aid scheme if it is concerned by that decision solely by virtue of belonging to the sector in question and being a potential beneficiary of the scheme.",prem,"['court have hold ', ' prohibit scheme', ' belong sector']"
"Such a decision is, vis-à-vis the undertaking should it seek to contest the decision, a measure of general application covering situations which are determined objectively and entails legal effects for a class of persons envisaged in a general and abstract manner (Van der Kooy and Others v Commission, cited above, paragraph 15; Case C-6/92 Federmineraria and Others v Commission [1993] ECR I‑6357, paragraph 14, and Italy and Sardegna Lines v Commission, paragraph 33).",prem,"['it should seek ', ' to test decision', 'which be determine ', 'which entail effect', ' envisage manner']"
"However, it is appropriate to recall the position adopted by the Court in the judgment in Italy and Sardegna Lines v Commission with regard to Commission Decision 98/95/EC of 21 October 1997 concerning aid granted by the Region of Sardinia (Italy) to shipping companies in Sardinia (OJ 1998 L 20, p. 30), which required the Italian Republic to recover from each beneficiary of the loans and leases in question the element of aid which they contained.",prem,"[' to recall position', ' adopt court', ' adopt judgment', ' adopt regard', ' grant region', 'which require republic', ' to recover element', ' to recover beneficiary', 'they taine ']"
"In paragraphs 34 and 35 of that judgment, the Court held that, since Sardegna Lines was not only concerned by Decision 98/95 by virtue of being an undertaking in the shipping sector in Sardinia and a potential beneficiary of the aid scheme for Sardinian shipowners, but also by virtue of being an actual beneficiary of individual aid granted under that scheme, the recovery of which had been ordered by the Commission, it was individually concerned by that decision and its action directed against that decision was admissible.",prem,"['court hold ', ' cerne decision', ' grant scheme', 'recovery have be order commission', 'it be cerne decision', ' direct decision']"
"Contrary to what the Commission claims, that is precisely the case here, since the applicants are in a different position from that of applicants for whom a Commission decision is in the nature of a measure of general application.",prem,['commission claim ']
"The former are not only concerned by the contested decision by virtue of being undertakings in the road haulage sector in the region and potential beneficiaries of the aid scheme in question, but also by virtue of being actual recipients of individual aid granted under that scheme, the recovery of which has been ordered by the Commission .",prem,"[' cerne decision', ' grant scheme', 'recovery have be order commission']"
"As paragraphs 10 and 11 of the contested judgment show, the number of applications accepted and the amount budgeted for the aid in question during the periods from 1981 to 1985 and from 1985 to 1995 were specified in section II of the reasons for the contested decision and the Commission must therefore have known of the existence of those actual recipients.",prem,"['paragraph show ', ' budget aid', ' budget period', 'number be specify section', 'commission must have know existence']"
"Since it follows from the foregoing that, in this case, the actions brought by the applicants were admissible, the Court of First Instance did not err in law by not raising of its own motion, as a ground of inadmissibility, the point that those applicants were not individually concerned by the contested decision.",prem,"['it follow forego', ' bring applicant', 'applicant be cerne decision']"
"It must be noted in that regard that Article 92(1) of the Treaty defines the aid regulated by it as being any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods, in so far as it affects trade between Member States.",prem,"['article define aid', ' regulate it', ' grant state', ' grant form', 'which distort ', 'which threaten ', ' to distort petition', ' favour undertaking', 'it affect trade']"
The procedural rules laid down by the Treaty vary depending on whether aid is existing aid or new aid.,prem,"[' lay treaty', 'rule vary ']"
