text,label,events
"The Commission, the EFTA Surveillance Authority and Iberdrola claim, in essence, that, in examining whether the private investor test was applicable in the circumstances, the General Court took into account, for that purpose, the objective pursued by the French State when it adopted the contested measure;",prem,"['commission claim essence', 'court take objective', 'court take account', 'court take purpose', ' pursue state', 'it adopt measure']"
"secondly, it confused the roles of the State as shareholder and the State exercising its powers of taxation;",prem,"['it fuse role', 'state exercise power']"
"thirdly, it acted in breach of the principle of equal treatment as between public and private undertakings;",prem,['it act breach']
"and, fourthly, it infringed the rules regarding allocation of the burden of proof.",prem,"['it infringe rule', ' regard allocation']"
"According to case-law, a measure granted through State resources which puts the recipient undertaking in a more favourable financial situation than that of its competitors and which, for that reason, distorts or threatens to distort competition and affects trade between Member States is not excluded outright from being categorised as ‘aid’ for the purposes of Article 87 EC because of the aims pursued by that State (see, to that effect, Case C-6/97 Italy v Commission [1999] ECR I-2981, paragraph 15; Case C-156/98 Germany v Commission [2000] ECR I-6857, paragraph 25 and the case-law cited; and Joined Cases C-71/09 P, C-73/09 P and C-76/09 P Comitato ‘Venezia vuole vivere’ and Others v Commission [2011] ECR I-4727, paragraph 94 and the case-law cited).",prem,"[' accord law', ' grant resource', 'which put undertaking', 'which put situation', 'which distort ', 'which threaten ', ' to distort petition', 'which affect trade', ' exclude aim', ' be categorise aid', ' be categorise purpose', ' pursue state', ' see effect']"
"Article 87(1) EC does not distinguish between measures of State intervention by reference to their causes or their aims but defines them in relation to their effects (Comitato ‘Venezia vuole vivere’ and Others v Commission, paragraph 94 and the case-law cited).",prem,"['ec do distinguish measure', 'ec do distinguish reference', 'ec define they', 'ec define paragraph', 'ec define relation']"
"However, it is also clear from settled case-law that the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 87 EC are not met if the recipient public undertaking could, in circumstances which correspond to normal market conditions, obtain the same advantage as that which has been made available to it through State resources.",prem,"['measure must meet ', ' to be treat aid', ' to be treat purpose', 'dition be meet ', 'company respond dition', 'ld obtain advantage', 'which have be make available', 'which have be make resource']"
"In the case of public undertakings, that assessment is made by applying, in principle, the private investor test (see, to that effect, Case C-303/88 Italy v Commission [1991] ECR I-1433, paragraph 20; Case C-482/99 France v Commission [2002] ECR I-4397, paragraphs 68 to 70; and Comitato ‘Venezia vuole vivere’ and Others v Commission, paragraph 91 and the case-law cited).",prem,"['assessment be make ', ' apply see', ' apply case', ' apply principle', ' apply effect']"
"In particular, it is clear from case-law that, in order to assess whether the same measure would have been adopted in normal market conditions by a private investor in a situation as close as possible to that of the State, only the benefits and obligations linked to the situation of the State as shareholder — to the exclusion of those linked to its situation as a public authority — are to be taken into account (see, to that effect, Case 234/84 Belgium v Commission [1986] ECR 2263, paragraph 14; Case 40/85 Belgium v Commission [1986] ECR 2321, paragraph 13; Joined Cases C-278/92 to C-280/92 Spain v Commission [1994] ECR I-4103, paragraph 22; and Case C-334/99 Germany v Commission [2003] ECR I-1139, paragraph 134).",prem,"['measure would have be adopt number', 'measure would have be adopt dition', 'measure would have be adopt investor', 'measure would have be adopt situation', ' link situation', ' link exclusion', ' link situation', ' to be take account', ' see case', ' see effect']"
"It follows that the roles of the State as shareholder of an undertaking, on the one hand, and of the State acting as a public authority, on the other, must be distinguished , as has been correctly argued by the Commission, the EFTA Surveillance Authority and Iberdrola and as the General Court held in paragraphs 223 to 228 of the judgment under appeal.",prem,"['it follow ', ' act authority', 'role must be distinguish ', ' have be argue commission', 'court hold paragraph']"
"The applicability of the private investor test ultimately depends, therefore, on the Member State concerned having conferred, in its capacity as shareholder and not in its capacity as public authority, an economic advantage on an undertaking belonging to it.",prem,"['applicability depend ', 'company have ', ' ferre advantage', ' ferre capacity', ' belong it']"
"It follows that, if a Member State relies on that test during the administrative procedure, it must, where there is doubt, establish unequivocally and on the basis of objective and verifiable evidence that the measure implemented falls to be ascribed to the State acting as shareholder .",prem,"['it follow ', 'state rely test', 'state rely procedure', 'there be doubt', 'it must establish basis', 'measure fall ', ' to be ascribe state', ' act shareholder']"
"That evidence must show clearly that, before or at the same time as conferring the economic advantage (see, to that effect, France v Commission, paragraphs 71 and 72), the Member State concerned took the decision to make an investment, by means of the measure actually implemented, in the public undertaking.",prem,"['evidence must show ', ' ferre advantage', 'company see france', 'company see effect', 'company take decision', ' to make investment', ' to make mean']"
"In that regard, it may be necessary to produce evidence showing that the decision is based on economic evaluations comparable to those which, in the circumstances, a rational private investor in a situation as close as possible to that of the Member State would have had carried out, before making the investment, in order to determine its future profitability.",prem,"[' to produce evidence', 'decision be base evaluation', 'investor would have have carry ', ' make investment', ' to determine profitability']"
"By contrast, for the purposes of showing that, before or at the same time as conferring the advantage, the Member State took that decision as a shareholder, it is not enough to rely on economic evaluations made after the advantage was conferred, on a retrospective finding that the investment made by the Member State concerned was actually profitable, or on subsequent justifications of the course of action actually chosen (see, to that effect, France v Commission, paragraphs 71 and 72).",prem,"['company ferre advantage', 'state take decision', 'state take shareholder', ' to rely evaluation', 'advantage be ferre ', ' make company', ' see effect']"
"If the Member State concerned provides the Commission with the requisite evidence, it is for the Commission to carry out a global assessment, taking into account — in addition to the evidence provided by that Member State — all other relevant evidence enabling it to determine whether the Member State took the measure in question in its capacity as shareholder or as a public authority .",prem,"['company provide commission', 'company provide evidence', 'commission to carry assessment', ' take evidence', ' take account', ' take addition', ' provide state', ' enable it', 'state take measure', 'state take capacity']"
"In particular, as the General Court held in paragraph 229 of the judgment under appeal, the nature and subject-matter of that measure are relevant in that regard, as is its context, the objective pursued and the rules to which the measure is subject.",prem,['court hold paragraph']
"Accordingly, in the circumstances of the case, the General Court was right to hold that the objective pursued by the French State could be taken into account, in the context of the requisite global assessment, for the purposes of determining whether the State had indeed acted in its capacity as shareholder and whether, as a consequence, the private investor test was applicable in the present case.",prem,"[' pursue company', 'objective be take account', 'objective be take text', 'objective be take purpose', 'state have act capacity']"
"As regards the question whether the applicability of the private investor test could be ruled out in the present case simply because the means employed by the French State were fiscal, it should be recalled that, under Article 87(1) EC, any aid granted through State resources — in any form whatsoever — which, in terms of its effects, distorts or threatens to distort competition is incompatible with the common market in so far as it affects trade between Member States (see Case C-156/98 Germany v Commission, paragraph 25 and the case-law cited).",prem,"[' regard question', 'applicability be rule case', ' employ state', 'it should be recall ', ' grant resource', 'which distort ', 'which threaten ', ' to distort petition', 'it affect trade', ' see case', ' see law']"
"Moreover, it has been noted in paragraph 78 above that the private investor test is applied in order to determine whether, because of its effects, the economic advantage granted, in whatever form, through State resources to a public undertaking distorts or threatens to distort competition and affects trade between Member States .",prem,"['it have be e paragraph', 'test be apply ', ' grant form', ' grant resource', 'advantage distort ', 'advantage threaten ', ' to distort petition', ' affect trade']"
"The intention underlying Article 87(1) EC and the private investor test is thus to prevent the recipient public undertaking from being placed, by means of State resources, in a more favourable position than that of its competitors (see, to that effect, Case C-387/92 Banco Exterior de España [1994] ECR I-877, paragraph 14, and Case C-6/97 Italy v Commission, paragraph 16).",prem,"[' underlie ec', ' to prevent undertaking', ' be place mean', ' be place position', ' see case', ' see effect']"
"However, the financial situation of the recipient public undertaking depends not on the means used to place it at an advantage, however that may have been effected, but on the amount that the undertaking ultimately receives.",prem,"['situation depend mean', ' to place it', ' to place advantage', 'that may have be effect ', 'undertaking receive ']"
"Consequently, when considering whether the private investor test was applicable, the General Court did not err in law by focusing its analysis, not on the fiscal nature of the means employed by the French State, but on the improvement — with a view to the opening up of the electricity market — in EDF’s financial situation and on the effects of the measure in question on competition .",prem,"['company sidere ', 'court do number', ' focus analysis', ' focus nature', ' employ state']"
"Accordingly, it follows from all of the foregoing that, in view of the objectives underlying Article 87(1) EC and the private investor test, an economic advantage must — even where it has been granted through fiscal means — be assessed inter alia in the light of the private investor test, if, on conclusion of the global assessment that may be required, it appears that, notwithstanding the fact that the means used were instruments of State power, the Member State concerned conferred that advantage in its capacity as shareholder of the undertaking belonging to it .",prem,"['it follow all', ' underlie ec', 'it have be grant mean', 'advantage must be assess light', 'that may be require ', 'it appear ', ' withstand fact', 'company ferre advantage', 'company ferre capacity', ' belong it']"
"It follows that the finding made by the General Court in paragraph 250 of the judgment under appeal, to the effect that the obligation for the Commission to verify whether capital was provided by the State in circumstances which correspond to normal market conditions exists regardless of the way in which that capital was provided by the State, is not vitiated by an error of law.",prem,"['it follow ', ' make court', ' make paragraph', 'commission to verify ', 'capital be provide state', 'capital be provide circumstance', 'company respond dition', 'obligation exist ', 'capital be provide state', ' be vitiate error']"
"As regards the argument, put forward by the Commission, the EFTA Surveillance Authority and Iberdrola, that a private investor would not have been able in comparable circumstances to make an investment such as that made by the French State, since it would have had to pay the tax and since only that State, as tax authority, could still have had at its disposal sums corresponding to that tax, it should be noted, first, that in respect of the accounting transaction in question, it is the private undertaking in EDF’s situation which would have had to pay the tax, not its shareholder.",prem,"[' regard argument', ' put commission', ' to make investment', ' make state', 'it would have have ', ' to pay tax', 'state have have disposal', 'company respond tax', 'it be e ', 'which would have have ', ' to pay tax', ' number shareholder']"
"In the present case, therefore, application of the private investor test would have made it possible to determine whether, in similar circumstances, a private shareholder would have subscribed, to an undertaking in a situation comparable with that of EDF, an amount equal to the tax due.",prem,"['application would have make ', 'shareholder would have subscribe amount', 'shareholder would have subscribe undertaking']"
