text,label,events
"It must be observed at the outset that, as the Advocate General stated in point 47 of his Opinion, the requirement as to selectivity under Article 107(1) TFEU must be clearly distinguished from the concomitant detection of an economic advantage, in that, where the Commission has identified an advantage, understood in a broad sense, as arising directly or indirectly from a particular measure, it is also required to establish that that advantage specifically benefits one or more undertakings.",prem,"['it must be observe outset', 'general state point', 'requirement must be distinguish detection', 'commission have identify advantage', ' understand sense', ' arise measure', 'it be require ', 'advantage benefit undertaking']"
"It falls to the Commission to show that the measure, in particular, creates differences between undertakings which, with regard to the objective of the measure, are in a comparable situation.",prem,"['it fall commission', 'measure create difference']"
It is necessary therefore that the advantage be granted selectively and that it be liable to place certain undertakings in a more favourable situation than that of others.,prem,"['advantage be grant ', ' to place undertaking', ' to place situation']"
"It must, however, be noted that the selectivity requirement differs depending on whether the measure in question is envisaged as a general scheme of aid or as individual aid.",prem,"['requirement differ ', 'measure be envisage scheme']"
"In the latter case, the identification of the economic advantage is, in principle, sufficient to support the presumption that it is selective.",prem,[' to support presumption']
"By contrast, when examining a general scheme of aid, it is necessary to identify whether the measure in question, notwithstanding the finding that it confers an advantage of general application, does so to the exclusive benefit of certain undertakings or certain sectors of activity .",prem,"[' examine scheme', ' withstand finding', 'it fer advantage', 'measure do benefit']"
"It follows that the appropriate comparator for establishing the selectivity of the measure at issue in the present case was to ascertain whether the procedure for concluding and setting the terms and conditions of the agreement extending mining rights, laid down in Article 26/A(5) of the Mining Act, draws a distinction between operators that are, in the light of the objective of the measure, in a comparable factual and legal situation, a distinction not justified by the nature and general scheme of the system at issue .",prem,"['it follow ', ' establish selectivity', 'company set term', ' extend right', ' lay article', 'procedure draw distinction', ' justify nature']"
"It follows from those considerations that the present case must be clearly distinguished from those cases giving rise to the case-law mentioned by the Commission in support of its arguments, set out in paragraphs 54 and 56 above, seeking to criticise the analysis made by the General Court of the legal framework governing the 2005 agreement.",prem,"['it follow sideration', 'case must be distinguish case', ' give rise', ' give law', ' mention commission', ' mention support', ' set paragraph', ' to criticise analysis', ' make court', ' govern agreement']"
"Those cases relate to provisions of national law granting relief on taxes or other charges (judgments in France v Commission, C‑241/94, EU:C:1996:353; Piaggio, C‑295/97, EU:C:1999:313; DM Transport, C‑256/97, EU:C:1999:332; P, C‑6/12, EU:C:2013:525; Ministerio de Defensa and Navantia, C‑522/13, EU:C:2014:2262; and British Telecommunications v Commission, C‑620/13 P, EU:C:2014:2309), or exceptions in matters of insolvency (judgment in Ecotrade, C‑200/97, EU:C:1998:579).",prem,"['case relate provision', ' grant relief']"
"As the Advocate General stated in point 86 of his Opinion, there is a fundamental difference between, on the one hand, the assessment of the selectivity of general schemes for exemption or relief, which, by definition, confer an advantage, and, on the other, the assessment of the selectivity of optional provisions of national law prescribing the imposition of additional charges.",prem,"['general state point', 'there be difference', ' prescribe imposition']"
