text,label,events
"With regard to the first part of the first ground of appeal, it should be recalled, in the first place, as regards the argument that the General Court distorted the facts, that it follows from the second subparagraph of Article 256(1) TFEU and the first paragraph of Article 58 of the Statute of the Court of Justice of the European Union that the General Court has exclusive jurisdiction, first, to find the facts, except where the substantive inaccuracy of its findings is apparent from the documents in the file submitted to it, and, second, to assess those facts (judgments in General Motors v Commission, C‑551/03 P, EU:C:2006:229, paragraph 51, and ThyssenKrupp Nirosta v Commission, C‑352/09 P, EU:C:2011:191, paragraph 179).",prem,"['it should be recall place', ' regard argument', 'court distort fact', 'it follow subparagraph', ' have to find fact', ' to assess judgment']"
"Therefore, the appraisal of the facts by the General Court does not constitute, save where the clear sense of the evidence produced before it is distorted, a question of law which is subject, as such, to review by the Court of Justice (judgments in Archer Daniels Midland and Archer Daniels Midland Ingredients v Commission, C‑397/03 P, EU:C:2006:328, paragraph 85, and ThyssenKrupp Nirosta v Commission, C‑352/09 P, EU:C:2011:191, paragraph 180).",prem,"[' produce it', 'sense be distort ']"
"Where an appellant alleges distortion of the evidence by the General Court, he must, under Article 256 TFEU, the first paragraph of Article 58 of the Statute of the Court of Justice of the European Union and Article 168(1)(d) of the Rules of Procedure of the Court, indicate precisely the evidence alleged to have been distorted by the General Court and show the errors of appraisal which, in his view, led to such distortion.",prem,"['appellant allege distortion', 'he must indicate evidence', ' to have be distort court', 'he show error', 'which lead distortion']"
"In addition, it is settled case-law of the Court that distortion must be obvious from the documents in the Court’s file, without there being any need to carry out a new assessment of the facts and the evidence (judgments in Lafarge v Commission, C‑413/08 P, EU:C:2010:346, paragraph 16 and the case-law cited, and Austria v Scheucher-Fleisch and Others, C‑47/10 P, EU:C:2011:698, paragraph 59 and the case-law cited).",prem,"['it be settle law', ' to carry assessment', ' to carry lafarge']"
"In the present case, the General Court found as follows in paragraphs 122 to 128 and 130 to 132 of the judgment under appeal:",prem,['court find paragraph']
"The Commission recalled in the contested decision, that the Court had already held in the judgment in Freskot [(C‑355/00, EU:C:2003:298)] that “the national legislation at issue clearly establishe[d] that the benefits provided by ELGA [were] granted through State resources and [were] imputable to the State within the meaning of the Court’s case-law (see, in particular, France v Commission, [C‑482/99, EU:C:2002:294], paragraph 24)” (recital 58).",prem,"['commission recall decision', 'court have hold judgment', 'legislation establish ', ' provide elga', 'benefit be grant resource']"
"The Commission found that:

“... under Article 5(a) of Law … 1790/1988 ... and other provisions of Greek legislation in force, ELGA’s income from the special contribution was collected by the tax authorities, entered in the State budget as State revenue and paid to ELGA from the budget of the Ministry of Agriculture (now the Ministry of Rural Development and Food).",prem,"['commission find ', 'income be lecte authority', 'income enter budget', 'income enter revenue', ' pay budget']"
"Consequently, the fact that the contributions in question are entered into the accounts as State revenue is sufficient to consider that the payments made by ELGA were financed by State resources” (recital 58).",prem,"['tribution be enter account', 'tribution be enter revenue', ' make elga', 'payment be finance recital']"
"Those findings, which are not disputed by the Hellenic Republic, suffice to conclude that the compensation payments that correspond to the contributions by farmers are State resources and are imputable to the State.",prem,"[' dispute republic', 'finding suffice clude', 'company respond tribution']"
"Therefore, contrary to what the Hellenic Republic claims, the part of the payments corresponding to the contributions by farmers may not be regarded as being private funds.",prem,"['republic claim ', ' respond tribution', 'part may be regard ', 'number may be regard ']"
"Accordingly, the fact that a part of the payments made in 2008 was financed by contributions by farmers does not preclude these being State aid financed by resources imputable to the State.",prem,"[' make 2008', 'part be finance tribution', 'fact do preclude ', ' finance resource']"
"Moreover, contrary to what the Hellenic Republic claims, the classification as State aid does not apply to the contributions paid by farmers but to the payments made in 2008.",prem,"['republic claim ', 'classification do apply tribution', ' pay farmer', ' make 2008']"
"In that regard, it must be recalled that it has been held in the context of the first and second pleas in law that neither the compensatory nature of the measures, nor the fact that they are justified by a social objective, precludes the payments made by ELGA being classified as an advantage.",prem,"['it must be recall ', 'it have be hold text', 'they be justify objective', ' make elga', 'payment be classify advantage']"
"Furthermore, the Hellenic Republic concedes that the contributions paid by farmers are not proportionate to risk and that it is possible that certain farmers pay a contribution without receiving compensation payments from ELGA.",prem,"['company cede ', ' pay farmer', 'farmer pay tribution', ' receive payment', ' receive elga']"
The payments made in 2008 were therefore independent of the contributions paid by the farmers and constituted an advantage that the beneficiary undertaking could not have obtained under normal market conditions.,prem,"[' make 2008', ' pay farmer', 'payment stitute advantage', ' undertake number', 'beneficiary have obtain dition']"
"It follows from the foregoing that the Commission was fully entitled to find that the payments made by ELGA in 2008 were advantages financed by State resources, even if they were financed in part by contributions by farmers.",prem,"['it follow forego', 'commission be entitle ', ' make elga', ' make 2008', ' finance resource', 'they be finance tribution', 'they be finance farmer']"
The Hellenic Republic has not shown that the Commission erred in classifying those payments as State aid.,prem,"['republic have show ', 'commission err ', ' classify payment', ' classify aid']"
"The contested decision states that the compensation payments made by ELGA in 2009, of EUR 415019452 in total, were made on the basis of the Inter-ministerial decree.",prem,"['decision state ', ' make elga', ' make 2009', 'payment be make basis']"
"The Inter-ministerial decree provided for compensation of EUR 425 million, on an exceptional basis, for damage in 2008 and stated that, for the purpose of paying that compensation, ELGA would take out a loan, guaranteed by the State, with a bank, for the total amount ...",prem,"['decree provide pensation', 'decree provide basis', 'decree provide damage', 'decree provide 2008', 'decree state ', ' pay pensation', 'elga would take loan', ' guarantee state']"
