text,label,events
"According to the settled case-law of the Court, classification as ‘State aid’ within the meaning of Article 107(1) TFEU requires that all the conditions set out in that provision are fulilled.",prem,"[' accord law', 'classification require ', ' set provision', 'dition be fulille ']"
"Thus, first, there must be intervention by the State or through State resources;",prem,[]
"second, the intervention must be liable to affect trade between Member States;",prem,[' to affect trade']
"third, it must confer a selective advantage on the recipient;",prem,['it must fer advantage']
"fourth, it must distort or threaten to distort competition (judgments of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraph 40, and of 21 December 2016, Commission v World Duty Free Group and Others, C‑20/15 P and C‑21/15 P, EU:C:2016:981, paragraph 53).",prem,"['it must distort ', 'it threaten ', ' to distort judgment']"
"The concept of ‘aid’ embraces not only positive benefits, such as subsidies, but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which, therefore, without being subsidies in the strict sense of the word, are similar in character and have the same effect (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 30).",prem,"['cept embrace benefit', 'which mitigate charge', 'which be include budget', 'which have judgment']"
"However, the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 107 TFEU are not met if the recipient undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (judgment of 24 January 2013, Frucona Košice v Commission, C‑73/11 P, EU:C:2013:32, paragraph 70 and the case-law cited).",prem,"['measure must meet ', ' to be treat aid', ' to be treat purpose', 'dition be meet ', 'company respond dition', 'recipient have obtain advantage', 'which have be make available', 'which have be make judgment']"
"When a public creditor grants payment facilities in respect of a debt payable to it by an undertaking, that assessment is made by applying, in principle, the private creditor test (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 32).",prem,"['creditor grant facility', 'creditor grant respect', 'assessment be make ', ' apply judgment', ' apply principle']"
"Accordingly, the private creditor test is not an exception which applies only if a Member State so requests, when all the constituent elements of State aid incompatible with the common market, as laid down in Article 107(1) TFEU, exist.",prem,"['which apply ', 'state request ', ' lay tfeu', 'element exist ']"
"In fact, that test, where applicable, is among the factors which the Commission is required to take into account for the purposes of establishing whether such aid exists (see, to that effect, judgments of 5 June 2012, Commission v EDF, C‑124/10 P, EU:C:2012:318, paragraph 103, and of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 32).",prem,"['commission be require ', ' to take account', ' to take purpose', 'aid exist ', ' see judgment', ' see effect']"
