text,label,dhananjay_events
"To determine whether the appellant should be regarded as concerned within the meaning of Article 88(2) EC and its application therefore declared admissible, the Court of First Instance began by considering whether the appellant’s competitive position in the market was affected by the granting of aid.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.763388), 'word': 'To', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97685546), 'word': ' determine whether the appellant should be', 'start': 2, 'end': 44}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93910676), 'word': ' regarded', 'start': 44, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.919047), 'word': ' as concerned within the meaning of Article', 'start': 53, 'end': 96}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5893822), 'word': ' ', 'start': 96, 'end': 97}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99806815), 'word': '88(2) EC and its application therefore declared admissible', 'start': 97, 'end': 155}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99739933), 'word': ',', 'start': 155, 'end': 156}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8624545), 'word': ' the', 'start': 156, 'end': 160}, {'entity_group': 'LABEL_1', 'score': np.float32(0.52143335), 'word': ' Court', 'start': 160, 'end': 166}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7822293), 'word': ' of First', 'start': 166, 'end': 175}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99933547), 'word': ' Instance', 'start': 175, 'end': 184}, {'entity_group': 'LABEL_0', 'score': np.float32(0.73422503), 'word': ' began by considering whether', 'start': 184, 'end': 213}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7982406), 'word': ' the', 'start': 213, 'end': 217}, {'entity_group': 'LABEL_0', 'score': np.float32(0.86730415), 'word': ' appellant’s', 'start': 217, 'end': 229}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998752), 'word': ' competitive', 'start': 229, 'end': 241}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90036106), 'word': ' position in the market was affected', 'start': 241, 'end': 277}, {'entity_group': 'LABEL_1', 'score': np.float32(0.621163), 'word': ' by', 'start': 277, 'end': 280}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92249393), 'word': ' the granting of aid.', 'start': 280, 'end': 301}]"
The Commission’s argument that the judgment in ATM was sufficient ground in itself for rejecting the appellant’s arguments relating to its competitive position cannot be accepted.,prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9987831), 'word': ' Commission’', 'start': 3, 'end': 15}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7170776), 'word': 's', 'start': 15, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8741455), 'word': ' argument that the judgment in ATM', 'start': 16, 'end': 50}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88722914), 'word': ' was sufficient', 'start': 50, 'end': 65}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99989426), 'word': ' ground', 'start': 65, 'end': 72}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9993973), 'word': ' in', 'start': 72, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99977475), 'word': ' itself', 'start': 75, 'end': 82}, {'entity_group': 'LABEL_1', 'score': np.float32(0.68857867), 'word': ' for', 'start': 82, 'end': 86}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9817176), 'word': ' rejecting the appellant’', 'start': 86, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.997721), 'word': 's', 'start': 111, 'end': 112}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99599266), 'word': ' arguments relating to its competitive position cannot be accepted', 'start': 112, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999552), 'word': '.', 'start': 178, 'end': 179}]"
"The first part of paragraph 32 of the order under appeal concerns the alleged competitive position of the appellant in relation to its members’ employers, namely the shipowners who benefit from the aid resulting from the fiscal measures at issue, not its alleged competitive position in relation to other trade unions in the negotiation of collective agreements, which is a separate argument referred to in the second part of paragraph 32.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.7642138), 'word': 'The first', 'start': 0, 'end': 9}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99466646), 'word': ' part', 'start': 9, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.59278136), 'word': ' of', 'start': 14, 'end': 17}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9473031), 'word': ' paragraph 32 of the order', 'start': 17, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995244), 'word': ' under', 'start': 43, 'end': 49}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9975383), 'word': ' appeal', 'start': 49, 'end': 56}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9602761), 'word': ' concerns the', 'start': 56, 'end': 69}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89028066), 'word': ' alleged competitive', 'start': 69, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999993), 'word': ' position', 'start': 89, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9664904), 'word': ' of the appellant in relation to its members', 'start': 98, 'end': 142}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996172), 'word': '’', 'start': 142, 'end': 143}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9902051), 'word': ' employers, namely', 'start': 143, 'end': 161}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95368016), 'word': ' the shi', 'start': 161, 'end': 169}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996597), 'word': 'powners', 'start': 169, 'end': 176}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99420327), 'word': ' who', 'start': 176, 'end': 180}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9208639), 'word': ' benefit from', 'start': 180, 'end': 193}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9425179), 'word': ' the', 'start': 193, 'end': 197}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89242804), 'word': ' aid resulting from the fiscal measures at issue, not', 'start': 197, 'end': 250}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8194276), 'word': ' its alleged', 'start': 250, 'end': 262}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99989766), 'word': ' competitive position', 'start': 262, 'end': 283}, {'entity_group': 'LABEL_1', 'score': np.float32(0.56033087), 'word': ' in', 'start': 283, 'end': 286}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999826), 'word': ' relation to', 'start': 286, 'end': 298}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9857464), 'word': ' other', 'start': 298, 'end': 304}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' trade unions', 'start': 304, 'end': 317}, {'entity_group': 'LABEL_1', 'score': np.float32(0.63671374), 'word': ' in', 'start': 317, 'end': 320}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9792706), 'word': ' the negotiation of collective agreements, which is a separate argument', 'start': 320, 'end': 391}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8375746), 'word': ' referred', 'start': 391, 'end': 400}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97845674), 'word': ' to in', 'start': 400, 'end': 406}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9604918), 'word': ' the second', 'start': 406, 'end': 417}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99947745), 'word': ' part of paragraph', 'start': 417, 'end': 435}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9489155), 'word': ' 3', 'start': 435, 'end': 437}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9613856), 'word': '2.', 'start': 437, 'end': 439}]"
"Even if the appellant had argued that it was in a competitive position in relation to the shipowners – which it denied at the hearing – it was still open to it, despite the ATM judgment, to attempt to show that it had standing to bring proceedings because its interests might be affected by the granting of aid, by reason of the effect of the measures on its competitive position in relation to other trade unions whose members are employed on board vessels registered in the DIS register.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.99984074), 'word': 'Even', 'start': 0, 'end': 4}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99840707), 'word': ' if', 'start': 4, 'end': 7}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8774255), 'word': ' the', 'start': 7, 'end': 11}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9927773), 'word': ' appellant had argued that it was in a', 'start': 11, 'end': 49}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97433686), 'word': ' competitive', 'start': 49, 'end': 61}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91701776), 'word': ' position in relation to the', 'start': 61, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9990675), 'word': ' shi', 'start': 89, 'end': 93}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9877052), 'word': 'powners – which it denied at the hearing – it was still', 'start': 93, 'end': 148}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997696), 'word': ' open', 'start': 148, 'end': 153}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99991226), 'word': ' to', 'start': 153, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7290386), 'word': ' it', 'start': 156, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999926), 'word': ',', 'start': 159, 'end': 160}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99166983), 'word': ' despite the ATM', 'start': 160, 'end': 176}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999964), 'word': ' judgment', 'start': 176, 'end': 185}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9931126), 'word': ',', 'start': 185, 'end': 186}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99947506), 'word': ' to', 'start': 186, 'end': 189}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9703757), 'word': ' attempt', 'start': 189, 'end': 197}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8733224), 'word': ' to show that it', 'start': 197, 'end': 213}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99985814), 'word': ' had', 'start': 213, 'end': 217}, {'entity_group': 'LABEL_0', 'score': np.float32(0.62994295), 'word': ' standing', 'start': 217, 'end': 226}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95617735), 'word': ' to', 'start': 226, 'end': 229}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82685614), 'word': ' bring proceedings because', 'start': 229, 'end': 255}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9961857), 'word': ' its', 'start': 255, 'end': 259}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9828166), 'word': ' interests might be affected by the granting', 'start': 259, 'end': 303}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8187194), 'word': ' of', 'start': 303, 'end': 306}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98884404), 'word': ' aid,', 'start': 306, 'end': 311}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99962795), 'word': ' by', 'start': 311, 'end': 314}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999975), 'word': ' reason', 'start': 314, 'end': 321}, {'entity_group': 'LABEL_1', 'score': np.float32(0.968215), 'word': ' of', 'start': 321, 'end': 324}, {'entity_group': 'LABEL_0', 'score': np.float32(0.882583), 'word': ' the effect of the measures', 'start': 324, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8589744), 'word': ' on its', 'start': 351, 'end': 358}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94696665), 'word': ' competitive position in relation to other trade unions whose members are employed', 'start': 358, 'end': 440}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95829755), 'word': ' on', 'start': 440, 'end': 443}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9953145), 'word': ' board vessels', 'start': 443, 'end': 457}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9362041), 'word': ' registered in', 'start': 457, 'end': 471}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9333286), 'word': ' the DIS register.', 'start': 471, 'end': 489}]"
"As to the Court of First Instance’s interpretation of Albany in paragraph 32 of the order under appeal, it must be observed that the Albany case concerned a collective agreement establishing a supplementary pension scheme managed by a pension fund in the textile industry sector, affiliation to which could be made compulsory by the public authorities.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9726895), 'word': 'As to the Court of First Instance’s interpretation of Albany in paragraph 32 of the order', 'start': 0, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9985948), 'word': ' under', 'start': 89, 'end': 95}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94575036), 'word': ' appeal, it must be observed that the', 'start': 95, 'end': 132}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995834), 'word': ' Albany', 'start': 132, 'end': 139}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9912381), 'word': ' case concerned a collective agreement establishing', 'start': 139, 'end': 190}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7971567), 'word': ' a supplementary', 'start': 190, 'end': 206}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98196787), 'word': ' pension scheme managed by a pension fund', 'start': 206, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96656924), 'word': ' in', 'start': 247, 'end': 250}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9415494), 'word': ' the textile industry sector, affiliation to which could', 'start': 250, 'end': 306}, {'entity_group': 'LABEL_1', 'score': np.float32(0.76783824), 'word': ' be', 'start': 306, 'end': 309}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9176403), 'word': ' made compulsory by the public authorities.', 'start': 309, 'end': 352}]"
"Albany International BV, an undertaking in the textile sector, had refused to pay the fund the contributions for a certain period, on the ground that compulsory affiliation to the fund, by virtue of which those contributions were claimed from it, was inter alia contrary to Article 85(1) of the Treaty.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9310667), 'word': 'Albany International BV, an', 'start': 0, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98497516), 'word': ' undertaking in the textile', 'start': 27, 'end': 54}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99460053), 'word': ' sector,', 'start': 54, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.70163095), 'word': ' had refused', 'start': 62, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9947119), 'word': ' to', 'start': 74, 'end': 77}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998546), 'word': ' pay the', 'start': 77, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9515417), 'word': ' fund', 'start': 85, 'end': 90}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998789), 'word': ' the', 'start': 90, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9494039), 'word': ' contributions for a certain period, on the ground that', 'start': 94, 'end': 149}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995255), 'word': ' compulsory', 'start': 149, 'end': 160}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8710971), 'word': ' affiliation to the fund, by', 'start': 160, 'end': 188}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7876757), 'word': ' virtue of which', 'start': 188, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9966489), 'word': ' those contributions', 'start': 204, 'end': 224}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99050444), 'word': ' were', 'start': 224, 'end': 229}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9677447), 'word': ' claimed from it, was inter alia contrary to Article', 'start': 229, 'end': 281}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6699288), 'word': ' ', 'start': 281, 'end': 282}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9772307), 'word': '85(1) of the Treaty.', 'start': 282, 'end': 302}]"
"Before concluding that Article 85(1) of the Treaty did not apply in those circumstances, the Court pointed out, in paragraph 54 of Albany, that, under Article 3(g) and (i) of the EC Treaty (now, after amendment, Article 3(1)(g) and (j) EC), the activities of the Community are to include not only a ‘system ensuring that competition in the internal market is not distorted’ but also ‘a policy in the social sphere’.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.97335553), 'word': 'Before concluding that Article 85(1', 'start': 0, 'end': 35}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91455436), 'word': ') of', 'start': 35, 'end': 39}, {'entity_group': 'LABEL_0', 'score': np.float32(0.917138), 'word': ' the Treaty did not apply in those circumstances, the', 'start': 39, 'end': 92}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9981352), 'word': ' Court', 'start': 92, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9656856), 'word': ' pointed out, in paragraph 54 of', 'start': 98, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6033974), 'word': ' Albany', 'start': 130, 'end': 137}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9786708), 'word': ', that,', 'start': 137, 'end': 144}, {'entity_group': 'LABEL_1', 'score': np.float32(0.56081796), 'word': ' under', 'start': 144, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999969), 'word': ' Article', 'start': 150, 'end': 158}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9850456), 'word': ' ', 'start': 158, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88972855), 'word': '3(g', 'start': 159, 'end': 162}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99999833), 'word': ')', 'start': 162, 'end': 163}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997797), 'word': ' and (i', 'start': 163, 'end': 170}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92062443), 'word': ') of the', 'start': 170, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9590534), 'word': ' EC', 'start': 178, 'end': 181}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96637714), 'word': ' Treaty', 'start': 181, 'end': 188}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88598686), 'word': ' (now, after', 'start': 188, 'end': 200}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8429536), 'word': ' amendment,', 'start': 200, 'end': 211}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999793), 'word': ' Article', 'start': 211, 'end': 219}, {'entity_group': 'LABEL_1', 'score': np.float32(0.997262), 'word': ' ', 'start': 219, 'end': 220}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999907), 'word': '3', 'start': 220, 'end': 221}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8914002), 'word': '(', 'start': 221, 'end': 222}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9950435), 'word': '1', 'start': 222, 'end': 223}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91963995), 'word': ')(', 'start': 223, 'end': 225}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999882), 'word': 'g', 'start': 225, 'end': 226}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96850765), 'word': ')', 'start': 226, 'end': 227}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8976012), 'word': ' and (j', 'start': 227, 'end': 234}, {'entity_group': 'LABEL_1', 'score': np.float32(0.60036033), 'word': ')', 'start': 234, 'end': 235}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99989843), 'word': ' EC', 'start': 235, 'end': 238}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9940744), 'word': '),', 'start': 238, 'end': 240}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83823586), 'word': ' the activities', 'start': 240, 'end': 255}, {'entity_group': 'LABEL_1', 'score': np.float32(0.87749463), 'word': ' of', 'start': 255, 'end': 258}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8254752), 'word': ' the', 'start': 258, 'end': 262}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7553001), 'word': ' Community are', 'start': 262, 'end': 276}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99572515), 'word': ' to', 'start': 276, 'end': 279}, {'entity_group': 'LABEL_1', 'score': np.float32(0.70886654), 'word': ' include', 'start': 279, 'end': 287}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97382677), 'word': ' not', 'start': 287, 'end': 291}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92522955), 'word': ' only a ‘system', 'start': 291, 'end': 306}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9044344), 'word': ' ensuring that competition', 'start': 306, 'end': 332}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9555115), 'word': ' in the internal', 'start': 332, 'end': 348}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99251014), 'word': ' market is not distorted’ but', 'start': 348, 'end': 377}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5228831), 'word': ' also', 'start': 377, 'end': 382}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90078187), 'word': ' ‘a', 'start': 382, 'end': 385}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9850477), 'word': ' policy', 'start': 385, 'end': 392}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99563354), 'word': ' in', 'start': 392, 'end': 395}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82662034), 'word': ' the social', 'start': 395, 'end': 406}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98702323), 'word': ' sphere', 'start': 406, 'end': 413}, {'entity_group': 'LABEL_1', 'score': np.float32(0.54266787), 'word': '’.', 'start': 413, 'end': 415}]"
"Article 2 of the EC Treaty (now, after amendment, Article 2 EC) declares that a particular task of the Community is ‘to promote … a harmonious and balanced development of economic activities’ and ‘a high level of employment and of social protection’.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9733358), 'word': 'Article 2 of the EC Treaty (now, after', 'start': 0, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7461546), 'word': ' amendment', 'start': 38, 'end': 48}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9431238), 'word': ', Article 2 EC) declares that a particular', 'start': 48, 'end': 90}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9779446), 'word': ' task of', 'start': 90, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83487034), 'word': ' the Community is ‘to', 'start': 98, 'end': 119}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9950901), 'word': ' promote', 'start': 119, 'end': 127}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97166806), 'word': ' … a harmonious and balanced development', 'start': 127, 'end': 167}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9512298), 'word': ' of economic', 'start': 167, 'end': 179}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93100053), 'word': ' activities’ and ‘a', 'start': 179, 'end': 198}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9185423), 'word': ' high', 'start': 198, 'end': 203}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99997544), 'word': ' level', 'start': 203, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98467755), 'word': ' of', 'start': 209, 'end': 212}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999981), 'word': ' employment', 'start': 212, 'end': 223}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7366658), 'word': ' and of', 'start': 223, 'end': 230}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83671665), 'word': ' social protection’.', 'start': 230, 'end': 250}]"
"Moreover, it is apparent from the first paragraph of Article 136 EC that the Community and the Member States have as their objectives inter alia the promotion of employment, improved living and working conditions, so as to make possible their harmonisation while the improvement is being maintained, proper social protection, and dialogue between management and labour.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9630676), 'word': 'Moreover, it is apparent from the first paragraph of Article 136 EC', 'start': 0, 'end': 67}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8898272), 'word': ' that', 'start': 67, 'end': 72}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996215), 'word': ' the', 'start': 72, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86043847), 'word': ' Community', 'start': 76, 'end': 86}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97964925), 'word': ' and the Member States have as their objectives inter alia the promotion of employment,', 'start': 86, 'end': 173}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9612203), 'word': ' improved living and', 'start': 173, 'end': 193}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90177083), 'word': ' working conditions, so as to make possible', 'start': 193, 'end': 236}, {'entity_group': 'LABEL_1', 'score': np.float32(0.71647525), 'word': ' their', 'start': 236, 'end': 242}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9973812), 'word': ' harmonisation while the improvement', 'start': 242, 'end': 278}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7037942), 'word': ' is', 'start': 278, 'end': 281}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97594446), 'word': ' being maintained, proper social protection, and dialogue between management and labour.', 'start': 281, 'end': 369}]"
"Under Article 138(1) EC the Commission has the task of promoting the consultation of management and labour at Community level, and that dialogue may, should they so desire, lead to contractual relations.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.99739265), 'word': 'Under', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9915367), 'word': ' Article 138(1) EC the Commission', 'start': 5, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98206425), 'word': ' has', 'start': 38, 'end': 42}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94813585), 'word': ' the task of promoting the consultation of management and labour at Community level, and that dialogue', 'start': 42, 'end': 144}, {'entity_group': 'LABEL_1', 'score': np.float32(0.643415), 'word': ' may,', 'start': 144, 'end': 149}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9594615), 'word': ' should they so desire, lead to contractual relations.', 'start': 149, 'end': 203}]"
