text,label,dhananjay_events
"Under the fourth paragraph of Article 230 EC, a natural or legal person may institute proceedings against a decision addressed to another person only if that decision is of direct and individual concern to the former.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9882719), 'word': 'Under the fourth', 'start': 0, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9260687), 'word': ' paragraph of', 'start': 16, 'end': 29}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9813286), 'word': ' Article', 'start': 29, 'end': 37}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93619585), 'word': ' 230', 'start': 37, 'end': 41}, {'entity_group': 'LABEL_1', 'score': np.float32(0.776687), 'word': ' EC,', 'start': 41, 'end': 45}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98109835), 'word': ' a natural or legal person may', 'start': 45, 'end': 75}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5159098), 'word': ' institute', 'start': 75, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994734), 'word': ' proceedings', 'start': 85, 'end': 97}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6395853), 'word': ' against', 'start': 97, 'end': 105}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9895743), 'word': ' a decision addressed to another person only if that', 'start': 105, 'end': 157}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99694014), 'word': ' decision', 'start': 157, 'end': 166}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9119527), 'word': ' is of direct and individual concern to the former', 'start': 166, 'end': 216}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8290761), 'word': '.', 'start': 216, 'end': 217}]"
"In relation to the first condition set out therein, it is settled case-law that, for a person to be directly concerned by a Community measure, that measure must directly affect the legal situation of the individual and leave no discretion to its addressees who are entrusted with the task of implementing it, such implementation being purely automatic and resulting from Community rules without the application of other intermediate rules (Case C‑386/96 P Dreyfus v Commission [1998] ECR I‑2309, paragraph 43 and the case‑law cited).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547156), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6057664), 'word': ' relation to', 'start': 2, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86964417), 'word': ' the first', 'start': 14, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99748063), 'word': ' condition set out therein, it is settled case-law that, for a person to be directly concerned by a', 'start': 24, 'end': 123}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99375445), 'word': ' Community', 'start': 123, 'end': 133}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9243901), 'word': ' measure, that measure must directly affect the legal situation of the individual', 'start': 133, 'end': 214}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9924325), 'word': ' and', 'start': 214, 'end': 218}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9355485), 'word': ' leave no discretion to its addressees who are entrusted with the', 'start': 218, 'end': 283}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8182863), 'word': ' task', 'start': 283, 'end': 288}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9913608), 'word': ' of implementing it,', 'start': 288, 'end': 308}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98214245), 'word': ' such implementation', 'start': 308, 'end': 328}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98091125), 'word': ' being purely automatic', 'start': 328, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9390947), 'word': ' and', 'start': 351, 'end': 355}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8337189), 'word': ' resulting from Community rules', 'start': 355, 'end': 386}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97853374), 'word': ' without the', 'start': 386, 'end': 398}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9518616), 'word': ' application of other', 'start': 398, 'end': 419}, {'entity_group': 'LABEL_1', 'score': np.float32(0.60818315), 'word': ' intermediate', 'start': 419, 'end': 432}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9985501), 'word': ' rules', 'start': 432, 'end': 438}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6869055), 'word': ' (', 'start': 438, 'end': 440}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9562379), 'word': 'Case C‑386/96 P Dreyfus v Commission [', 'start': 440, 'end': 478}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7331947), 'word': '19', 'start': 478, 'end': 480}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9973739), 'word': '98]', 'start': 480, 'end': 483}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6247046), 'word': ' ECR', 'start': 483, 'end': 487}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99834514), 'word': ' I‑23', 'start': 487, 'end': 492}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95955527), 'word': '0', 'start': 492, 'end': 493}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94123), 'word': '9, paragraph', 'start': 493, 'end': 505}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8316648), 'word': ' ', 'start': 505, 'end': 506}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95992976), 'word': '43 and', 'start': 506, 'end': 512}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85757166), 'word': ' the', 'start': 512, 'end': 516}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97711736), 'word': ' case', 'start': 516, 'end': 521}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86766386), 'word': '‑law', 'start': 521, 'end': 525}, {'entity_group': 'LABEL_0', 'score': np.float32(0.945971), 'word': ' cited).', 'start': 525, 'end': 533}]"
"In the present case, as the Court of First Instance held in paragraph 94 of the judgment under appeal, it is clear from Article 2 of the contested decision that the Netherlands Authorities were obliged, without having any discretion whatsoever in the matter, to reject any pending request for first GFA authorisation, as the undertakings which were not beneficiaries of the GFA scheme at the time of the 11 July 2001 decision could not benefit from the transitional scheme.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547156), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9486206), 'word': ' the present case, as the Court of First Instance held in paragraph 94 of', 'start': 2, 'end': 75}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7939582), 'word': ' the', 'start': 75, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99998426), 'word': ' judgment', 'start': 79, 'end': 88}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9904385), 'word': ' under', 'start': 88, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' appeal', 'start': 94, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6316417), 'word': ',', 'start': 101, 'end': 102}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94959235), 'word': ' it is clear from Article 2 of the contested decision that', 'start': 102, 'end': 160}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9403904), 'word': ' the', 'start': 160, 'end': 164}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99952614), 'word': ' Netherlands Authorities were obliged,', 'start': 164, 'end': 202}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9946077), 'word': ' without having any', 'start': 202, 'end': 221}, {'entity_group': 'LABEL_0', 'score': np.float32(0.998404), 'word': ' discretion whatsoever', 'start': 221, 'end': 243}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9973067), 'word': ' in', 'start': 243, 'end': 246}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99886775), 'word': ' the matter', 'start': 246, 'end': 257}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7441883), 'word': ',', 'start': 257, 'end': 258}, {'entity_group': 'LABEL_0', 'score': np.float32(0.906494), 'word': ' to reject any pending', 'start': 258, 'end': 280}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9086443), 'word': ' request', 'start': 280, 'end': 288}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9965468), 'word': ' for', 'start': 288, 'end': 292}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5905499), 'word': ' first', 'start': 292, 'end': 298}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9547607), 'word': ' GFA authorisation, as the undertakings which were not beneficiaries of the G', 'start': 298, 'end': 375}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95944095), 'word': 'FA', 'start': 375, 'end': 377}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9668026), 'word': ' scheme at the time of the 11 July 200', 'start': 377, 'end': 415}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74137217), 'word': '1', 'start': 415, 'end': 416}, {'entity_group': 'LABEL_0', 'score': np.float32(0.968615), 'word': ' decision could not benefit from the transitional scheme.', 'start': 416, 'end': 473}]"
"In those circumstances, the Court of First Instance was correct to hold that the contested decision affected KFC directly.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547148), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90030754), 'word': ' those circumstances, the Court of First Instance was correct to hold that', 'start': 2, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85781705), 'word': ' the contested', 'start': 76, 'end': 90}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93093216), 'word': ' decision affected KFC directly.', 'start': 90, 'end': 122}]"
"As regards the second condition set out in Article 230 EC, it should be borne in mind that the fact that  a disputed provision is, by its nature and scope, a provision of general application inasmuch as it applies to the traders concerned in general, does not of itself prevent it being of individual concern to some  ( Belgium and Forum 187 v Commission , paragraph 58 and the case‑law cited).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.986853), 'word': 'As regards', 'start': 0, 'end': 10}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7216064), 'word': ' the second', 'start': 10, 'end': 21}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99851906), 'word': ' condition set out in Article', 'start': 21, 'end': 50}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5446481), 'word': ' ', 'start': 50, 'end': 51}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9966065), 'word': '230 EC, it should be borne in mind that the fact that', 'start': 51, 'end': 104}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96734947), 'word': '  ', 'start': 104, 'end': 106}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9410351), 'word': 'a', 'start': 106, 'end': 107}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9991886), 'word': ' disputed', 'start': 107, 'end': 116}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8894522), 'word': ' provision is, by its nature and scope, a provision', 'start': 116, 'end': 167}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9533017), 'word': ' of', 'start': 167, 'end': 170}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99569535), 'word': ' general application', 'start': 170, 'end': 190}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7151947), 'word': ' inasmuch', 'start': 190, 'end': 199}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90869516), 'word': ' as it applies to', 'start': 199, 'end': 216}, {'entity_group': 'LABEL_1', 'score': np.float32(0.63032615), 'word': ' the', 'start': 216, 'end': 220}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9718313), 'word': ' traders concerned in general, does not of', 'start': 220, 'end': 262}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8113501), 'word': ' itself prevent', 'start': 262, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7587395), 'word': ' it being', 'start': 277, 'end': 286}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995128), 'word': ' of individual', 'start': 286, 'end': 300}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8595508), 'word': ' concern to some', 'start': 300, 'end': 316}, {'entity_group': 'LABEL_1', 'score': np.float32(0.994003), 'word': '  ', 'start': 316, 'end': 318}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9609781), 'word': '( Belgium and', 'start': 318, 'end': 331}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99811965), 'word': ' Forum ', 'start': 331, 'end': 338}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92294043), 'word': '187 v Commission , paragraph 58 and the case‑law cited).', 'start': 338, 'end': 394}]"
"However,  natural or legal persons may claim that a contested provision is of individual concern to them only if it affects them by reason of certain attributes which are peculiar to them or by reason of circumstances in which they are differentiated from all other persons  ( Belgium and Forum 187 v Commission , paragraph 59).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.99863505), 'word': 'However,', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7767956), 'word': '  ', 'start': 8, 'end': 10}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9923817), 'word': 'natural or legal persons may claim that a', 'start': 10, 'end': 51}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6954598), 'word': ' contested', 'start': 51, 'end': 61}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99217457), 'word': ' provision is of individual concern to them only if it affects them by reason of', 'start': 61, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9925787), 'word': ' certain', 'start': 141, 'end': 149}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99231267), 'word': ' attributes which are peculiar to them or by reason of circumstances in which they are differentiated from all other persons  ', 'start': 149, 'end': 275}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69241154), 'word': '(', 'start': 275, 'end': 276}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9911773), 'word': ' Belgium and', 'start': 276, 'end': 288}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99969), 'word': ' Forum ', 'start': 288, 'end': 295}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94674134), 'word': '187 v Commission , paragraph 59).', 'start': 295, 'end': 328}]"
"An undertaking cannot, in principle, contest a Commission decision prohibiting a sectoral aid scheme if it is concerned by that decision solely by virtue of belonging to the sector in question and being a potential beneficiary of the scheme.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.97854453), 'word': 'An', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99996746), 'word': ' undertaking', 'start': 2, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995383), 'word': ' cannot', 'start': 14, 'end': 21}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93223554), 'word': ', in principle', 'start': 21, 'end': 35}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9961726), 'word': ',', 'start': 35, 'end': 36}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9540735), 'word': ' contest', 'start': 36, 'end': 44}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99608165), 'word': ' a', 'start': 44, 'end': 46}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999988), 'word': ' Commission decision', 'start': 46, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85995364), 'word': ' prohibiting a', 'start': 66, 'end': 80}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9844264), 'word': ' sectoral aid scheme if it is concerned', 'start': 80, 'end': 119}, {'entity_group': 'LABEL_1', 'score': np.float32(0.67474073), 'word': ' by', 'start': 119, 'end': 122}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99683636), 'word': ' that decision solely by virtue of belonging to the sector in question and being a potential beneficiary of the scheme.', 'start': 122, 'end': 241}]"
"Such a decision is, vis-à-vis that undertaking, a measure of general application covering situations which are determined objectively and entails legal effects for a class of persons envisaged in a general and abstract manner (Joined Cases 67/85, 68/85 and 70/85 Kwekeriij van der Kooy and Others v Commission [1988] ECR 219, paragraph 15; Case C‑6/92 Federmineraria and Others v Commission [1993] ECR I‑6357, paragraph 14; and Joined Cases C‑15/98 and C‑105/99 Italy and Sardegna Lines v Commission [2000] ECR I‑8855, paragraph 33).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9785945), 'word': 'Such', 'start': 0, 'end': 4}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9927348), 'word': ' a decision is,', 'start': 4, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88446605), 'word': ' vis-', 'start': 19, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99989295), 'word': 'à-vis that', 'start': 24, 'end': 34}, {'entity_group': 'LABEL_1', 'score': np.float32(0.68541086), 'word': ' undertaking,', 'start': 34, 'end': 47}, {'entity_group': 'LABEL_0', 'score': np.float32(0.78349423), 'word': ' a measure', 'start': 47, 'end': 57}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996493), 'word': ' of general', 'start': 57, 'end': 68}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8899437), 'word': ' application covering situations which', 'start': 68, 'end': 106}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85361016), 'word': ' are determined', 'start': 106, 'end': 121}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94677776), 'word': ' objectively and entails legal effects for a class', 'start': 121, 'end': 171}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99979764), 'word': ' of', 'start': 171, 'end': 174}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8702047), 'word': ' persons envisaged in', 'start': 174, 'end': 195}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84792256), 'word': ' a', 'start': 195, 'end': 197}, {'entity_group': 'LABEL_0', 'score': np.float32(0.75547045), 'word': ' general and', 'start': 197, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9734518), 'word': ' abstract', 'start': 209, 'end': 218}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' manner', 'start': 218, 'end': 225}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9544016), 'word': ' (Joined Cases ', 'start': 225, 'end': 240}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89075565), 'word': '67/85,', 'start': 240, 'end': 246}, {'entity_group': 'LABEL_1', 'score': np.float32(0.58173984), 'word': ' ', 'start': 246, 'end': 247}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999443), 'word': '68', 'start': 247, 'end': 249}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9583034), 'word': '/8', 'start': 249, 'end': 251}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9887284), 'word': '5 and', 'start': 251, 'end': 256}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9081011), 'word': ' 7', 'start': 256, 'end': 258}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9759956), 'word': '0/', 'start': 258, 'end': 260}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5039172), 'word': '8', 'start': 260, 'end': 261}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9917627), 'word': '5 K', 'start': 261, 'end': 264}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7592671), 'word': 'wekeri', 'start': 264, 'end': 270}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95467025), 'word': 'ij', 'start': 270, 'end': 272}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9659249), 'word': ' van', 'start': 272, 'end': 276}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6862006), 'word': ' der', 'start': 276, 'end': 280}, {'entity_group': 'LABEL_1', 'score': np.float32(0.805948), 'word': ' Kooy', 'start': 280, 'end': 285}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999857), 'word': ' and Others v Commission [', 'start': 285, 'end': 311}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75394356), 'word': '19', 'start': 311, 'end': 313}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98507863), 'word': '88] ECR 219, paragraph 15; Case C‑6/92', 'start': 313, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9983168), 'word': ' Federminer', 'start': 351, 'end': 362}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9828759), 'word': 'aria and Others v Commission [', 'start': 362, 'end': 392}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9941626), 'word': '1', 'start': 392, 'end': 393}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9979891), 'word': '993] ECR I‑6357, paragraph 14; and', 'start': 393, 'end': 427}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9934145), 'word': ' Joined', 'start': 427, 'end': 434}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9812108), 'word': ' Cases C‑15/98 and C‑105/99 Italy and Sardegna Lines v Commission [2000] ECR I‑8855, paragraph', 'start': 434, 'end': 528}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5283173), 'word': ' ', 'start': 528, 'end': 529}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95097876), 'word': '33).', 'start': 529, 'end': 533}]"
"By contrast, the Court has held that, where a contested measure affects a group of persons who were identified or identifiable when that measure was adopted by reason of criteria specific to the members of the group, those persons might be individually concerned by that measure inasmuch as they form part of a limited class of traders  (see Case 11/82 Piraiki-Patraiki and Others v Commission [1985] ECR 207, paragraph 31; Case C-152/88 Sofrimport v Commission [1990] ECR I‑2477, paragraph 11; and Belgium and Forum 187 v Commission , paragraph 60).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8821158), 'word': 'By contrast,', 'start': 0, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9923471), 'word': ' the', 'start': 12, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99079067), 'word': ' Court has held that, where a', 'start': 16, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9719364), 'word': ' contested', 'start': 45, 'end': 55}, {'entity_group': 'LABEL_0', 'score': np.float32(0.986756), 'word': ' measure affects a group of persons who were identified', 'start': 55, 'end': 110}, {'entity_group': 'LABEL_1', 'score': np.float32(0.517297), 'word': ' or', 'start': 110, 'end': 113}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9801497), 'word': ' identifiable when that measure was adopted by reason of', 'start': 113, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995608), 'word': ' criteria', 'start': 169, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99890155), 'word': ' specific to the members of the group, those persons might be', 'start': 178, 'end': 239}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99559265), 'word': ' individually', 'start': 239, 'end': 252}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97952724), 'word': ' concerned by that measure inasmuch as they form part of a limited class of traders  (see Case 11/82 Piraiki', 'start': 252, 'end': 360}, {'entity_group': 'LABEL_1', 'score': np.float32(1.0), 'word': '-', 'start': 360, 'end': 361}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9681696), 'word': 'Pat', 'start': 361, 'end': 364}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7946376), 'word': 'ra', 'start': 364, 'end': 366}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9753915), 'word': 'iki and Others v Commission [1985] ECR 207, paragraph 31; Case C-152/88', 'start': 366, 'end': 437}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8949498), 'word': ' Sofrimp', 'start': 437, 'end': 445}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90916866), 'word': 'ort v Commission [', 'start': 445, 'end': 463}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9985379), 'word': '1', 'start': 463, 'end': 464}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9921548), 'word': '990] ECR I‑2477, paragraph 11; and Belgium and', 'start': 464, 'end': 510}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997121), 'word': ' Forum ', 'start': 510, 'end': 517}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9760799), 'word': '187 v Commission , paragraph 60).', 'start': 517, 'end': 550}]"
"It is not in dispute, first, that the contested decision had the effect that requests for first GFA authorisation, which were pending on the date of notification of the contested decision, were rejected without being examined and, second, that the undertakings concerned were easily identifiable, owing to the very existence of such a request, at the time when that decision was adopted.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9265286), 'word': 'It is not in dispute, first', 'start': 0, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9226377), 'word': ', that', 'start': 27, 'end': 33}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96630275), 'word': ' the contested', 'start': 33, 'end': 47}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86228055), 'word': ' decision had the', 'start': 47, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.81725454), 'word': ' effect that requests for', 'start': 64, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6165958), 'word': ' first', 'start': 89, 'end': 95}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7388262), 'word': ' G', 'start': 95, 'end': 97}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995637), 'word': 'FA', 'start': 97, 'end': 99}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990269), 'word': ' authorisation', 'start': 99, 'end': 113}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9660826), 'word': ', which were pending', 'start': 113, 'end': 133}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99194473), 'word': ' on', 'start': 133, 'end': 136}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99963725), 'word': ' the', 'start': 136, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99941087), 'word': ' date of notification', 'start': 140, 'end': 161}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8358137), 'word': ' of the', 'start': 161, 'end': 168}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9673135), 'word': ' contested decision,', 'start': 168, 'end': 188}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9989316), 'word': ' were', 'start': 188, 'end': 193}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99675816), 'word': ' rejected without being examined and, second', 'start': 193, 'end': 237}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85387844), 'word': ', that', 'start': 237, 'end': 243}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99022275), 'word': ' the undertakings concerned were', 'start': 243, 'end': 275}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995434), 'word': ' easily', 'start': 275, 'end': 282}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997247), 'word': ' identifiable', 'start': 282, 'end': 295}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94195163), 'word': ', owing', 'start': 295, 'end': 302}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9896656), 'word': ' to', 'start': 302, 'end': 305}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5635523), 'word': ' the', 'start': 305, 'end': 309}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9447261), 'word': ' very existence of such a request, at the time', 'start': 309, 'end': 355}, {'entity_group': 'LABEL_1', 'score': np.float32(0.862756), 'word': ' when that', 'start': 355, 'end': 365}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9453869), 'word': ' decision was adopted.', 'start': 365, 'end': 387}]"
