text,label,dhananjay_events
"In accordance with the Court’s settled case-law, a classification as ‘aid’, within the meaning of Article 107(1) TFEU, requires that all the conditions set out in that provision are fulfilled (see judgment of 17 July 2008, Essent Netwerk Noord and Others, C‑206/06, EU:C:2008:413, paragraph 63 and the case-law cited).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9862815), 'word': 'In accordance with the', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98587584), 'word': ' Court’s settled case-law, a classification as ‘aid’, within the meaning', 'start': 22, 'end': 94}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99401784), 'word': ' of', 'start': 94, 'end': 97}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998894), 'word': ' Article', 'start': 97, 'end': 105}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90770507), 'word': ' 1', 'start': 105, 'end': 107}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99812365), 'word': '07(1', 'start': 107, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9157212), 'word': ') T', 'start': 111, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98930776), 'word': 'FEU, requires that', 'start': 114, 'end': 132}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7811656), 'word': ' all the conditions set out', 'start': 132, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97528756), 'word': ' in that provision are fulfilled (see judgment of 17 July ', 'start': 159, 'end': 217}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9921779), 'word': '2', 'start': 217, 'end': 218}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90317523), 'word': '008, Essent Netwerk Noord and Others, C‑206/06,', 'start': 218, 'end': 265}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9810463), 'word': ' EU', 'start': 265, 'end': 268}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8617893), 'word': ':C', 'start': 268, 'end': 270}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97127986), 'word': ':2', 'start': 270, 'end': 272}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98800987), 'word': '008:413, paragraph', 'start': 272, 'end': 290}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5018697), 'word': ' ', 'start': 290, 'end': 291}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91519165), 'word': '63 and the case', 'start': 291, 'end': 306}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9059763), 'word': '-law cited', 'start': 306, 'end': 316}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999995), 'word': ').', 'start': 316, 'end': 318}]"
That provision sets out four conditions.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9871759), 'word': 'That provision sets', 'start': 0, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99840283), 'word': ' out four', 'start': 19, 'end': 28}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82359195), 'word': ' conditions.', 'start': 28, 'end': 40}]"
"First, there must be intervention by the State or through State resources.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.95932156), 'word': 'First', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9541712), 'word': ', there must be intervention', 'start': 5, 'end': 33}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7753205), 'word': ' by', 'start': 33, 'end': 36}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9269723), 'word': ' the State or through State resources.', 'start': 36, 'end': 74}]"
"Second, that intervention must be liable to affect trade between Member States.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8762373), 'word': 'Second, that intervention', 'start': 0, 'end': 25}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9126789), 'word': ' must', 'start': 25, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91752034), 'word': ' be liable', 'start': 30, 'end': 40}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9971614), 'word': ' to', 'start': 40, 'end': 43}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98484975), 'word': ' affect trade between', 'start': 43, 'end': 64}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9685624), 'word': ' Member', 'start': 64, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9924551), 'word': ' States.', 'start': 71, 'end': 79}]"
"Third, it must confer an advantage on the recipient.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.992059), 'word': 'Third', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8690068), 'word': ', it must', 'start': 5, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9865729), 'word': ' confer an', 'start': 14, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84674466), 'word': ' advantage on the recipient.', 'start': 24, 'end': 52}]"
"Fourth, it must distort or threaten to distort competition (see judgments of 24 July 2003, Altmark Trans and Regierungspräsidium Magdeburg, C‑280/00, EU:C:2003:415, paragraph 75; of 17 July 2008, Essent Netwerk Noord and Others, C‑206/06, EU:C:2008:413, paragraph 64; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 15).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9996729), 'word': 'Fourth', 'start': 0, 'end': 6}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92788434), 'word': ', it', 'start': 6, 'end': 10}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8773728), 'word': ' must distort', 'start': 10, 'end': 23}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9401699), 'word': ' or threaten to', 'start': 23, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99999535), 'word': ' distort', 'start': 38, 'end': 46}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998654), 'word': ' competition', 'start': 46, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9993023), 'word': ' (see', 'start': 58, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9730482), 'word': ' judgments of 24 July', 'start': 63, 'end': 84}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74630934), 'word': ' ', 'start': 84, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.923464), 'word': '2003, Alt', 'start': 85, 'end': 94}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9657837), 'word': 'mark', 'start': 94, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96276087), 'word': ' Trans and Regierungspr', 'start': 98, 'end': 121}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8701569), 'word': 'äs', 'start': 121, 'end': 123}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98692), 'word': 'idium Magdeburg', 'start': 123, 'end': 138}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98651475), 'word': ',', 'start': 138, 'end': 139}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9668906), 'word': ' C‑280/00,', 'start': 139, 'end': 149}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9836429), 'word': ' EU', 'start': 149, 'end': 152}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8626015), 'word': ':C', 'start': 152, 'end': 154}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89955556), 'word': ':2', 'start': 154, 'end': 156}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98261464), 'word': '003:415, paragraph 75; of 17 July', 'start': 156, 'end': 189}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97186506), 'word': ' 2', 'start': 189, 'end': 191}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9628508), 'word': '008, Essent Netwerk Noord', 'start': 191, 'end': 216}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7114654), 'word': ' and', 'start': 216, 'end': 220}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99805206), 'word': ' Others, C‑206/06,', 'start': 220, 'end': 238}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95387626), 'word': ' EU', 'start': 238, 'end': 241}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9590294), 'word': ':', 'start': 241, 'end': 242}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9071564), 'word': 'C:20', 'start': 242, 'end': 246}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9929142), 'word': '08:413, paragraph 64; and of 19 December', 'start': 246, 'end': 286}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99990624), 'word': ' 2', 'start': 286, 'end': 288}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99857044), 'word': '0', 'start': 288, 'end': 289}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69126683), 'word': '1', 'start': 289, 'end': 290}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999995), 'word': '3', 'start': 290, 'end': 291}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7103219), 'word': ', Association', 'start': 291, 'end': 304}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9960162), 'word': ' Vent', 'start': 304, 'end': 309}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85961497), 'word': ' De Col', 'start': 309, 'end': 316}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9950787), 'word': 'ère', 'start': 316, 'end': 319}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6957513), 'word': '!', 'start': 319, 'end': 320}, {'entity_group': 'LABEL_0', 'score': np.float32(0.996015), 'word': ' and Others, C‑262', 'start': 320, 'end': 338}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92115533), 'word': '/1', 'start': 338, 'end': 340}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88826287), 'word': '2,', 'start': 340, 'end': 342}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9949503), 'word': ' EU', 'start': 342, 'end': 345}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85183465), 'word': ':C', 'start': 345, 'end': 347}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97779495), 'word': ':20', 'start': 347, 'end': 350}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99707204), 'word': '13:851, paragraph 15).', 'start': 350, 'end': 372}]"
"In this case, only the first of those conditions is at issue.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.97704065), 'word': 'In this', 'start': 0, 'end': 7}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996519), 'word': ' case', 'start': 7, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.54966193), 'word': ',', 'start': 12, 'end': 13}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9340218), 'word': ' only the first of those conditions', 'start': 13, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84052575), 'word': ' is at', 'start': 48, 'end': 54}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9671826), 'word': ' issue.', 'start': 54, 'end': 61}]"
"As regards that condition, that the advantage must be granted directly or indirectly through State resources, it must be recalled that measures not involving a transfer of State resources may fall within the concept of ‘aid’, within the meaning of Article 107(1) TFEU (see, inter alia, judgments of 16 May 2002, France v Commission, C‑482/99, EU:C:2002:294, paragraph 36; of 30 May 2013, Doux Élevage and Coopérative agricole UKL-ARREE, C‑677/11, EU:C:2013:348, paragraph 34; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 19).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9909309), 'word': 'As regards that condition, that the advantage must be granted directly or indirectly', 'start': 0, 'end': 84}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9588014), 'word': ' through State', 'start': 84, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96429384), 'word': ' resources, it must', 'start': 98, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81118655), 'word': ' be', 'start': 117, 'end': 120}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999902), 'word': ' recalled', 'start': 120, 'end': 129}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8141408), 'word': ' that measures not involving a', 'start': 129, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.870283), 'word': ' transfer of State resources may fall within', 'start': 159, 'end': 203}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999201), 'word': ' the', 'start': 203, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9672232), 'word': ' concept of ‘aid’, within the meaning', 'start': 207, 'end': 244}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8247714), 'word': ' of', 'start': 244, 'end': 247}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99994886), 'word': ' Article', 'start': 247, 'end': 255}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99340546), 'word': ' ', 'start': 255, 'end': 256}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9903144), 'word': '107(1)', 'start': 256, 'end': 262}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99994695), 'word': ' T', 'start': 262, 'end': 264}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98002356), 'word': 'FEU (see, inter alia, judgments of 16 May', 'start': 264, 'end': 305}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90088403), 'word': ' ', 'start': 305, 'end': 306}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9165177), 'word': '2002, France v Commission', 'start': 306, 'end': 331}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83477783), 'word': ', C', 'start': 331, 'end': 334}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99501896), 'word': '‑482/99,', 'start': 334, 'end': 342}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99976474), 'word': ' EU', 'start': 342, 'end': 345}, {'entity_group': 'LABEL_0', 'score': np.float32(0.77476245), 'word': ':C', 'start': 345, 'end': 347}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99305147), 'word': ':2', 'start': 347, 'end': 349}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83447254), 'word': '00', 'start': 349, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.69987774), 'word': '2', 'start': 351, 'end': 352}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98207814), 'word': ':294, paragraph 36; of 30 May', 'start': 352, 'end': 381}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9987949), 'word': ' ', 'start': 381, 'end': 382}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98301715), 'word': '2013, Doux', 'start': 382, 'end': 392}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7209288), 'word': ' Élev', 'start': 392, 'end': 397}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87260884), 'word': 'age and Coop', 'start': 397, 'end': 409}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9529504), 'word': 'ér', 'start': 409, 'end': 411}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9766975), 'word': 'ative agricole UKL', 'start': 411, 'end': 429}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97443795), 'word': '-', 'start': 429, 'end': 430}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9935117), 'word': 'ARREE, C‑677/11,', 'start': 430, 'end': 446}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8823076), 'word': ' EU', 'start': 446, 'end': 449}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9507121), 'word': ':', 'start': 449, 'end': 450}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97489154), 'word': 'C:20', 'start': 450, 'end': 454}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98280364), 'word': '13:', 'start': 454, 'end': 457}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9439128), 'word': '34', 'start': 457, 'end': 459}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9967015), 'word': '8, paragraph 34; and of 19 December', 'start': 459, 'end': 494}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7569183), 'word': ' 2', 'start': 494, 'end': 496}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9318698), 'word': '013,', 'start': 496, 'end': 500}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9958748), 'word': ' Association', 'start': 500, 'end': 512}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998235), 'word': ' Vent', 'start': 512, 'end': 517}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95091116), 'word': ' De Col', 'start': 517, 'end': 524}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9222088), 'word': 'ère! and Others, C‑262', 'start': 524, 'end': 546}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74164987), 'word': '/', 'start': 546, 'end': 547}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7796324), 'word': '12,', 'start': 547, 'end': 550}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9976941), 'word': ' EU', 'start': 550, 'end': 553}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9297681), 'word': ':C', 'start': 553, 'end': 555}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9875636), 'word': ':20', 'start': 555, 'end': 558}, {'entity_group': 'LABEL_0', 'score': np.float32(0.997443), 'word': '13:851, paragraph 19).', 'start': 558, 'end': 580}]"
"Accordingly, the concept of intervention ‘through State resources’, within the meaning of that provision, is intended to cover, in addition to advantages granted directly by the State, those granted through a public or private body appointed or established by that State to administer the aid (see judgments of 13 March 2001, PreussenElektra, C‑379/98, EU:C:2001:160, paragraph 58; of 30 May 2013, Doux Élevage and Coopérative agricole UKL-ARREE, C‑677/11, EU:C:2013:348, paragraph 26; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 20).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8732872), 'word': 'Accordingly, the concept of intervention', 'start': 0, 'end': 40}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95669216), 'word': ' ‘through', 'start': 40, 'end': 49}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99905044), 'word': ' State resources’, within the meaning of', 'start': 49, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.58101743), 'word': ' that', 'start': 89, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9830767), 'word': ' provision,', 'start': 94, 'end': 105}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8099172), 'word': ' is intended', 'start': 105, 'end': 117}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99997616), 'word': ' to', 'start': 117, 'end': 120}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85235405), 'word': ' cover', 'start': 120, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87388927), 'word': ', in addition', 'start': 126, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9440864), 'word': ' to advantages', 'start': 139, 'end': 153}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9676964), 'word': ' granted', 'start': 153, 'end': 161}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90634274), 'word': ' directly by the', 'start': 161, 'end': 177}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9390057), 'word': ' State', 'start': 177, 'end': 183}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9298423), 'word': ', those granted', 'start': 183, 'end': 198}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9495038), 'word': ' through a', 'start': 198, 'end': 208}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8260267), 'word': ' public', 'start': 208, 'end': 215}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99165064), 'word': ' or', 'start': 215, 'end': 218}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85915744), 'word': ' private', 'start': 218, 'end': 226}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9147809), 'word': ' body appointed or established', 'start': 226, 'end': 256}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89185244), 'word': ' by', 'start': 256, 'end': 259}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9879108), 'word': ' that State to', 'start': 259, 'end': 273}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9977034), 'word': ' administer', 'start': 273, 'end': 284}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9745784), 'word': ' the aid (see judgments of 13 March', 'start': 284, 'end': 319}, {'entity_group': 'LABEL_1', 'score': np.float32(0.593408), 'word': ' 2', 'start': 319, 'end': 321}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8799322), 'word': '001, Preussen', 'start': 321, 'end': 334}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995148), 'word': 'Elek', 'start': 334, 'end': 338}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9893082), 'word': 'tra, C‑379/98,', 'start': 338, 'end': 352}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95233625), 'word': ' EU', 'start': 352, 'end': 355}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8445558), 'word': ':C:', 'start': 355, 'end': 358}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99981195), 'word': '2', 'start': 358, 'end': 359}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95442206), 'word': '0', 'start': 359, 'end': 360}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81497115), 'word': '0', 'start': 360, 'end': 361}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996009), 'word': '1:160, paragraph 58; of 30 May', 'start': 361, 'end': 391}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9412007), 'word': ' ', 'start': 391, 'end': 392}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9369026), 'word': '2013, Doux', 'start': 392, 'end': 402}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8826534), 'word': ' Élev', 'start': 402, 'end': 407}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94932884), 'word': 'age and', 'start': 407, 'end': 414}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9194498), 'word': ' Coopér', 'start': 414, 'end': 421}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95683503), 'word': 'ative agricole UKL', 'start': 421, 'end': 439}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99420667), 'word': '-', 'start': 439, 'end': 440}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98899627), 'word': 'ARREE, C‑677/11,', 'start': 440, 'end': 456}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7694116), 'word': ' EU', 'start': 456, 'end': 459}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88757896), 'word': ':C', 'start': 459, 'end': 461}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9754505), 'word': ':20', 'start': 461, 'end': 464}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995175), 'word': '13:', 'start': 464, 'end': 467}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7019826), 'word': '3', 'start': 467, 'end': 468}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93392164), 'word': '48, paragraph 26; and of 19 December 2013,', 'start': 468, 'end': 510}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99856806), 'word': ' Association', 'start': 510, 'end': 522}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95040435), 'word': ' Vent De', 'start': 522, 'end': 530}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99950564), 'word': ' Col', 'start': 530, 'end': 534}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93325156), 'word': 'ère! and Others, C‑262/12,', 'start': 534, 'end': 560}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9984906), 'word': ' EU', 'start': 560, 'end': 563}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9170392), 'word': ':C', 'start': 563, 'end': 565}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8978326), 'word': ':20', 'start': 565, 'end': 568}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9985536), 'word': '13:851, paragraph 20).', 'start': 568, 'end': 590}]"
"EU law cannot permit the rules on State aid to be circumvented merely through the creation of autonomous institutions charged with allocating aid (see judgment of 16 May 2002, France v Commission, C‑482/99, EU:C:2002:294, paragraph 23).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9870825), 'word': 'EU', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9626272), 'word': ' law cannot', 'start': 2, 'end': 13}, {'entity_group': 'LABEL_1', 'score': np.float32(0.979621), 'word': ' permit', 'start': 13, 'end': 20}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9887605), 'word': ' the rules', 'start': 20, 'end': 30}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9994281), 'word': ' on', 'start': 30, 'end': 33}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99817204), 'word': ' State', 'start': 33, 'end': 39}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6138787), 'word': ' aid', 'start': 39, 'end': 43}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94955105), 'word': ' to be circumvented merely through the creation of autonomous institutions charged with allocating aid (see judgment of 16 May 2002, France v Commission,', 'start': 43, 'end': 196}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96129817), 'word': ' C', 'start': 196, 'end': 198}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9984946), 'word': '‑482/99,', 'start': 198, 'end': 206}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8278109), 'word': ' EU:', 'start': 206, 'end': 210}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83962), 'word': 'C', 'start': 210, 'end': 211}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6633727), 'word': ':20', 'start': 211, 'end': 214}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9840147), 'word': '02:294, paragraph', 'start': 214, 'end': 231}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8815304), 'word': ' ', 'start': 231, 'end': 232}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999506), 'word': '23).', 'start': 232, 'end': 236}]"
