text,label,dhananjay_events
"Since Lico Leasing and PYMAR dispute the admissibility of the first complaint in the first part of the Commission’s first ground of appeal alleging an error of law in the identification of the beneficiaries of the advantages arising from the tax measures at issue on the ground that it is a question of fact, it is true that the assessment of facts and evidence does not constitute, save where the clear sense of the facts and evidence has been distorted, a question of law which is subject, as such, to review by the Court of Justice in the context of an appeal.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.97732365), 'word': 'Since Lico Leasing and', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9733793), 'word': ' PYMAR', 'start': 22, 'end': 28}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9993936), 'word': ' dispute', 'start': 28, 'end': 36}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9988386), 'word': ' the', 'start': 36, 'end': 40}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92317706), 'word': ' admissibility', 'start': 40, 'end': 54}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9454746), 'word': ' of the first', 'start': 54, 'end': 67}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999964), 'word': ' complaint', 'start': 67, 'end': 77}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5765783), 'word': ' in', 'start': 77, 'end': 80}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9973283), 'word': ' the first part of', 'start': 80, 'end': 98}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88769627), 'word': ' the', 'start': 98, 'end': 102}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94606686), 'word': ' Commission’', 'start': 102, 'end': 114}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999601), 'word': 's first', 'start': 114, 'end': 121}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9681827), 'word': ' ground', 'start': 121, 'end': 128}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99732363), 'word': ' of', 'start': 128, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9667381), 'word': ' appeal alleging an error', 'start': 131, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9975762), 'word': ' of', 'start': 156, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' law', 'start': 159, 'end': 163}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5445865), 'word': ' in', 'start': 163, 'end': 166}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9261847), 'word': ' the identification of the beneficiaries of', 'start': 166, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8470624), 'word': ' the', 'start': 209, 'end': 213}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990953), 'word': ' advantages arising', 'start': 213, 'end': 232}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99999297), 'word': ' from', 'start': 232, 'end': 237}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8868913), 'word': ' the tax measures at issue on the ground', 'start': 237, 'end': 277}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9906589), 'word': ' that', 'start': 277, 'end': 282}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9370272), 'word': ' it is a', 'start': 282, 'end': 290}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92008746), 'word': ' question of', 'start': 290, 'end': 302}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91312903), 'word': ' fact, it is true that', 'start': 302, 'end': 324}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9878566), 'word': ' the', 'start': 324, 'end': 328}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9058762), 'word': ' assessment of facts', 'start': 328, 'end': 348}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8926668), 'word': ' and', 'start': 348, 'end': 352}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9540623), 'word': ' evidence does', 'start': 352, 'end': 366}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9772868), 'word': ' not constitute', 'start': 366, 'end': 381}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9900019), 'word': ', save where the', 'start': 381, 'end': 397}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7426465), 'word': ' clear', 'start': 397, 'end': 403}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98735505), 'word': ' sense of the facts and evidence', 'start': 403, 'end': 435}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99370414), 'word': ' has', 'start': 435, 'end': 439}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83815545), 'word': ' been distorted, a', 'start': 439, 'end': 457}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8134125), 'word': ' question of', 'start': 457, 'end': 469}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999154), 'word': ' law which', 'start': 469, 'end': 479}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997422), 'word': ' is', 'start': 479, 'end': 482}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93975514), 'word': ' subject, as such,', 'start': 482, 'end': 500}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9992536), 'word': ' to', 'start': 500, 'end': 503}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999994), 'word': ' review', 'start': 503, 'end': 510}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79721904), 'word': ' by', 'start': 510, 'end': 513}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8783003), 'word': ' the Court of Justice in the context of', 'start': 513, 'end': 552}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7344529), 'word': ' an appeal', 'start': 552, 'end': 562}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9736066), 'word': '.', 'start': 562, 'end': 563}]"
"However, when the General Court has established or assessed the facts, the Court of Justice has jurisdiction under Article 256 TFEU to review the legal characterisation of those facts and the legal conclusions which have been drawn from them (judgments of 6 April 2006, General Motors v Commission, C‑551/03 P, EU:C:2006:229, paragraph 51; of 22 December 2008, British Aggregates v Commission, C‑487/06 P, EU:C:2008:757, paragraph 96, and of 20 December 2017, Comunidad Autónoma del País Vasco and Others v Commission, C‑66/16 P to C‑69/16 P, EU:C:2017:999, paragraph 97).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9724195), 'word': 'However, when', 'start': 0, 'end': 13}, {'entity_group': 'LABEL_1', 'score': np.float32(0.72377795), 'word': ' the General Court', 'start': 13, 'end': 31}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9841145), 'word': ' has established', 'start': 31, 'end': 47}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86421055), 'word': ' or assessed the', 'start': 47, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9907416), 'word': ' facts, the Court of Justice has jurisdiction under Article 256', 'start': 63, 'end': 126}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99598306), 'word': ' TFE', 'start': 126, 'end': 130}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9953974), 'word': 'U to review', 'start': 130, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.66184473), 'word': ' the', 'start': 141, 'end': 145}, {'entity_group': 'LABEL_0', 'score': np.float32(0.984646), 'word': ' legal characterisation of those facts and the legal conclusions which have been drawn from them (judgments of 6 April', 'start': 145, 'end': 263}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6058471), 'word': ' 2', 'start': 263, 'end': 265}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98925555), 'word': '006,', 'start': 265, 'end': 269}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99963796), 'word': ' General', 'start': 269, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.863842), 'word': ' Motors v Commission', 'start': 277, 'end': 297}, {'entity_group': 'LABEL_1', 'score': np.float32(0.53019947), 'word': ',', 'start': 297, 'end': 298}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9443118), 'word': ' C‑551/03 P,', 'start': 298, 'end': 310}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9896339), 'word': ' EU', 'start': 310, 'end': 313}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92345154), 'word': ':C', 'start': 313, 'end': 315}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99374676), 'word': ':2', 'start': 315, 'end': 317}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99996114), 'word': '00', 'start': 317, 'end': 319}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6683087), 'word': '6', 'start': 319, 'end': 320}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99544406), 'word': ':229, paragraph 51; of 22 December', 'start': 320, 'end': 354}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9080347), 'word': ' 2', 'start': 354, 'end': 356}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99763775), 'word': '008', 'start': 356, 'end': 359}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9623221), 'word': ', British Aggregates', 'start': 359, 'end': 379}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95071614), 'word': ' v Commission, C', 'start': 379, 'end': 395}, {'entity_group': 'LABEL_1', 'score': np.float32(0.53330314), 'word': '‑', 'start': 395, 'end': 396}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994056), 'word': '487/06 P,', 'start': 396, 'end': 405}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9950812), 'word': ' EU', 'start': 405, 'end': 408}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9922463), 'word': ':', 'start': 408, 'end': 409}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5706327), 'word': 'C', 'start': 409, 'end': 410}, {'entity_group': 'LABEL_0', 'score': np.float32(0.5523684), 'word': ':', 'start': 410, 'end': 411}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75242996), 'word': '20', 'start': 411, 'end': 413}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9806246), 'word': '08:757, paragraph 96, and of 20 December', 'start': 413, 'end': 453}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999993), 'word': ' ', 'start': 453, 'end': 454}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9750794), 'word': '20', 'start': 454, 'end': 456}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8207068), 'word': '1', 'start': 456, 'end': 457}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9836844), 'word': '7, Comunidad Autónoma del País Vasco and Others v Commission, C‑66', 'start': 457, 'end': 523}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8856494), 'word': '/', 'start': 523, 'end': 524}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99704725), 'word': '16 P to C‑69', 'start': 524, 'end': 536}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9290994), 'word': '/', 'start': 536, 'end': 537}, {'entity_group': 'LABEL_0', 'score': np.float32(0.912499), 'word': '16 P,', 'start': 537, 'end': 542}, {'entity_group': 'LABEL_1', 'score': np.float32(0.922094), 'word': ' EU', 'start': 542, 'end': 545}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89835423), 'word': ':C:', 'start': 545, 'end': 548}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9461792), 'word': '20', 'start': 548, 'end': 550}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997435), 'word': '17:999, paragraph 97).', 'start': 550, 'end': 572}]"
"By that complaint, the Commission does not dispute the facts on which the General Court relied, but the inferences which it drew from them, in particular those drawn from the tax transparency of the EIGs, in order to hold that the investors — the members of the EIGs — and not the EIGs themselves, were the beneficiaries of the advantages arising from the tax measures at issue.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.91598386), 'word': 'By that complaint', 'start': 0, 'end': 17}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9888847), 'word': ',', 'start': 17, 'end': 18}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9987746), 'word': ' the', 'start': 18, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999927), 'word': ' Commission', 'start': 22, 'end': 33}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9976794), 'word': ' does not dispute the', 'start': 33, 'end': 54}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85255927), 'word': ' facts on which the General Court', 'start': 54, 'end': 87}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99670804), 'word': ' relied,', 'start': 87, 'end': 95}, {'entity_group': 'LABEL_1', 'score': np.float32(0.61269677), 'word': ' but the', 'start': 95, 'end': 103}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9962043), 'word': ' inferences which it drew from them, in particular those drawn from the tax', 'start': 103, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6119295), 'word': ' transparency', 'start': 178, 'end': 191}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9379276), 'word': ' of the EIGs, in order to hold that the investors — the members of the EIGs — and not the EIGs themselves, were the beneficiaries of the advantages arising from the tax measures at issue.', 'start': 191, 'end': 378}]"
"In doing so, the Commission seeks a review of the General Court’s legal classification relating to the beneficiaries of those advantages, which falls within the jurisdiction of the Court of Justice in the context of an appeal.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.97395265), 'word': 'In doing', 'start': 0, 'end': 8}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9878039), 'word': ' so, the Commission seeks a review', 'start': 8, 'end': 42}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998248), 'word': ' of the General', 'start': 42, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93551517), 'word': ' Court’s legal classification relating', 'start': 57, 'end': 95}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9971155), 'word': ' to the', 'start': 95, 'end': 102}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92438567), 'word': ' beneficiaries of those advantages, which falls within the jurisdiction', 'start': 102, 'end': 173}, {'entity_group': 'LABEL_1', 'score': np.float32(0.80444956), 'word': ' of', 'start': 173, 'end': 176}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994024), 'word': ' the Court of Justice in', 'start': 176, 'end': 200}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8652108), 'word': ' the', 'start': 200, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9187323), 'word': ' context of an appeal.', 'start': 204, 'end': 226}]"
That complaint is therefore admissible.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9783979), 'word': 'That complaint is therefore admissible.', 'start': 0, 'end': 39}]"
"With regard to the Commission’s argument that the EIG and its members are part of an economic unit and are the beneficiaries of the advantages arising from the tax measures at issue, which Lico Leasing and PYMAR, and Bankia and Others claim is out of time, it must be pointed out that that argument was advanced before the General Court, as is apparent from paragraphs 167 and 168 of the judgment under appeal.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.92632484), 'word': 'With regard to', 'start': 0, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9836426), 'word': ' the', 'start': 14, 'end': 18}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999178), 'word': ' Commission’', 'start': 18, 'end': 30}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8117154), 'word': 's', 'start': 30, 'end': 31}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9828279), 'word': ' argument that the', 'start': 31, 'end': 49}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92269003), 'word': ' E', 'start': 49, 'end': 51}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97297806), 'word': 'IG', 'start': 51, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9976822), 'word': ' and', 'start': 53, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9955003), 'word': ' its members are part of an economic unit and are the beneficiaries of the advantages arising from the tax measures at issue', 'start': 57, 'end': 181}, {'entity_group': 'LABEL_1', 'score': np.float32(0.556005), 'word': ',', 'start': 181, 'end': 182}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8464575), 'word': ' which Lico Leasing and', 'start': 182, 'end': 205}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95821196), 'word': ' PY', 'start': 205, 'end': 208}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9822756), 'word': 'MAR, and Bankia', 'start': 208, 'end': 223}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99703836), 'word': ' and', 'start': 223, 'end': 227}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95390034), 'word': ' Others claim is out of time, it must', 'start': 227, 'end': 264}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90269786), 'word': ' be', 'start': 264, 'end': 267}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9854774), 'word': ' pointed out', 'start': 267, 'end': 279}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89086556), 'word': ' that that', 'start': 279, 'end': 289}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9985655), 'word': ' argument', 'start': 289, 'end': 298}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82711816), 'word': ' was advanced', 'start': 298, 'end': 311}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91806835), 'word': ' before', 'start': 311, 'end': 318}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8358277), 'word': ' the General', 'start': 318, 'end': 330}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998341), 'word': ' Court,', 'start': 330, 'end': 337}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9201469), 'word': ' as is', 'start': 337, 'end': 343}, {'entity_group': 'LABEL_0', 'score': np.float32(0.968783), 'word': ' apparent from paragraphs 167 and', 'start': 343, 'end': 376}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9955177), 'word': ' ', 'start': 376, 'end': 377}, {'entity_group': 'LABEL_0', 'score': np.float32(0.62290686), 'word': '1', 'start': 377, 'end': 378}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8848266), 'word': '68 of the', 'start': 378, 'end': 387}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999993), 'word': ' judgment', 'start': 387, 'end': 396}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99997544), 'word': ' under', 'start': 396, 'end': 402}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' appeal', 'start': 402, 'end': 409}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9854447), 'word': '.', 'start': 409, 'end': 410}]"
"Consequently, the pleas of inadmissibility raised against that argument are unfounded.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.93216866), 'word': 'Consequently, the pleas of inadmissibility raised against that argument are unfounded', 'start': 0, 'end': 85}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9945797), 'word': '.', 'start': 85, 'end': 86}]"
"As regards the substance, it must be recalled that EU competition law and, in particular, the prohibition under Article 107(1) TFEU apply to the activities of undertakings.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.98685324), 'word': 'As regards', 'start': 0, 'end': 10}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8341742), 'word': ' the', 'start': 10, 'end': 14}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995628), 'word': ' substance, it must', 'start': 14, 'end': 33}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94699687), 'word': ' be', 'start': 33, 'end': 36}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9795097), 'word': ' recalled that', 'start': 36, 'end': 50}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99991834), 'word': ' EU', 'start': 50, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92033863), 'word': ' competition law and, in particular, the prohibition', 'start': 53, 'end': 105}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999925), 'word': ' under', 'start': 105, 'end': 111}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998338), 'word': ' Article', 'start': 111, 'end': 119}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9915684), 'word': ' ', 'start': 119, 'end': 120}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9931384), 'word': '107(1)', 'start': 120, 'end': 126}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996245), 'word': ' T', 'start': 126, 'end': 128}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87125236), 'word': 'FEU apply to the activities of undertakings.', 'start': 128, 'end': 172}]"
"The term ‘undertaking’, in this context, covers any entity engaged in an economic activity, regardless of its legal status and the way in which it is financed.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999788), 'word': ' term', 'start': 3, 'end': 8}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9938916), 'word': ' ‘', 'start': 8, 'end': 10}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9553815), 'word': 'undertaking’, in this context, covers', 'start': 10, 'end': 47}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9832665), 'word': ' any', 'start': 47, 'end': 51}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7916856), 'word': ' entity engaged', 'start': 51, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94577414), 'word': ' in an economic', 'start': 66, 'end': 81}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9834364), 'word': ' activity, regardless', 'start': 81, 'end': 102}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96792835), 'word': ' of its legal', 'start': 102, 'end': 115}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' status', 'start': 115, 'end': 122}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98920006), 'word': ' and the', 'start': 122, 'end': 130}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84196687), 'word': ' way in', 'start': 130, 'end': 137}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89385676), 'word': ' which', 'start': 137, 'end': 143}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997255), 'word': ' it', 'start': 143, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.995817), 'word': ' is', 'start': 146, 'end': 149}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999994), 'word': ' financed', 'start': 149, 'end': 158}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7672758), 'word': '.', 'start': 158, 'end': 159}]"
"Any activity consisting in offering goods or services on a given market is an economic activity (see, to that effect, judgment of 27 June 2017, Congregación de Escuelas Pías Provincia Betania, C‑74/16, EU:C:2017:496, paragraphs 39, 41 and 45 and the case-law cited).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.98681575), 'word': 'Any', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99683475), 'word': ' activity consisting', 'start': 3, 'end': 23}, {'entity_group': 'LABEL_1', 'score': np.float32(0.936551), 'word': ' in offering', 'start': 23, 'end': 35}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999974), 'word': ' goods', 'start': 35, 'end': 41}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999999), 'word': ' or', 'start': 41, 'end': 44}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9294969), 'word': ' services', 'start': 44, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995003), 'word': ' on', 'start': 53, 'end': 56}, {'entity_group': 'LABEL_0', 'score': np.float32(0.75879234), 'word': ' a', 'start': 56, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.54970676), 'word': ' given', 'start': 58, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85561335), 'word': ' market is an economic activity', 'start': 64, 'end': 95}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9915201), 'word': ' (see,', 'start': 95, 'end': 101}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999332), 'word': ' to that effect', 'start': 101, 'end': 116}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9985667), 'word': ',', 'start': 116, 'end': 117}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99918437), 'word': ' judgment of 27 June', 'start': 117, 'end': 137}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8545482), 'word': ' 2', 'start': 137, 'end': 139}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98006487), 'word': '017, Congregación', 'start': 139, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89444804), 'word': ' de Escuelas', 'start': 156, 'end': 168}, {'entity_group': 'LABEL_0', 'score': np.float32(0.917841), 'word': ' P', 'start': 168, 'end': 170}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9848424), 'word': 'ías Provincia', 'start': 170, 'end': 183}, {'entity_group': 'LABEL_0', 'score': np.float32(0.971428), 'word': ' Betania, C‑74', 'start': 183, 'end': 197}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83888423), 'word': '/', 'start': 197, 'end': 198}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9427983), 'word': '16,', 'start': 198, 'end': 201}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97415257), 'word': ' EU', 'start': 201, 'end': 204}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9664493), 'word': ':C:2', 'start': 204, 'end': 208}, {'entity_group': 'LABEL_1', 'score': np.float32(0.996983), 'word': '0', 'start': 208, 'end': 209}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99746925), 'word': '17:496, paragraphs 39,', 'start': 209, 'end': 231}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98256403), 'word': ' ', 'start': 231, 'end': 232}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99610776), 'word': '41 and', 'start': 232, 'end': 238}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9990073), 'word': ' ', 'start': 238, 'end': 239}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8626527), 'word': '45 and', 'start': 239, 'end': 245}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9154331), 'word': ' the', 'start': 245, 'end': 249}, {'entity_group': 'LABEL_0', 'score': np.float32(0.968794), 'word': ' case-', 'start': 249, 'end': 255}, {'entity_group': 'LABEL_1', 'score': np.float32(0.77946544), 'word': 'law', 'start': 255, 'end': 258}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9457109), 'word': ' cited).', 'start': 258, 'end': 266}]"
