text,label,dhananjay_events
The Commission and DAI seek a declaration by the Court that the main appeal is clearly inadmissible since it does no more than repeat or reproduce verbatim the pleas in law relied on before the Court of First Instance and contains no specific legal argument for having the judgment under appeal set aside.,prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9774495), 'word': ' Commission and DAI seek a declaration by the Court that the', 'start': 3, 'end': 63}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75472283), 'word': ' main', 'start': 63, 'end': 68}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98653376), 'word': ' appeal is', 'start': 68, 'end': 78}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98095405), 'word': ' clearly', 'start': 78, 'end': 86}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99926823), 'word': ' inadmissible since it does no more', 'start': 86, 'end': 121}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9749653), 'word': ' than', 'start': 121, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82872933), 'word': ' repeat or reproduce', 'start': 126, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7666055), 'word': ' verbatim the', 'start': 146, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9987674), 'word': ' pleas', 'start': 159, 'end': 165}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9799893), 'word': ' in law', 'start': 165, 'end': 172}, {'entity_group': 'LABEL_0', 'score': np.float32(0.998771), 'word': ' relied on before', 'start': 172, 'end': 189}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99589694), 'word': ' the', 'start': 189, 'end': 193}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87199026), 'word': ' Court of First Instance', 'start': 193, 'end': 217}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92288727), 'word': ' and', 'start': 217, 'end': 221}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99991953), 'word': ' contains', 'start': 221, 'end': 230}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9952833), 'word': ' no', 'start': 230, 'end': 233}, {'entity_group': 'LABEL_0', 'score': np.float32(0.63150984), 'word': ' specific', 'start': 233, 'end': 242}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8486582), 'word': ' legal', 'start': 242, 'end': 248}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98331565), 'word': ' argument for having', 'start': 248, 'end': 268}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94021976), 'word': ' the', 'start': 268, 'end': 272}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999949), 'word': ' judgment', 'start': 272, 'end': 281}, {'entity_group': 'LABEL_1', 'score': np.float32(0.72314024), 'word': ' under', 'start': 281, 'end': 287}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98549366), 'word': ' appeal set aside.', 'start': 287, 'end': 305}]"
"According to settled case-law, where an appeal merely repeats or reproduces verbatim the pleas in law and arguments previously submitted to the Court of First Instance, including those based on facts expressly rejected by that Court, it fails to satisfy the requirements under Article 51 of the EC Statute of the Court of Justice and Article 112(1)(c) of the Rules of Procedure.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.66486245), 'word': 'According', 'start': 0, 'end': 9}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9954033), 'word': ' to', 'start': 9, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9628965), 'word': ' settled', 'start': 12, 'end': 20}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93148303), 'word': ' case-law, where an appeal merely repeats or reproduces verbatim', 'start': 20, 'end': 84}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5651215), 'word': ' the', 'start': 84, 'end': 88}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9696121), 'word': ' pleas', 'start': 88, 'end': 94}, {'entity_group': 'LABEL_1', 'score': np.float32(0.983447), 'word': ' in law and', 'start': 94, 'end': 105}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7487228), 'word': ' arguments', 'start': 105, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9859431), 'word': ' previously', 'start': 115, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9314649), 'word': ' submitted to the Court', 'start': 126, 'end': 149}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996125), 'word': ' of', 'start': 149, 'end': 152}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99073935), 'word': ' First Instance', 'start': 152, 'end': 167}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8891636), 'word': ', including those based on', 'start': 167, 'end': 193}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97400075), 'word': ' facts', 'start': 193, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9789833), 'word': ' expressly', 'start': 199, 'end': 209}, {'entity_group': 'LABEL_0', 'score': np.float32(0.962317), 'word': ' rejected by that Court', 'start': 209, 'end': 232}, {'entity_group': 'LABEL_1', 'score': np.float32(0.70098084), 'word': ',', 'start': 232, 'end': 233}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997387), 'word': ' it fails', 'start': 233, 'end': 242}, {'entity_group': 'LABEL_1', 'score': np.float32(0.87139165), 'word': ' to satisfy the requirements under', 'start': 242, 'end': 276}, {'entity_group': 'LABEL_0', 'score': np.float32(0.900947), 'word': ' Article', 'start': 276, 'end': 284}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98579156), 'word': ' ', 'start': 284, 'end': 285}, {'entity_group': 'LABEL_0', 'score': np.float32(0.74346375), 'word': '51', 'start': 285, 'end': 287}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9844223), 'word': ' of', 'start': 287, 'end': 290}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9550984), 'word': ' the EC Statute', 'start': 290, 'end': 305}, {'entity_group': 'LABEL_1', 'score': np.float32(0.655857), 'word': ' of', 'start': 305, 'end': 308}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99453735), 'word': ' the Court of Justice and Article', 'start': 308, 'end': 341}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98516464), 'word': ' ', 'start': 341, 'end': 342}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84532595), 'word': '112', 'start': 342, 'end': 345}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6212166), 'word': '(', 'start': 345, 'end': 346}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9992118), 'word': '1', 'start': 346, 'end': 347}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999528), 'word': ')(', 'start': 347, 'end': 349}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999968), 'word': 'c', 'start': 349, 'end': 350}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74537635), 'word': ') of', 'start': 350, 'end': 354}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8828721), 'word': ' the Rules of Procedure.', 'start': 354, 'end': 378}]"
"In reality, such an appeal amounts to no more than a request for re-examination of the application submitted to the Court of First Instance, which, under Article 49 of the EC Statute of the Court of Justice, falls outside the jurisdiction of the Court of Justice (see, in particular, the order of 25 March 1998 in Case C-174/97 P FFSA and Others v Commission [1998] ECR I-1303, paragraph 24).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547156), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' reality', 'start': 2, 'end': 10}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9617559), 'word': ',', 'start': 10, 'end': 11}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9518317), 'word': ' such an appeal amounts to', 'start': 11, 'end': 37}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6971389), 'word': ' no', 'start': 37, 'end': 40}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9497024), 'word': ' more than a request for re-examination', 'start': 40, 'end': 79}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99798304), 'word': ' of the', 'start': 79, 'end': 86}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99978906), 'word': ' application submitted to the Court', 'start': 86, 'end': 121}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6195344), 'word': ' of', 'start': 121, 'end': 124}, {'entity_group': 'LABEL_0', 'score': np.float32(0.81998646), 'word': ' First Instance', 'start': 124, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.67122185), 'word': ',', 'start': 139, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87136406), 'word': ' which, under Article 49', 'start': 140, 'end': 164}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7938579), 'word': ' of the', 'start': 164, 'end': 171}, {'entity_group': 'LABEL_0', 'score': np.float32(0.86026603), 'word': ' EC Statute', 'start': 171, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96094704), 'word': ' of the', 'start': 182, 'end': 189}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89274645), 'word': ' Court of Justice, falls outside', 'start': 189, 'end': 221}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99989057), 'word': ' the', 'start': 221, 'end': 225}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9232833), 'word': ' jurisdiction of the Court of Justice (see, in particular, the order of 25 March ', 'start': 225, 'end': 306}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98974), 'word': '1', 'start': 306, 'end': 307}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9783813), 'word': '998 in Case C-174/97 P FFSA and Others v Commission [', 'start': 307, 'end': 360}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9575989), 'word': '1', 'start': 360, 'end': 361}, {'entity_group': 'LABEL_0', 'score': np.float32(0.953677), 'word': '998] ECR I-1303', 'start': 361, 'end': 376}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8911111), 'word': ',', 'start': 376, 'end': 377}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9862312), 'word': ' paragraph 24).', 'start': 377, 'end': 392}]"
"However, provided that the appellant challenges the interpretation or application of Community law by the Court of First Instance, the points of law examined at first instance may be discussed again in the course of an appeal (Case C-210/98 P Salzgitter v Commission [2000] ECR I-5843, paragraph 43).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.99618757), 'word': 'However, provided that', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5999198), 'word': ' the', 'start': 22, 'end': 26}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99775726), 'word': ' appellant', 'start': 26, 'end': 36}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7554743), 'word': ' challenges', 'start': 36, 'end': 47}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99292076), 'word': ' the interpretation or application of', 'start': 47, 'end': 84}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82513136), 'word': ' Community', 'start': 84, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99969196), 'word': ' law', 'start': 94, 'end': 98}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99982893), 'word': ' by', 'start': 98, 'end': 101}, {'entity_group': 'LABEL_0', 'score': np.float32(0.972662), 'word': ' the Court of First Instance, the', 'start': 101, 'end': 134}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86072564), 'word': ' points of law', 'start': 134, 'end': 148}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9973188), 'word': ' examined', 'start': 148, 'end': 157}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6405008), 'word': ' at', 'start': 157, 'end': 160}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9547183), 'word': ' first instance may', 'start': 160, 'end': 179}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9794812), 'word': ' be', 'start': 179, 'end': 182}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999715), 'word': ' discussed again', 'start': 182, 'end': 198}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7014016), 'word': ' in the', 'start': 198, 'end': 205}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8979658), 'word': ' course of an appeal (Case C-210/98 P Salz', 'start': 205, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.76970804), 'word': 'gitter v', 'start': 247, 'end': 255}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9331645), 'word': ' Commission [2000] ECR I-5843, paragraph', 'start': 255, 'end': 295}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9079434), 'word': ' ', 'start': 295, 'end': 296}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99574035), 'word': '43).', 'start': 296, 'end': 300}]"
"Indeed, if an appellant could not thus base his appeal on pleas in law and arguments already relied on before the Court of First Instance, an appeal would be deprived of part of its purpose.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.89747494), 'word': 'Indeed, if an appellant', 'start': 0, 'end': 23}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94045967), 'word': ' could not', 'start': 23, 'end': 33}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87619835), 'word': ' thus base his appeal on pleas in law', 'start': 33, 'end': 70}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7959609), 'word': ' and arguments already', 'start': 70, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96259326), 'word': ' relied on before the Court of First Instance, an appeal would be deprived', 'start': 92, 'end': 166}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96734256), 'word': ' of', 'start': 166, 'end': 169}, {'entity_group': 'LABEL_0', 'score': np.float32(0.995951), 'word': ' part of its purpose.', 'start': 169, 'end': 190}]"
"In the present case the main appeal, taken as a whole, specifically seeks to challenge the position adopted by the Court of First Instance on various points of law raised before it at first instance.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547144), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99761724), 'word': ' the present case the main appeal, taken', 'start': 2, 'end': 42}, {'entity_group': 'LABEL_1', 'score': np.float32(0.54981524), 'word': ' as', 'start': 42, 'end': 45}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94752926), 'word': ' a whole, specifically seeks to challenge', 'start': 45, 'end': 86}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998857), 'word': ' the', 'start': 86, 'end': 90}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99600434), 'word': ' position adopted by', 'start': 90, 'end': 110}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9288817), 'word': ' the', 'start': 110, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9977545), 'word': ' Court of', 'start': 114, 'end': 123}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8761396), 'word': ' First', 'start': 123, 'end': 129}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7805271), 'word': ' Instance on', 'start': 129, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998426), 'word': ' various', 'start': 141, 'end': 149}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999964), 'word': ' points', 'start': 149, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8912763), 'word': ' of', 'start': 156, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7957187), 'word': ' law raised', 'start': 159, 'end': 170}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98120636), 'word': ' before', 'start': 170, 'end': 177}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9993566), 'word': ' it at first instance', 'start': 177, 'end': 198}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9917854), 'word': '.', 'start': 198, 'end': 199}]"
It indicates clearly the aspects of the judgment under appeal which are criticised and the pleas in law and arguments on which it is based.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.97945976), 'word': 'It indicates clearly', 'start': 0, 'end': 20}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998204), 'word': ' the', 'start': 20, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999354), 'word': ' aspects of', 'start': 24, 'end': 35}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9706886), 'word': ' the', 'start': 35, 'end': 39}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' judgment', 'start': 39, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9066274), 'word': ' under', 'start': 48, 'end': 54}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92735064), 'word': ' appeal which are criticised and the pleas in', 'start': 54, 'end': 99}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9608114), 'word': ' law and arguments', 'start': 99, 'end': 117}, {'entity_group': 'LABEL_0', 'score': np.float32(0.86451083), 'word': ' on', 'start': 117, 'end': 120}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9470027), 'word': ' which', 'start': 120, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9558796), 'word': ' it is based', 'start': 126, 'end': 138}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6754255), 'word': '.', 'start': 138, 'end': 139}]"
"First, it is clear from reading paragraphs 35 and 36 of the judgment under appeal that they are not vitiated by any contradiction, contrary to the contention of the Commission.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.959322), 'word': 'First', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9257699), 'word': ', it is clear from reading paragraphs 35 and 36', 'start': 5, 'end': 52}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8179158), 'word': ' of the', 'start': 52, 'end': 59}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' judgment', 'start': 59, 'end': 68}, {'entity_group': 'LABEL_1', 'score': np.float32(0.999946), 'word': ' under', 'start': 68, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98829), 'word': ' appeal that', 'start': 74, 'end': 86}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88247323), 'word': ' they are', 'start': 86, 'end': 95}, {'entity_group': 'LABEL_0', 'score': np.float32(0.72054785), 'word': ' not', 'start': 95, 'end': 99}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9904635), 'word': ' viti', 'start': 99, 'end': 104}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98922646), 'word': 'ated by any contradiction, contrary to the contention of the Commission.', 'start': 104, 'end': 176}]"
"To begin with, in paragraph 35, the Court of First Instance rejected the objection of inadmissibility raised by the Commission.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.76338935), 'word': 'To', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996406), 'word': ' begin with', 'start': 2, 'end': 13}, {'entity_group': 'LABEL_1', 'score': np.float32(0.67270094), 'word': ',', 'start': 13, 'end': 14}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9719444), 'word': ' in paragraph 35, the', 'start': 14, 'end': 35}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998045), 'word': ' Court', 'start': 35, 'end': 41}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9977977), 'word': ' of First', 'start': 41, 'end': 50}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99989784), 'word': ' Instance', 'start': 50, 'end': 59}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97391284), 'word': ' rejected the objection of inad', 'start': 59, 'end': 90}, {'entity_group': 'LABEL_1', 'score': np.float32(0.71395206), 'word': 'mis', 'start': 90, 'end': 93}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9374711), 'word': 'sibility raised by the Commission.', 'start': 93, 'end': 127}]"
In paragraph 36 it set out the reasons why it considered that the objection could not be upheld.,prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547148), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999347), 'word': ' paragraph 36 it set', 'start': 2, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99942183), 'word': ' out the', 'start': 22, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94021475), 'word': ' reasons why it considered', 'start': 30, 'end': 56}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79692006), 'word': ' that the', 'start': 56, 'end': 65}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99892753), 'word': ' objection could', 'start': 65, 'end': 81}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97170997), 'word': ' not', 'start': 81, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99780256), 'word': ' be upheld', 'start': 85, 'end': 95}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97136647), 'word': '.', 'start': 95, 'end': 96}]"
