text,label,dhananjay_events
Both Italy and Wam contest the admissibility of the appeal.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.92992735), 'word': 'Both Italy and Wam contest the admis', 'start': 0, 'end': 36}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7885961), 'word': 'sibility', 'start': 36, 'end': 44}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9969651), 'word': ' of', 'start': 44, 'end': 47}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6392927), 'word': ' the', 'start': 47, 'end': 51}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999976), 'word': ' appeal', 'start': 51, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.50785846), 'word': '.', 'start': 58, 'end': 59}]"
Italy argues that the Commission’s contention that the judgment of the Court of First Instance is inconsistent with the case-law of the Court of Justice is a ground of appeal which does not relate to a point of law.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': 'Italy', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96436566), 'word': ' argues', 'start': 5, 'end': 12}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9820786), 'word': ' that', 'start': 12, 'end': 17}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75117), 'word': ' the', 'start': 17, 'end': 21}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97240955), 'word': ' Commission’s contention that the judgment of the Court of First Instance is inconsistent with the case', 'start': 21, 'end': 124}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93126315), 'word': '-', 'start': 124, 'end': 125}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999962), 'word': 'law', 'start': 125, 'end': 128}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81494516), 'word': ' of', 'start': 128, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98401064), 'word': ' the Court of Justice is a ground', 'start': 131, 'end': 164}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999696), 'word': ' of', 'start': 164, 'end': 167}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99885744), 'word': ' appeal which does', 'start': 167, 'end': 185}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9488528), 'word': ' not relate', 'start': 185, 'end': 196}, {'entity_group': 'LABEL_0', 'score': np.float32(0.64710444), 'word': ' to', 'start': 196, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9440292), 'word': ' a point', 'start': 199, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.5202792), 'word': ' of', 'start': 207, 'end': 210}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7917048), 'word': ' law.', 'start': 210, 'end': 215}]"
"In that respect, it should be borne in mind that, pursuant to Article 58 of the Statute of the Court of Justice, an appeal to the Court of Justice is to be limited to points of law and is to lie on grounds, in particular, of infringement of Community law by the Court of First Instance.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.95471466), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9272085), 'word': ' that respect, it should be borne in mind', 'start': 2, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9944746), 'word': ' that', 'start': 43, 'end': 48}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9682462), 'word': ', pursuant', 'start': 48, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9507038), 'word': ' to', 'start': 58, 'end': 61}, {'entity_group': 'LABEL_0', 'score': np.float32(0.81193924), 'word': ' Article 58 of the Statute of', 'start': 61, 'end': 90}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82839257), 'word': ' the', 'start': 90, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98758614), 'word': ' Court', 'start': 94, 'end': 100}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8844067), 'word': ' of', 'start': 100, 'end': 103}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999994), 'word': ' Justice', 'start': 103, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9923422), 'word': ', an appeal', 'start': 111, 'end': 122}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8103018), 'word': ' to the Court of Justice', 'start': 122, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9979413), 'word': ' is', 'start': 146, 'end': 149}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98896015), 'word': ' to', 'start': 149, 'end': 152}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98539007), 'word': ' be', 'start': 152, 'end': 155}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7193994), 'word': ' limited', 'start': 155, 'end': 163}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9994399), 'word': ' to points of law and is', 'start': 163, 'end': 187}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9702767), 'word': ' to', 'start': 187, 'end': 190}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9251729), 'word': ' lie on grounds,', 'start': 190, 'end': 206}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95503414), 'word': ' in particular, of infringement', 'start': 206, 'end': 237}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995571), 'word': ' of', 'start': 237, 'end': 240}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85440075), 'word': ' Community law by the Court of First Instance.', 'start': 240, 'end': 286}]"
"As the Advocate General states in point 20 of her Opinion, the Commission’s appeal is based, precisely, upon the allegation that the Court of First Instance has infringed Community law by failing to follow and apply the interpretation of Articles 87 EC and 253 EC laid down in the case-law of the Court of Justice.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.97489864), 'word': 'As', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_1', 'score': np.float32(0.72382015), 'word': ' the', 'start': 2, 'end': 6}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9691294), 'word': ' Advocate General states in point 20 of her Opinion, the Commission’', 'start': 6, 'end': 74}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5858857), 'word': 's', 'start': 74, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9703706), 'word': ' appeal is based', 'start': 75, 'end': 91}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85605866), 'word': ',', 'start': 91, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95066655), 'word': ' precisely,', 'start': 92, 'end': 103}, {'entity_group': 'LABEL_1', 'score': np.float32(0.726205), 'word': ' upon the', 'start': 103, 'end': 112}, {'entity_group': 'LABEL_0', 'score': np.float32(0.86424696), 'word': ' allegation that', 'start': 112, 'end': 128}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9531532), 'word': ' the', 'start': 128, 'end': 132}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95234907), 'word': ' Court of', 'start': 132, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9543671), 'word': ' First', 'start': 141, 'end': 147}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8752656), 'word': ' Instance has inf', 'start': 147, 'end': 164}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9630842), 'word': 'ringed Community', 'start': 164, 'end': 180}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88912964), 'word': ' law by failing to', 'start': 180, 'end': 198}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79953015), 'word': ' follow and', 'start': 198, 'end': 209}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95815885), 'word': ' apply the interpretation of Articles', 'start': 209, 'end': 246}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7084129), 'word': ' ', 'start': 246, 'end': 247}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9594464), 'word': '87 EC and', 'start': 247, 'end': 256}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9473015), 'word': ' ', 'start': 256, 'end': 257}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99586225), 'word': '253 EC laid down in the case', 'start': 257, 'end': 285}, {'entity_group': 'LABEL_1', 'score': np.float32(0.75904465), 'word': '-', 'start': 285, 'end': 286}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9783625), 'word': 'law of the Court of Justice.', 'start': 286, 'end': 314}]"
It follows that the Italian Republic’s argument that the appeal is not based on a point of law must be rejected.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.92205364), 'word': 'It follows that the Italian Republic’', 'start': 0, 'end': 37}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998254), 'word': 's', 'start': 37, 'end': 38}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8385011), 'word': ' argument that', 'start': 38, 'end': 52}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6206387), 'word': ' the', 'start': 52, 'end': 56}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9728724), 'word': ' appeal is not based', 'start': 56, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997346), 'word': ' on', 'start': 76, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8245753), 'word': ' a point', 'start': 79, 'end': 87}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99968135), 'word': ' of', 'start': 87, 'end': 90}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999926), 'word': ' law must be rejected', 'start': 90, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5599997), 'word': '.', 'start': 111, 'end': 112}]"
"Regarding Wam’s argument that the Commission’s appeal invites the Court of Justice, first, to review the substance of the judgment under appeal rather than being limited to a review of an ‘essential procedural requirement’ as laid down in Article 230 EC, and, second, to carry out a review of the substance over which the Court of Justice has no jurisdiction at the appeal stage, it should be noted that Article 230 EC gives the Court of Justice jurisdiction to review acts of Community institutions other than the Court of First Instance.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.81036973), 'word': 'Regarding Wam’', 'start': 0, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98022616), 'word': 's', 'start': 14, 'end': 15}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9674651), 'word': ' argument that the Commission’s appeal invites the Court of Justice, first, to review the substance of', 'start': 15, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86424977), 'word': ' the', 'start': 117, 'end': 121}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999416), 'word': ' judgment', 'start': 121, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9623478), 'word': ' under', 'start': 130, 'end': 136}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99987483), 'word': ' appeal rather', 'start': 136, 'end': 150}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9982839), 'word': ' than being', 'start': 150, 'end': 161}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99916065), 'word': ' limited', 'start': 161, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999752), 'word': ' to', 'start': 169, 'end': 172}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7124908), 'word': ' a review', 'start': 172, 'end': 181}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995491), 'word': ' of an', 'start': 181, 'end': 187}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9924138), 'word': ' ‘essential procedural requirement’ as laid down in Article 230 EC, and, second, to carry out a review of the substance over which the Court of Justice has no jurisdiction at the', 'start': 187, 'end': 365}, {'entity_group': 'LABEL_1', 'score': np.float32(0.52809507), 'word': ' appeal', 'start': 365, 'end': 372}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9981456), 'word': ' stage, it should be noted that Article', 'start': 372, 'end': 411}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9842646), 'word': ' ', 'start': 411, 'end': 412}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999449), 'word': '230', 'start': 412, 'end': 415}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95915157), 'word': ' EC', 'start': 415, 'end': 418}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9950661), 'word': ' gives the Court of Justice jurisdiction to review acts', 'start': 418, 'end': 473}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9387194), 'word': ' of Community', 'start': 473, 'end': 486}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' institutions other', 'start': 486, 'end': 505}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7916259), 'word': ' than the', 'start': 505, 'end': 514}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90874165), 'word': ' Court of First Instance.', 'start': 514, 'end': 539}]"
"Appeals against the judgments of the Court of First Instance are governed, however, by the terms of Article 225(1) EC and the Statute of the Court of Justice.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.7584878), 'word': 'Appeals', 'start': 0, 'end': 7}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9882697), 'word': ' against', 'start': 7, 'end': 15}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8296286), 'word': ' the judgments', 'start': 15, 'end': 29}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9762823), 'word': ' of', 'start': 29, 'end': 32}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91938317), 'word': ' the Court of First Instance', 'start': 32, 'end': 60}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9888011), 'word': ' are', 'start': 60, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.79763985), 'word': ' governed,', 'start': 64, 'end': 74}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8659092), 'word': ' however, by the', 'start': 74, 'end': 90}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85151947), 'word': ' terms', 'start': 90, 'end': 96}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94005954), 'word': ' of', 'start': 96, 'end': 99}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9002738), 'word': ' Article 225', 'start': 99, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9166487), 'word': '(', 'start': 111, 'end': 112}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995851), 'word': '1', 'start': 112, 'end': 113}, {'entity_group': 'LABEL_1', 'score': np.float32(0.792785), 'word': ') EC', 'start': 113, 'end': 117}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8779032), 'word': ' and the Statute', 'start': 117, 'end': 133}, {'entity_group': 'LABEL_1', 'score': np.float32(0.997544), 'word': ' of', 'start': 133, 'end': 136}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94158363), 'word': ' the Court of Justice', 'start': 136, 'end': 157}, {'entity_group': 'LABEL_1', 'score': np.float32(0.65128917), 'word': '.', 'start': 157, 'end': 158}]"
"Next, it must be noted that the obligation to provide a statement of reasons is an essential procedural requirement which must be distinguished from the question whether the reasoning is well founded, the latter being concerned with the substantive legality of the measure at issue (see to that effect, Case C‑310/99 Italy v Commission [2002] ECR I‑2289, paragraph 48).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.6545172), 'word': 'Next,', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' it', 'start': 5, 'end': 8}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99496084), 'word': ' must be', 'start': 8, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87474406), 'word': ' noted that the obligation to', 'start': 16, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9987596), 'word': ' provide a', 'start': 45, 'end': 55}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99682593), 'word': ' statement', 'start': 55, 'end': 65}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9856062), 'word': ' of reasons is', 'start': 65, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.79845166), 'word': ' an', 'start': 79, 'end': 82}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9116307), 'word': ' essential', 'start': 82, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8058822), 'word': ' procedural requirement', 'start': 92, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9949584), 'word': ' which must be', 'start': 115, 'end': 129}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990513), 'word': ' distinguished', 'start': 129, 'end': 143}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9864068), 'word': ' from the', 'start': 143, 'end': 152}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9950849), 'word': ' question whether', 'start': 152, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6979822), 'word': ' the', 'start': 169, 'end': 173}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84944344), 'word': ' reasoning is well founded', 'start': 173, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9925454), 'word': ',', 'start': 199, 'end': 200}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8835792), 'word': ' the', 'start': 200, 'end': 204}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8267428), 'word': ' latter being concerned with the substantive', 'start': 204, 'end': 248}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9941268), 'word': ' legality of', 'start': 248, 'end': 260}, {'entity_group': 'LABEL_1', 'score': np.float32(0.563545), 'word': ' the', 'start': 260, 'end': 264}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9993539), 'word': ' measure at issue', 'start': 264, 'end': 281}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99703693), 'word': ' (', 'start': 281, 'end': 283}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9385714), 'word': 'see to that effect, Case C‑310/99 Italy v Commission [', 'start': 283, 'end': 337}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99854916), 'word': '2', 'start': 337, 'end': 338}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96679795), 'word': '002] ECR I‑2289, paragraph', 'start': 338, 'end': 364}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8903126), 'word': ' ', 'start': 364, 'end': 365}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9986889), 'word': '48).', 'start': 365, 'end': 369}]"
"Since the objective of the Commission’s single ground of appeal is precisely to contest the legal analysis of the obligation of the Court of First Instance to provide a statement of reasons, the Commission cannot be criticised for inviting the Court of Justice to re-examine the substance of the contested decision.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.99633527), 'word': 'Since', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_1', 'score': np.float32(0.977284), 'word': ' the', 'start': 5, 'end': 9}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9976845), 'word': ' objective of the Commission’', 'start': 9, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9963534), 'word': 's', 'start': 38, 'end': 39}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96244884), 'word': ' single', 'start': 39, 'end': 46}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99198544), 'word': ' ground', 'start': 46, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7818516), 'word': ' of appeal is', 'start': 53, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9946641), 'word': ' precisely', 'start': 66, 'end': 76}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9898374), 'word': ' to contest the legal analysis of', 'start': 76, 'end': 109}, {'entity_group': 'LABEL_1', 'score': np.float32(0.59956986), 'word': ' the', 'start': 109, 'end': 113}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93697256), 'word': ' obligation of the Court', 'start': 113, 'end': 137}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9616034), 'word': ' of First', 'start': 137, 'end': 146}, {'entity_group': 'LABEL_0', 'score': np.float32(0.996611), 'word': ' Instance to', 'start': 146, 'end': 158}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9807229), 'word': ' provide a', 'start': 158, 'end': 168}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999998), 'word': ' statement', 'start': 168, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998963), 'word': ' of', 'start': 178, 'end': 181}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99898547), 'word': ' reasons', 'start': 181, 'end': 189}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97734594), 'word': ', the', 'start': 189, 'end': 194}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99992085), 'word': ' Commission cannot be criticised', 'start': 194, 'end': 226}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9932196), 'word': ' for inviting', 'start': 226, 'end': 239}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9565677), 'word': ' the Court of Justice to re-examine the substance of', 'start': 239, 'end': 291}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98431695), 'word': ' the', 'start': 291, 'end': 295}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9438104), 'word': ' contested decision.', 'start': 295, 'end': 315}]"
It follows that Wam’s argument concerning the admissibility of the Commission’s single ground of appeal must be dismissed.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.97882444), 'word': 'It follows that', 'start': 0, 'end': 15}, {'entity_group': 'LABEL_1', 'score': np.float32(0.880172), 'word': ' Wam', 'start': 15, 'end': 19}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9871136), 'word': '’s argument concerning the admissibility of the Commission’', 'start': 19, 'end': 78}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85342264), 'word': 's single', 'start': 78, 'end': 86}, {'entity_group': 'LABEL_0', 'score': np.float32(0.57271546), 'word': ' ground', 'start': 86, 'end': 93}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9983114), 'word': ' of', 'start': 93, 'end': 96}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9971967), 'word': ' appeal must be dismissed', 'start': 96, 'end': 121}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9776493), 'word': '.', 'start': 121, 'end': 122}]"
