text,label,dhananjay_events
"In the first place, as regards the plea alleging breach of the conditions laid down in the fourth paragraph of Article 230 EC, it should be made clear at the outset that Article 4 of Regulation No 659/1999 provides for a stage at which the aid measures notified undergo a preliminary examination, the purpose of which is to enable the Commission to form an initial view as to whether the aid notified is compatible with the common market.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547151), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84475034), 'word': ' the first place,', 'start': 2, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6519331), 'word': ' as', 'start': 19, 'end': 22}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98919386), 'word': ' regards the plea', 'start': 22, 'end': 39}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8489802), 'word': ' alleging breach of', 'start': 39, 'end': 58}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9136765), 'word': ' the conditions laid down in the fourth paragraph of', 'start': 58, 'end': 110}, {'entity_group': 'LABEL_1', 'score': np.float32(0.988779), 'word': ' Article ', 'start': 110, 'end': 119}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9918041), 'word': '230 EC', 'start': 119, 'end': 125}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6683803), 'word': ',', 'start': 125, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994442), 'word': ' it should be made clear at the outset that Article', 'start': 126, 'end': 177}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999999), 'word': ' ', 'start': 177, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96802133), 'word': '4 of Regulation No 659/1999 provides', 'start': 178, 'end': 214}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83318454), 'word': ' for', 'start': 214, 'end': 218}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9621802), 'word': ' a stage at', 'start': 218, 'end': 229}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90072685), 'word': ' which the', 'start': 229, 'end': 239}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88900346), 'word': ' aid measures notified undergo', 'start': 239, 'end': 269}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90682846), 'word': ' a preliminary', 'start': 269, 'end': 283}, {'entity_group': 'LABEL_0', 'score': np.float32(0.971279), 'word': ' examination,', 'start': 283, 'end': 296}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97445434), 'word': ' the', 'start': 296, 'end': 300}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98722744), 'word': ' purpose of which is to enable the Commission to form an initial view as to whether the aid', 'start': 300, 'end': 391}, {'entity_group': 'LABEL_1', 'score': np.float32(0.62154424), 'word': ' notified is', 'start': 391, 'end': 403}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9251491), 'word': ' compatible with', 'start': 403, 'end': 419}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7796298), 'word': ' the common', 'start': 419, 'end': 430}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99949646), 'word': ' market', 'start': 430, 'end': 437}, {'entity_group': 'LABEL_1', 'score': np.float32(0.66388005), 'word': '.', 'start': 437, 'end': 438}]"
"On completion of that stage, the Commission is to make a finding either that the measure does not constitute aid or that it falls within the scope of Article 87(1) EC.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.96214074), 'word': 'On', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99842095), 'word': ' completion', 'start': 2, 'end': 13}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99999475), 'word': ' of', 'start': 13, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89010304), 'word': ' that stage, the Commission is to make a finding either that', 'start': 16, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96782345), 'word': ' the', 'start': 76, 'end': 80}, {'entity_group': 'LABEL_0', 'score': np.float32(0.75368345), 'word': ' measure', 'start': 80, 'end': 88}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99604696), 'word': ' does', 'start': 88, 'end': 93}, {'entity_group': 'LABEL_0', 'score': np.float32(0.815496), 'word': ' not constitute aid or', 'start': 93, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94286066), 'word': ' that', 'start': 115, 'end': 120}, {'entity_group': 'LABEL_0', 'score': np.float32(0.76735544), 'word': ' it falls', 'start': 120, 'end': 129}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9053819), 'word': ' within the', 'start': 129, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99992585), 'word': ' scope', 'start': 140, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9794687), 'word': ' of', 'start': 146, 'end': 149}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999926), 'word': ' Article', 'start': 149, 'end': 157}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99977475), 'word': ' ', 'start': 157, 'end': 158}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99869984), 'word': '87(1) EC.', 'start': 158, 'end': 167}]"
"In the latter case, it may be that the measure does not raise doubts as to its compatibility with the common market;",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547148), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.997269), 'word': ' the latter case, it may', 'start': 2, 'end': 26}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94738966), 'word': ' be', 'start': 26, 'end': 29}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8889146), 'word': ' that the measure does not', 'start': 29, 'end': 55}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99919766), 'word': ' raise', 'start': 55, 'end': 61}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999151), 'word': ' doubts', 'start': 61, 'end': 68}, {'entity_group': 'LABEL_1', 'score': np.float32(0.78568256), 'word': ' as to', 'start': 68, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.947755), 'word': ' its compatibility', 'start': 74, 'end': 92}, {'entity_group': 'LABEL_1', 'score': np.float32(0.639267), 'word': ' with', 'start': 92, 'end': 97}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87798816), 'word': ' the common market', 'start': 97, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8407724), 'word': ';', 'start': 115, 'end': 116}]"
"on the other hand, it is also possible that the measure may raise such doubts.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.98862654), 'word': 'on the other hand, it is also possible that the measure may', 'start': 0, 'end': 59}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9549986), 'word': ' raise such', 'start': 59, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9892512), 'word': ' doubts.', 'start': 70, 'end': 78}]"
"If, following the preliminary examination, the Commission finds that, notwithstanding the fact that the measure notified falls within the scope of Article 87(1) EC, it does not raise any doubts as to its compatibility with the common market, the Commission is to adopt a decision not to raise objections under Article 4(3) of Regulation No 659/1999.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.93406856), 'word': 'If,', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_1', 'score': np.float32(0.857461), 'word': ' following the preliminary', 'start': 3, 'end': 29}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9412543), 'word': ' examination, the Commission finds that,', 'start': 29, 'end': 69}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98993933), 'word': ' notwithstanding the', 'start': 69, 'end': 89}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99846464), 'word': ' fact that the', 'start': 89, 'end': 103}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95463514), 'word': ' measure', 'start': 103, 'end': 111}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8382209), 'word': ' notified falls within', 'start': 111, 'end': 133}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94600344), 'word': ' the scope of Article ', 'start': 133, 'end': 155}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9986676), 'word': '87(1', 'start': 155, 'end': 159}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999342), 'word': ')', 'start': 159, 'end': 160}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7281804), 'word': ' EC', 'start': 160, 'end': 163}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9713392), 'word': ',', 'start': 163, 'end': 164}, {'entity_group': 'LABEL_0', 'score': np.float32(0.887168), 'word': ' it', 'start': 164, 'end': 167}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95643306), 'word': ' does not raise', 'start': 167, 'end': 182}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89526474), 'word': ' any doubts', 'start': 182, 'end': 193}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91671854), 'word': ' as', 'start': 193, 'end': 196}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9604872), 'word': ' to', 'start': 196, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99993896), 'word': ' its', 'start': 199, 'end': 203}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995111), 'word': ' compatibility', 'start': 203, 'end': 217}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95189416), 'word': ' with the', 'start': 217, 'end': 226}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96310073), 'word': ' common market, the Commission is to adopt a decision not to', 'start': 226, 'end': 286}, {'entity_group': 'LABEL_1', 'score': np.float32(0.998184), 'word': ' raise', 'start': 286, 'end': 292}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' objections', 'start': 292, 'end': 303}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99349546), 'word': ' under', 'start': 303, 'end': 309}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999981), 'word': ' Article', 'start': 309, 'end': 317}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9905061), 'word': ' ', 'start': 317, 'end': 318}, {'entity_group': 'LABEL_0', 'score': np.float32(0.77477133), 'word': '4', 'start': 318, 'end': 319}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6782742), 'word': '(', 'start': 319, 'end': 320}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9968765), 'word': '3)', 'start': 320, 'end': 322}, {'entity_group': 'LABEL_1', 'score': np.float32(0.957325), 'word': ' of', 'start': 322, 'end': 325}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99885464), 'word': ' Regulation No', 'start': 325, 'end': 339}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83457935), 'word': ' ', 'start': 339, 'end': 340}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9953644), 'word': '659', 'start': 340, 'end': 343}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8186029), 'word': '/', 'start': 343, 'end': 344}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97222805), 'word': '1999.', 'start': 344, 'end': 349}]"
"Where the Commission adopts a decision not to raise objections, it declares not only that the measure is compatible with the common market, but also – by implication – that it refuses to initiate the formal investigation procedure laid down in Article 88(2) EC and Article 6(1) of Regulation No 659/1999.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9993181), 'word': 'Where the Commission', 'start': 0, 'end': 20}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88404804), 'word': ' adopts', 'start': 20, 'end': 27}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9838599), 'word': ' a decision not to', 'start': 27, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94229937), 'word': ' raise', 'start': 45, 'end': 51}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999666), 'word': ' objections, it declares not only that', 'start': 51, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90532887), 'word': ' the', 'start': 89, 'end': 93}, {'entity_group': 'LABEL_0', 'score': np.float32(0.58230203), 'word': ' measure', 'start': 93, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9535283), 'word': ' is', 'start': 101, 'end': 104}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8507909), 'word': ' compatible with the', 'start': 104, 'end': 124}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98667926), 'word': ' common', 'start': 124, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.59385103), 'word': ' market', 'start': 131, 'end': 138}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86553967), 'word': ',', 'start': 138, 'end': 139}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9304875), 'word': ' but also – by implication – that it refuses to initiate the formal investigation procedure laid', 'start': 139, 'end': 235}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99748224), 'word': ' down in', 'start': 235, 'end': 243}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9720195), 'word': ' Article', 'start': 243, 'end': 251}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6668398), 'word': ' ', 'start': 251, 'end': 252}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9940056), 'word': '88(2', 'start': 252, 'end': 256}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8356088), 'word': ')', 'start': 256, 'end': 257}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995745), 'word': ' EC', 'start': 257, 'end': 260}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9564869), 'word': ' and', 'start': 260, 'end': 264}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99871826), 'word': ' Article', 'start': 264, 'end': 272}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9778938), 'word': ' ', 'start': 272, 'end': 273}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99818784), 'word': '6(1', 'start': 273, 'end': 276}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9956031), 'word': ')', 'start': 276, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9476371), 'word': ' of Regulation No', 'start': 277, 'end': 294}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99672997), 'word': ' ', 'start': 294, 'end': 295}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9710972), 'word': '659', 'start': 295, 'end': 298}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9814089), 'word': '/', 'start': 298, 'end': 299}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8971027), 'word': '1999', 'start': 299, 'end': 303}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9894203), 'word': '.', 'start': 303, 'end': 304}]"
"If, following the preliminary examination, it finds that the measure notified raises doubts as to its compatibility with the common market, the Commission is required to adopt, on the basis of Article 4(4) of Regulation No 659/1999, a decision initiating the formal investigation procedure under Article 88(2) EC and Article 6(1) of that regulation.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.93406856), 'word': 'If,', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_1', 'score': np.float32(0.857461), 'word': ' following the preliminary', 'start': 3, 'end': 29}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9243542), 'word': ' examination, it finds that', 'start': 29, 'end': 56}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999981), 'word': ' the', 'start': 56, 'end': 60}, {'entity_group': 'LABEL_0', 'score': np.float32(0.959355), 'word': ' measure notified raises doubts as', 'start': 60, 'end': 94}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7920566), 'word': ' to its', 'start': 94, 'end': 101}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999459), 'word': ' compatibility', 'start': 101, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6887966), 'word': ' with', 'start': 115, 'end': 120}, {'entity_group': 'LABEL_0', 'score': np.float32(0.58686256), 'word': ' the', 'start': 120, 'end': 124}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98417944), 'word': ' common', 'start': 124, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9887077), 'word': ' market, the Commission is required to', 'start': 131, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98616856), 'word': ' adopt', 'start': 169, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94008684), 'word': ', on the basis of Article 4(4) of Regulation No 659/1999,', 'start': 175, 'end': 232}, {'entity_group': 'LABEL_1', 'score': np.float32(0.72592205), 'word': ' a', 'start': 232, 'end': 234}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99740076), 'word': ' decision', 'start': 234, 'end': 243}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94952995), 'word': ' initiating', 'start': 243, 'end': 254}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90397865), 'word': ' the', 'start': 254, 'end': 258}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9805362), 'word': ' formal', 'start': 258, 'end': 265}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99998933), 'word': ' investigation procedure', 'start': 265, 'end': 289}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998386), 'word': ' under', 'start': 289, 'end': 295}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9780767), 'word': ' Article 88(2) EC', 'start': 295, 'end': 312}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94070446), 'word': ' and', 'start': 312, 'end': 316}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95700294), 'word': ' Article 6(1', 'start': 316, 'end': 328}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99760324), 'word': ')', 'start': 328, 'end': 329}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97196686), 'word': ' of that regulation.', 'start': 329, 'end': 349}]"
"Under the latter provision, such a decision is to call upon the Member State concerned and upon other interested parties to submit comments within a prescribed period which must not as a rule exceed one month.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.97942823), 'word': 'Under the latter', 'start': 0, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9993962), 'word': ' provision, such a decision', 'start': 16, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9719144), 'word': ' is', 'start': 43, 'end': 46}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9835691), 'word': ' to call upon the Member State concerned and upon other interested parties to submit comments within', 'start': 46, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98195547), 'word': ' a', 'start': 146, 'end': 148}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9817939), 'word': ' prescribed period which must not as a rule exceed one month.', 'start': 148, 'end': 209}]"
"In the present case, the contested decision is a decision not to raise objections, adopted under Article 4(3) of Regulation No 659/1999, the lawfulness of which depends on whether there are doubts as to the compatibility of the aid with the common market.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547153), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9522677), 'word': ' the present case, the contested', 'start': 2, 'end': 34}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9883478), 'word': ' decision', 'start': 34, 'end': 43}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997074), 'word': ' is', 'start': 43, 'end': 46}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9756212), 'word': ' a decision', 'start': 46, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999195), 'word': ' not to', 'start': 57, 'end': 64}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9708201), 'word': ' raise', 'start': 64, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8834076), 'word': ' objections, adopted under Article', 'start': 70, 'end': 104}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9440933), 'word': ' ', 'start': 104, 'end': 105}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999962), 'word': '4', 'start': 105, 'end': 106}, {'entity_group': 'LABEL_1', 'score': np.float32(0.63982844), 'word': '(', 'start': 106, 'end': 107}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999464), 'word': '3', 'start': 107, 'end': 108}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8179415), 'word': ') of Regulation No', 'start': 108, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93708265), 'word': ' 659/1999,', 'start': 126, 'end': 136}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97599447), 'word': ' the', 'start': 136, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9627016), 'word': ' lawfulness of which depends on whether there', 'start': 140, 'end': 185}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9981694), 'word': ' are', 'start': 185, 'end': 189}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94215065), 'word': ' doubts as to', 'start': 189, 'end': 202}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9948427), 'word': ' the', 'start': 202, 'end': 206}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90708554), 'word': ' compatibility of the aid with the common market.', 'start': 206, 'end': 255}]"
"Since such doubts must trigger the initiation of a formal investigation procedure in which the interested parties referred to in Article 1(h) of Regulation No 659/1999 can participate, it must be held that any interested party within the meaning of the latter provision is directly and individually concerned by such a decision.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9850751), 'word': 'Since such doubts must', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93651927), 'word': ' trigger the', 'start': 22, 'end': 34}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82360345), 'word': ' initiation', 'start': 34, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9919352), 'word': ' of a formal', 'start': 45, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999849), 'word': ' investigation procedure', 'start': 57, 'end': 81}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98694813), 'word': ' in', 'start': 81, 'end': 84}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98489666), 'word': ' which the interested parties referred to', 'start': 84, 'end': 125}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99995637), 'word': ' in', 'start': 125, 'end': 128}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999845), 'word': ' Article', 'start': 128, 'end': 136}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93150926), 'word': ' ', 'start': 136, 'end': 137}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999857), 'word': '1', 'start': 137, 'end': 138}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90171194), 'word': '(', 'start': 138, 'end': 139}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96652097), 'word': 'h) of Regulation No 659/1999 can participate, it must be held that any interested party within the meaning of the latter provision is directly and individually concerned by such a decision.', 'start': 139, 'end': 328}]"
