text,label,dhananjay_events
"With regard to the Commission’s claim that the first ground of appeal is inadmissible, it should be noted that that ground, which forms part of the submissions relating to the existence of State aid, was put forward at first instance in the context of the first and second pleas relied on before the General Court.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9263261), 'word': 'With regard to', 'start': 0, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9836427), 'word': ' the', 'start': 14, 'end': 18}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999178), 'word': ' Commission’', 'start': 18, 'end': 30}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81171775), 'word': 's', 'start': 30, 'end': 31}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8867307), 'word': ' claim that the first ground', 'start': 31, 'end': 59}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9975051), 'word': ' of', 'start': 59, 'end': 62}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995383), 'word': ' appeal', 'start': 62, 'end': 69}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82751685), 'word': ' is', 'start': 69, 'end': 72}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999726), 'word': ' inadmissible', 'start': 72, 'end': 85}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94226104), 'word': ',', 'start': 85, 'end': 86}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8553907), 'word': ' it should be', 'start': 86, 'end': 99}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9227313), 'word': ' noted', 'start': 99, 'end': 105}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9921882), 'word': ' that', 'start': 105, 'end': 110}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99651474), 'word': ' that', 'start': 110, 'end': 115}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9227069), 'word': ' ground, which', 'start': 115, 'end': 129}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9801376), 'word': ' forms part of the', 'start': 129, 'end': 147}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8715337), 'word': ' submissions relating', 'start': 147, 'end': 168}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9827738), 'word': ' to', 'start': 168, 'end': 171}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9397735), 'word': ' the existence', 'start': 171, 'end': 185}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99868506), 'word': ' of', 'start': 185, 'end': 188}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90743476), 'word': ' State aid,', 'start': 188, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7209005), 'word': ' was', 'start': 199, 'end': 203}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9277169), 'word': ' put forward at first instance in', 'start': 203, 'end': 236}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99249965), 'word': ' the', 'start': 236, 'end': 240}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9714007), 'word': ' context of', 'start': 240, 'end': 251}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9190038), 'word': ' the first and second', 'start': 251, 'end': 272}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92782897), 'word': ' pleas relied on before the', 'start': 272, 'end': 299}, {'entity_group': 'LABEL_1', 'score': np.float32(0.987141), 'word': ' General', 'start': 299, 'end': 307}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98840636), 'word': ' Court.', 'start': 307, 'end': 314}]"
"As regards whether that ground is well founded, according to settled case-law, the definition of aid is more general than that of a subsidy.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9968347), 'word': 'As regards whether that ground is well founded, according to', 'start': 0, 'end': 60}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9886262), 'word': ' settled', 'start': 60, 'end': 68}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93525875), 'word': ' case-law, the definition of aid is more general than that of a subsidy', 'start': 68, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.80677897), 'word': '.', 'start': 139, 'end': 140}]"
"It includes not only positive benefits but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which thus, without being subsidies in the strict sense of the word, are similar in character and have the same effect (see, Joined Cases C‑78/08 to C‑80/08 Paint Graphos and Others [2011] ECR I‑0000, paragraph 45 and the case-law cited).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.97808456), 'word': 'It includes not', 'start': 0, 'end': 15}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8548879), 'word': ' only', 'start': 15, 'end': 20}, {'entity_group': 'LABEL_0', 'score': np.float32(0.88430333), 'word': ' positive benefits but', 'start': 20, 'end': 42}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9056254), 'word': ' also', 'start': 42, 'end': 47}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9650108), 'word': ' measures which, in various forms,', 'start': 47, 'end': 81}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9929414), 'word': ' mitigate the', 'start': 81, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(0.76244396), 'word': ' charges which', 'start': 94, 'end': 108}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98940057), 'word': ' are normally', 'start': 108, 'end': 121}, {'entity_group': 'LABEL_0', 'score': np.float32(0.939287), 'word': ' included', 'start': 121, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9987806), 'word': ' in the', 'start': 130, 'end': 137}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999995), 'word': ' budget', 'start': 137, 'end': 144}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9985908), 'word': ' of an', 'start': 144, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999994), 'word': ' undertaking', 'start': 150, 'end': 162}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7027442), 'word': ' and', 'start': 162, 'end': 166}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9964563), 'word': ' which thus,', 'start': 166, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99981135), 'word': ' without being', 'start': 178, 'end': 192}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6704522), 'word': ' subsidies', 'start': 192, 'end': 202}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9951355), 'word': ' in the strict', 'start': 202, 'end': 216}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7905102), 'word': ' sense of', 'start': 216, 'end': 225}, {'entity_group': 'LABEL_1', 'score': np.float32(0.998911), 'word': ' the', 'start': 225, 'end': 229}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9992635), 'word': ' word,', 'start': 229, 'end': 235}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9991222), 'word': ' are', 'start': 235, 'end': 239}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8582537), 'word': ' similar', 'start': 239, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9977496), 'word': ' in', 'start': 247, 'end': 250}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999404), 'word': ' character', 'start': 250, 'end': 260}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9818196), 'word': ' and have', 'start': 260, 'end': 269}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96733075), 'word': ' the same effect', 'start': 269, 'end': 285}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9957163), 'word': ' (', 'start': 285, 'end': 287}, {'entity_group': 'LABEL_0', 'score': np.float32(0.66581714), 'word': 'see,', 'start': 287, 'end': 291}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96166825), 'word': ' Joined', 'start': 291, 'end': 298}, {'entity_group': 'LABEL_0', 'score': np.float32(0.981021), 'word': ' Cases C‑78/08 to C‑80/08 Paint', 'start': 298, 'end': 329}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9627642), 'word': ' Graph', 'start': 329, 'end': 335}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9945568), 'word': 'os and Others [', 'start': 335, 'end': 350}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9694224), 'word': '2', 'start': 350, 'end': 351}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9801141), 'word': '011] ECR I‑0000, paragraph 45 and the case-', 'start': 351, 'end': 394}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7063663), 'word': 'law', 'start': 394, 'end': 397}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99985874), 'word': ' cited).', 'start': 397, 'end': 405}]"
"It should also be noted that the concept of advantage that is intrinsic to the classification of a measure as State aid is an objective one, irrespective of the motives of the persons responsible for the measure in question.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9809125), 'word': 'It should also be noted that the concept of', 'start': 0, 'end': 43}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7332369), 'word': ' advantage', 'start': 43, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.997572), 'word': ' that', 'start': 53, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96458125), 'word': ' is', 'start': 58, 'end': 61}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93166167), 'word': ' intrinsic', 'start': 61, 'end': 71}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9978067), 'word': ' to', 'start': 71, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99924105), 'word': ' the classification', 'start': 74, 'end': 93}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93233657), 'word': ' of', 'start': 93, 'end': 96}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9918504), 'word': ' a measure as State aid', 'start': 96, 'end': 119}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99894375), 'word': ' is', 'start': 119, 'end': 122}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96818924), 'word': ' an objective one', 'start': 122, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.68492925), 'word': ',', 'start': 139, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99679345), 'word': ' irrespective of the motives', 'start': 140, 'end': 168}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92626625), 'word': ' of', 'start': 168, 'end': 171}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98160255), 'word': ' the persons responsible for the measure in question.', 'start': 171, 'end': 224}]"
"Accordingly, the nature of the objectives pursued by State measures and their grounds of justification have no bearing whatsoever on whether such measures are to be classified as State aid.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8539381), 'word': 'Accordingly, the nature', 'start': 0, 'end': 23}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5510067), 'word': ' of', 'start': 23, 'end': 26}, {'entity_group': 'LABEL_0', 'score': np.float32(0.5981674), 'word': ' the', 'start': 26, 'end': 30}, {'entity_group': 'LABEL_1', 'score': np.float32(0.54395396), 'word': ' objectives', 'start': 30, 'end': 41}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99866354), 'word': ' pursued', 'start': 41, 'end': 49}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8580047), 'word': ' by', 'start': 49, 'end': 52}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89031965), 'word': ' State measures and', 'start': 52, 'end': 71}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8323667), 'word': ' their grounds of', 'start': 71, 'end': 88}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996786), 'word': ' justification', 'start': 88, 'end': 102}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99987626), 'word': ' have', 'start': 102, 'end': 107}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95263773), 'word': ' no bearing whatsoever on whether such measures are to be classified', 'start': 107, 'end': 175}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95893097), 'word': ' as', 'start': 175, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99323624), 'word': ' State aid', 'start': 178, 'end': 188}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9503762), 'word': '.', 'start': 188, 'end': 189}]"
"It is established case-law that Article 87(1) EC does not distinguish between the causes or the objectives of State aid, but defines them in relation to their effects (see Case C‑409/00 Spain v Commission [2003] ECR I‑1487, paragraph 46 and the case-law cited).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9726112), 'word': 'It is established case-law that Article 87(1', 'start': 0, 'end': 44}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9244461), 'word': ')', 'start': 44, 'end': 45}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89921016), 'word': ' EC does not distinguish', 'start': 45, 'end': 69}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9577924), 'word': ' between the', 'start': 69, 'end': 81}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99825233), 'word': ' causes', 'start': 81, 'end': 88}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83051336), 'word': ' or the', 'start': 88, 'end': 95}, {'entity_group': 'LABEL_0', 'score': np.float32(0.970775), 'word': ' objectives of State aid,', 'start': 95, 'end': 120}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99950266), 'word': ' but', 'start': 120, 'end': 124}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998927), 'word': ' defines them', 'start': 124, 'end': 137}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98953944), 'word': ' in', 'start': 137, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9972197), 'word': ' relation to', 'start': 140, 'end': 152}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99750704), 'word': ' their', 'start': 152, 'end': 158}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9913546), 'word': ' effects (see Case C‑409/00 Spain v Commission [', 'start': 158, 'end': 206}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9227557), 'word': '2', 'start': 206, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9748042), 'word': '003]', 'start': 207, 'end': 211}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83824533), 'word': ' ECR', 'start': 211, 'end': 215}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99985766), 'word': ' I‑1487, paragraph', 'start': 215, 'end': 233}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6547447), 'word': ' ', 'start': 233, 'end': 234}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998494), 'word': '46 and', 'start': 234, 'end': 240}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93410164), 'word': ' the', 'start': 240, 'end': 244}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9564413), 'word': ' case', 'start': 244, 'end': 249}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83556944), 'word': '-law', 'start': 249, 'end': 253}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85451424), 'word': ' cited).', 'start': 253, 'end': 261}]"
"As regards the present case, it should be noted that the tax regime to which FT was subject during the second period under consideration, namely during the years from 1994 to 2002, constituted an exception to the general law regime.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.98685324), 'word': 'As regards', 'start': 0, 'end': 10}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8341742), 'word': ' the', 'start': 10, 'end': 14}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95410883), 'word': ' present case', 'start': 14, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8083604), 'word': ',', 'start': 27, 'end': 28}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9657618), 'word': ' it should be noted that the tax regime to which', 'start': 28, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9576894), 'word': ' FT was', 'start': 76, 'end': 83}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990657), 'word': ' subject during the', 'start': 83, 'end': 102}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9753083), 'word': ' second', 'start': 102, 'end': 109}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999995), 'word': ' period', 'start': 109, 'end': 116}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9715997), 'word': ' under', 'start': 116, 'end': 122}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9149117), 'word': ' consideration, namely during the years from', 'start': 122, 'end': 166}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9462071), 'word': ' 1', 'start': 166, 'end': 168}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9814436), 'word': '994 to', 'start': 168, 'end': 174}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9978358), 'word': ' ', 'start': 174, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9332431), 'word': '2002, constituted an exception to the general law regime.', 'start': 175, 'end': 232}]"
"In particular, that company benefited from specific tax treatment at national level, characterised by the fact that business tax was calculated on the basis of a weighted average rate, as opposed to the various rates applicable in the different local authorities, whereas the rates to which other undertakings were subject were those voted annually by those authorities.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547153), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.77655065), 'word': ' particular, that company', 'start': 2, 'end': 27}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89623713), 'word': ' benefited from', 'start': 27, 'end': 42}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94099045), 'word': ' specific tax treatment at', 'start': 42, 'end': 68}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7283363), 'word': ' national', 'start': 68, 'end': 77}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96336323), 'word': ' level, characterised by the fact that business tax', 'start': 77, 'end': 128}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9912334), 'word': ' was', 'start': 128, 'end': 132}, {'entity_group': 'LABEL_0', 'score': np.float32(0.81751573), 'word': ' calculated', 'start': 132, 'end': 143}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9970161), 'word': ' on the', 'start': 143, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99708956), 'word': ' basis', 'start': 150, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93931943), 'word': ' of a weighted', 'start': 156, 'end': 170}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8366304), 'word': ' average rate, as', 'start': 170, 'end': 187}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9618516), 'word': ' opposed', 'start': 187, 'end': 195}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8607708), 'word': ' to the', 'start': 195, 'end': 202}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9169045), 'word': ' various', 'start': 202, 'end': 210}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9506908), 'word': ' rates applicable in the different local authorities, whereas', 'start': 210, 'end': 271}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5266039), 'word': ' the', 'start': 271, 'end': 275}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9908311), 'word': ' rates to which other undertakings were subject', 'start': 275, 'end': 322}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7600961), 'word': ' were those', 'start': 322, 'end': 333}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91764146), 'word': ' voted annually by', 'start': 333, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9454425), 'word': ' those', 'start': 351, 'end': 357}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9578594), 'word': ' authorities.', 'start': 357, 'end': 370}]"
"Moreover, FT was subject to a single rate of business tax in its principle place of business, whereas other undertakings were taxed at the different rates voted by the local authorities in the territory within which those undertakings had establishments.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8893415), 'word': 'Moreover, FT was subject to a single rate of business tax in', 'start': 0, 'end': 60}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92241096), 'word': ' its principle', 'start': 60, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9863063), 'word': ' place', 'start': 74, 'end': 80}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9087087), 'word': ' of', 'start': 80, 'end': 83}, {'entity_group': 'LABEL_0', 'score': np.float32(0.946164), 'word': ' business,', 'start': 83, 'end': 93}, {'entity_group': 'LABEL_1', 'score': np.float32(0.875948), 'word': ' whereas other', 'start': 93, 'end': 107}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99989605), 'word': ' undertakings', 'start': 107, 'end': 120}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8980611), 'word': ' were', 'start': 120, 'end': 125}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99696296), 'word': ' taxed', 'start': 125, 'end': 131}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9484814), 'word': ' at the different', 'start': 131, 'end': 148}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9504956), 'word': ' rates voted by the local authorities in the territory within which those undertakings had establishments.', 'start': 148, 'end': 254}]"
"A rate of 1.9% was also applied to FT, as opposed to the rate of 8% applicable to other undertakings, in respect of management costs.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.99190146), 'word': 'A', 'start': 0, 'end': 1}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9686715), 'word': ' rate of 1.9% was also applied', 'start': 1, 'end': 31}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99573296), 'word': ' to', 'start': 31, 'end': 34}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93904084), 'word': ' FT, as opposed to the rate of 8% applicable', 'start': 34, 'end': 78}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8805994), 'word': ' to other', 'start': 78, 'end': 87}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99928766), 'word': ' undertakings,', 'start': 87, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79060495), 'word': ' in', 'start': 101, 'end': 104}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93805045), 'word': ' respect', 'start': 104, 'end': 112}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9934494), 'word': ' of', 'start': 112, 'end': 115}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9871985), 'word': ' management costs', 'start': 115, 'end': 132}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98566705), 'word': '.', 'start': 132, 'end': 133}]"
