text,label,dhananjay_events
"The Commission, the EFTA Surveillance Authority and Iberdrola claim, in essence, that, in examining whether the private investor test was applicable in the circumstances, the General Court took into account, for that purpose, the objective pursued by the French State when it adopted the contested measure;",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9913438), 'word': ' Commission, the EF', 'start': 3, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7679435), 'word': 'TA Surveillance', 'start': 22, 'end': 37}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97005814), 'word': ' Authority and Iber', 'start': 37, 'end': 56}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99231213), 'word': 'dro', 'start': 56, 'end': 59}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9976186), 'word': 'la', 'start': 59, 'end': 61}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82755655), 'word': ' claim', 'start': 61, 'end': 67}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999429), 'word': ',', 'start': 67, 'end': 68}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5487525), 'word': ' in', 'start': 68, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9893388), 'word': ' essence', 'start': 71, 'end': 79}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8328751), 'word': ', that', 'start': 79, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9969168), 'word': ', in examining whether the', 'start': 85, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99621326), 'word': ' private', 'start': 111, 'end': 119}, {'entity_group': 'LABEL_0', 'score': np.float32(0.982445), 'word': ' investor test was applicable in the circumstances, the', 'start': 119, 'end': 174}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99899954), 'word': ' General', 'start': 174, 'end': 182}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96515816), 'word': ' Court took into account, for that purpose,', 'start': 182, 'end': 225}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5202044), 'word': ' the', 'start': 225, 'end': 229}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997362), 'word': ' objective pursued by the', 'start': 229, 'end': 254}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99790335), 'word': ' French', 'start': 254, 'end': 261}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9101878), 'word': ' State when it adopted the contested measure;', 'start': 261, 'end': 306}]"
"secondly, it confused the roles of the State as shareholder and the State exercising its powers of taxation;",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9994632), 'word': 'secondly, it confused', 'start': 0, 'end': 21}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6453789), 'word': ' the', 'start': 21, 'end': 25}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99002576), 'word': ' roles of the', 'start': 25, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9672291), 'word': ' State', 'start': 38, 'end': 44}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96402776), 'word': ' as shareholder and the State', 'start': 44, 'end': 73}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5779), 'word': ' exercising', 'start': 73, 'end': 84}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97202903), 'word': ' its powers of taxation;', 'start': 84, 'end': 108}]"
"thirdly, it acted in breach of the principle of equal treatment as between public and private undertakings;",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9998413), 'word': 'thirdly, it acted in', 'start': 0, 'end': 20}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9575567), 'word': ' breach of', 'start': 20, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995175), 'word': ' the principle of', 'start': 30, 'end': 47}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6494732), 'word': ' equal', 'start': 47, 'end': 53}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9492887), 'word': ' treatment as between public and private undertakings;', 'start': 53, 'end': 107}]"
"and, fourthly, it infringed the rules regarding allocation of the burden of proof.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9879713), 'word': 'and, fourthly, it infringed the rules regarding allocation', 'start': 0, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9978483), 'word': ' of the', 'start': 58, 'end': 65}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99996495), 'word': ' burden', 'start': 65, 'end': 72}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99948406), 'word': ' of', 'start': 72, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999964), 'word': ' proof', 'start': 75, 'end': 81}, {'entity_group': 'LABEL_1', 'score': np.float32(0.716086), 'word': '.', 'start': 81, 'end': 82}]"
"According to case-law, a measure granted through State resources which puts the recipient undertaking in a more favourable financial situation than that of its competitors and which, for that reason, distorts or threatens to distort competition and affects trade between Member States is not excluded outright from being categorised as ‘aid’ for the purposes of Article 87 EC because of the aims pursued by that State (see, to that effect, Case C-6/97 Italy v Commission [1999] ECR I-2981, paragraph 15; Case C-156/98 Germany v Commission [2000] ECR I-6857, paragraph 25 and the case-law cited; and Joined Cases C-71/09 P, C-73/09 P and C-76/09 P Comitato ‘Venezia vuole vivere’ and Others v Commission [2011] ECR I-4727, paragraph 94 and the case-law cited).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.6648656), 'word': 'According', 'start': 0, 'end': 9}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96072567), 'word': ' to case-law, a measure granted through State resources which puts the recipient undertaking in a more', 'start': 9, 'end': 111}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98797756), 'word': ' favourable financial', 'start': 111, 'end': 132}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9367625), 'word': ' situation than', 'start': 132, 'end': 147}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83382136), 'word': ' that', 'start': 147, 'end': 152}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9987449), 'word': ' of its competitors', 'start': 152, 'end': 171}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98294365), 'word': ' and', 'start': 171, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94560915), 'word': ' which, for that reason,', 'start': 175, 'end': 199}, {'entity_group': 'LABEL_1', 'score': np.float32(0.813194), 'word': ' distorts or', 'start': 199, 'end': 211}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9161719), 'word': ' threatens to distort competition and affects trade between', 'start': 211, 'end': 270}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79158103), 'word': ' Member', 'start': 270, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9155903), 'word': ' States is not excluded outright from being categorised as', 'start': 277, 'end': 335}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89247584), 'word': ' ‘', 'start': 335, 'end': 337}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999887), 'word': 'aid’ for the purposes', 'start': 337, 'end': 358}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9645108), 'word': ' of', 'start': 358, 'end': 361}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99595106), 'word': ' Article', 'start': 361, 'end': 369}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9974827), 'word': ' ', 'start': 369, 'end': 370}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9975014), 'word': '87 EC because', 'start': 370, 'end': 383}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9019094), 'word': ' of', 'start': 383, 'end': 386}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9737014), 'word': ' the aims pursued by that State (see, to that effect, Case C-6/97 Italy v Commission [1', 'start': 386, 'end': 473}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8243083), 'word': '9', 'start': 473, 'end': 474}, {'entity_group': 'LABEL_0', 'score': np.float32(0.847476), 'word': '99]', 'start': 474, 'end': 477}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8628422), 'word': ' ECR', 'start': 477, 'end': 481}, {'entity_group': 'LABEL_0', 'score': np.float32(0.976906), 'word': ' I-2981, paragraph 15; Case C-156/98 Germany v Commission [200', 'start': 481, 'end': 543}, {'entity_group': 'LABEL_1', 'score': np.float32(0.82718843), 'word': '0', 'start': 543, 'end': 544}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9659239), 'word': '] ECR I-6857, paragraph 25 and the case', 'start': 544, 'end': 583}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9984417), 'word': '-law', 'start': 583, 'end': 587}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99099636), 'word': ' cited; and', 'start': 587, 'end': 598}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9929763), 'word': ' Joined', 'start': 598, 'end': 605}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9670556), 'word': ' Cases C-7', 'start': 605, 'end': 615}, {'entity_group': 'LABEL_1', 'score': np.float32(0.529475), 'word': '1', 'start': 615, 'end': 616}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999317), 'word': '/09 P', 'start': 616, 'end': 621}, {'entity_group': 'LABEL_1', 'score': np.float32(0.80482715), 'word': ',', 'start': 621, 'end': 622}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9595848), 'word': ' C-73/09 P and C-76/0', 'start': 622, 'end': 643}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5416831), 'word': '9', 'start': 643, 'end': 644}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99986625), 'word': ' P', 'start': 644, 'end': 646}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99976856), 'word': ' Com', 'start': 646, 'end': 650}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98687094), 'word': 'itato ‘Venezia vuole vivere’ and Others v Commission [', 'start': 650, 'end': 704}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995003), 'word': '20', 'start': 704, 'end': 706}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9903554), 'word': '11] ECR I-4727, paragraph 94 and the case', 'start': 706, 'end': 747}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8482284), 'word': '-', 'start': 747, 'end': 748}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8377676), 'word': 'law cited).', 'start': 748, 'end': 759}]"
"Article 87(1) EC does not distinguish between measures of State intervention by reference to their causes or their aims but defines them in relation to their effects (Comitato ‘Venezia vuole vivere’ and Others v Commission, paragraph 94 and the case-law cited).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9999709), 'word': 'Article 87(1', 'start': 0, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81853724), 'word': ')', 'start': 12, 'end': 13}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9953317), 'word': ' EC does not', 'start': 13, 'end': 25}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84662485), 'word': ' distinguish', 'start': 25, 'end': 37}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8008773), 'word': ' between', 'start': 37, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998229), 'word': ' measures of State', 'start': 45, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.5135714), 'word': ' intervention', 'start': 63, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999684), 'word': ' by', 'start': 76, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999976), 'word': ' reference', 'start': 79, 'end': 89}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74959135), 'word': ' to their', 'start': 89, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99996626), 'word': ' causes', 'start': 98, 'end': 105}, {'entity_group': 'LABEL_1', 'score': np.float32(0.76631), 'word': ' or their', 'start': 105, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999964), 'word': ' aims', 'start': 114, 'end': 119}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9961815), 'word': ' but', 'start': 119, 'end': 123}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99992406), 'word': ' defines them', 'start': 123, 'end': 136}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99939775), 'word': ' in', 'start': 136, 'end': 139}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9948937), 'word': ' relation to', 'start': 139, 'end': 151}, {'entity_group': 'LABEL_1', 'score': np.float32(0.66827184), 'word': ' their', 'start': 151, 'end': 157}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' effects', 'start': 157, 'end': 165}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9949473), 'word': ' (Com', 'start': 165, 'end': 170}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99797887), 'word': 'itato ‘Venezia vuole vivere’ and Others v Commission, paragraph 94 and the case-', 'start': 170, 'end': 250}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9235609), 'word': 'law', 'start': 250, 'end': 253}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9995886), 'word': ' cited).', 'start': 253, 'end': 261}]"
"However, it is also clear from settled case-law that the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 87 EC are not met if the recipient public undertaking could, in circumstances which correspond to normal market conditions, obtain the same advantage as that which has been made available to it through State resources.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9745323), 'word': 'However, it is also clear from settled case-law that the conditions which a measure must meet', 'start': 0, 'end': 93}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9923718), 'word': ' in', 'start': 93, 'end': 96}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9440383), 'word': ' order to be treated as', 'start': 96, 'end': 119}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9846315), 'word': ' ‘', 'start': 119, 'end': 121}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9937472), 'word': 'aid’ for the purposes of Article', 'start': 121, 'end': 153}, {'entity_group': 'LABEL_1', 'score': np.float32(0.70523334), 'word': ' ', 'start': 153, 'end': 154}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99554724), 'word': '87 EC', 'start': 154, 'end': 159}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8559456), 'word': ' are not', 'start': 159, 'end': 167}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99490416), 'word': ' met if', 'start': 167, 'end': 174}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5874369), 'word': ' the', 'start': 174, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99477786), 'word': ' recipient public undertaking could, in', 'start': 178, 'end': 217}, {'entity_group': 'LABEL_1', 'score': np.float32(0.60621077), 'word': ' circumstances', 'start': 217, 'end': 231}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9700097), 'word': ' which', 'start': 231, 'end': 237}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5872715), 'word': ' correspond', 'start': 237, 'end': 248}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89917785), 'word': ' to', 'start': 248, 'end': 251}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9577139), 'word': ' normal market', 'start': 251, 'end': 265}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9584139), 'word': ' conditions', 'start': 265, 'end': 276}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7235799), 'word': ', obtain the', 'start': 276, 'end': 288}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82157993), 'word': ' same advantage as that which', 'start': 288, 'end': 317}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8265642), 'word': ' has been', 'start': 317, 'end': 326}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99524534), 'word': ' made available to it through State resources.', 'start': 326, 'end': 372}]"
"In the case of public undertakings, that assessment is made by applying, in principle, the private investor test (see, to that effect, Case C-303/88 Italy v Commission [1991] ECR I-1433, paragraph 20; Case C-482/99 France v Commission [2002] ECR I-4397, paragraphs 68 to 70; and Comitato ‘Venezia vuole vivere’ and Others v Commission, paragraph 91 and the case-law cited).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547156), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9666403), 'word': ' the case of public undertakings', 'start': 2, 'end': 34}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9713146), 'word': ',', 'start': 34, 'end': 35}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98140013), 'word': ' that assessment', 'start': 35, 'end': 51}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9960512), 'word': ' is made by applying', 'start': 51, 'end': 71}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8022831), 'word': ',', 'start': 71, 'end': 72}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98068833), 'word': ' in', 'start': 72, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7816211), 'word': ' principle', 'start': 75, 'end': 85}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99890035), 'word': ', the private', 'start': 85, 'end': 98}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99818695), 'word': ' investor test', 'start': 98, 'end': 112}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9944886), 'word': ' (', 'start': 112, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92148924), 'word': 'see, to that effect', 'start': 114, 'end': 133}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9991798), 'word': ',', 'start': 133, 'end': 134}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990053), 'word': ' Case C-303/88 Italy v Commission [', 'start': 134, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95859325), 'word': '19', 'start': 169, 'end': 171}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9673317), 'word': '91]', 'start': 171, 'end': 174}, {'entity_group': 'LABEL_1', 'score': np.float32(0.978993), 'word': ' ECR', 'start': 174, 'end': 178}, {'entity_group': 'LABEL_0', 'score': np.float32(0.939592), 'word': ' I-1433, paragraph', 'start': 178, 'end': 196}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91371655), 'word': ' ', 'start': 196, 'end': 197}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9531591), 'word': '20; Case C-482/99 France v Commission [', 'start': 197, 'end': 236}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7608025), 'word': '2', 'start': 236, 'end': 237}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9974895), 'word': '002] ECR I-43', 'start': 237, 'end': 250}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5108877), 'word': '9', 'start': 250, 'end': 251}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99915123), 'word': '7, paragraphs 68 to 70; and', 'start': 251, 'end': 278}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9911341), 'word': ' Com', 'start': 278, 'end': 282}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96540904), 'word': 'itato ‘Venezia vuole vivere’ and Others v Commission, paragraph 91 and the', 'start': 282, 'end': 356}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7810999), 'word': ' case-', 'start': 356, 'end': 362}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9858852), 'word': 'law cited).', 'start': 362, 'end': 373}]"
"In particular, it is clear from case-law that, in order to assess whether the same measure would have been adopted in normal market conditions by a private investor in a situation as close as possible to that of the State, only the benefits and obligations linked to the situation of the State as shareholder — to the exclusion of those linked to its situation as a public authority — are to be taken into account (see, to that effect, Case 234/84 Belgium v Commission [1986] ECR 2263, paragraph 14; Case 40/85 Belgium v Commission [1986] ECR 2321, paragraph 13; Joined Cases C-278/92 to C-280/92 Spain v Commission [1994] ECR I-4103, paragraph 22; and Case C-334/99 Germany v Commission [2003] ECR I-1139, paragraph 134).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.95471555), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8729872), 'word': ' particular, it is clear from case', 'start': 2, 'end': 36}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7276458), 'word': '-', 'start': 36, 'end': 37}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9985614), 'word': 'law that, in order to', 'start': 37, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999945), 'word': ' assess', 'start': 58, 'end': 65}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999977), 'word': ' whether', 'start': 65, 'end': 73}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6553093), 'word': ' the', 'start': 73, 'end': 77}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94340026), 'word': ' same measure would have been adopted in normal', 'start': 77, 'end': 124}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92638457), 'word': ' market', 'start': 124, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98678803), 'word': ' conditions by a private investor in a situation as close as', 'start': 131, 'end': 191}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6533765), 'word': ' possible', 'start': 191, 'end': 200}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98843753), 'word': ' to that of the State, only', 'start': 200, 'end': 227}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99884844), 'word': ' the', 'start': 227, 'end': 231}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89403754), 'word': ' benefits and', 'start': 231, 'end': 244}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9043153), 'word': ' obligations linked', 'start': 244, 'end': 263}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9902721), 'word': ' to the situation of the State as shareholder', 'start': 263, 'end': 308}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55609894), 'word': ' —', 'start': 308, 'end': 310}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98114794), 'word': ' to the exclusion', 'start': 310, 'end': 327}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96549106), 'word': ' of those linked', 'start': 327, 'end': 343}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996362), 'word': ' to its situation', 'start': 343, 'end': 360}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91300625), 'word': ' as', 'start': 360, 'end': 363}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9086715), 'word': ' a public authority — are to be taken into account (see, to that effect, Case', 'start': 363, 'end': 440}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9551957), 'word': ' ', 'start': 440, 'end': 441}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9736765), 'word': '234/84 Belgium v Commission [1986] ECR 2263, paragraph', 'start': 441, 'end': 495}, {'entity_group': 'LABEL_1', 'score': np.float32(0.66641635), 'word': ' ', 'start': 495, 'end': 496}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9791045), 'word': '14; Case 40/85 Belgium v Commission [', 'start': 496, 'end': 533}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9803904), 'word': '1', 'start': 533, 'end': 534}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9970163), 'word': '986] ECR 2321, paragraph 13;', 'start': 534, 'end': 562}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9907969), 'word': ' Joined', 'start': 562, 'end': 569}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99274135), 'word': ' Cases C-278/92 to C-280/92 Spain v Commission [', 'start': 569, 'end': 617}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997949), 'word': '1', 'start': 617, 'end': 618}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9830375), 'word': '99', 'start': 618, 'end': 620}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8651703), 'word': '4', 'start': 620, 'end': 621}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96715474), 'word': '] ECR I-41', 'start': 621, 'end': 631}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8998609), 'word': '0', 'start': 631, 'end': 632}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98563445), 'word': '3, paragraph 22; and Case C-334/99 Germany v Commission [2003] ECR I-1139, paragraph 134).', 'start': 632, 'end': 722}]"
"It follows that the roles of the State as shareholder of an undertaking, on the one hand, and of the State acting as a public authority, on the other, must be distinguished , as has been correctly argued by the Commission, the EFTA Surveillance Authority and Iberdrola and as the General Court held in paragraphs 223 to 228 of the judgment under appeal.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9711484), 'word': 'It follows that the roles of the State', 'start': 0, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5763054), 'word': ' as', 'start': 38, 'end': 41}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' shareholder', 'start': 41, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85308075), 'word': ' of an', 'start': 53, 'end': 59}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9618034), 'word': ' undertaking, on the one hand, and of the State acting as', 'start': 59, 'end': 116}, {'entity_group': 'LABEL_1', 'score': np.float32(0.73855627), 'word': ' a', 'start': 116, 'end': 118}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9375702), 'word': ' public authority, on the other,', 'start': 118, 'end': 150}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98128366), 'word': ' must be', 'start': 150, 'end': 158}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9921944), 'word': ' distinguished ,', 'start': 158, 'end': 174}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7916336), 'word': ' as has', 'start': 174, 'end': 181}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85282266), 'word': ' been correctly argued by the Commission, the', 'start': 181, 'end': 226}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99834657), 'word': ' EF', 'start': 226, 'end': 229}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90233344), 'word': 'TA Surveillance Authority and Iber', 'start': 229, 'end': 263}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99376947), 'word': 'dro', 'start': 263, 'end': 266}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999964), 'word': 'la', 'start': 266, 'end': 268}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6600883), 'word': ' and', 'start': 268, 'end': 272}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93993354), 'word': ' as', 'start': 272, 'end': 275}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9993434), 'word': ' the General', 'start': 275, 'end': 287}, {'entity_group': 'LABEL_0', 'score': np.float32(0.950119), 'word': ' Court held in paragraphs 223 to', 'start': 287, 'end': 319}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999666), 'word': ' ', 'start': 319, 'end': 320}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9094334), 'word': '228 of the judgment', 'start': 320, 'end': 339}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999968), 'word': ' under', 'start': 339, 'end': 345}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999981), 'word': ' appeal.', 'start': 345, 'end': 353}]"
