text,label,dhananjay_events
"It must be observed at the outset that, as the Advocate General stated in point 47 of his Opinion, the requirement as to selectivity under Article 107(1) TFEU must be clearly distinguished from the concomitant detection of an economic advantage, in that, where the Commission has identified an advantage, understood in a broad sense, as arising directly or indirectly from a particular measure, it is also required to establish that that advantage specifically benefits one or more undertakings.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.96471345), 'word': 'It must be observed at the outset', 'start': 0, 'end': 33}, {'entity_group': 'LABEL_1', 'score': np.float32(0.711741), 'word': ' that', 'start': 33, 'end': 38}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9957164), 'word': ', as the Advocate', 'start': 38, 'end': 55}, {'entity_group': 'LABEL_1', 'score': np.float32(0.61039734), 'word': ' General', 'start': 55, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95444006), 'word': ' stated in point 47 of his Opinion, the requirement as to selectivity', 'start': 63, 'end': 132}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99591064), 'word': ' under', 'start': 132, 'end': 138}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9856522), 'word': ' Article 10', 'start': 138, 'end': 149}, {'entity_group': 'LABEL_1', 'score': np.float32(0.56818956), 'word': '7', 'start': 149, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99996513), 'word': '(1', 'start': 150, 'end': 152}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8908057), 'word': ') T', 'start': 152, 'end': 155}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9020548), 'word': 'FEU', 'start': 155, 'end': 158}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9908139), 'word': ' must be clearly', 'start': 158, 'end': 174}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82223713), 'word': ' distinguished from', 'start': 174, 'end': 193}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88986164), 'word': ' the', 'start': 193, 'end': 197}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9665691), 'word': ' concomitant detection of an economic advantage, in that, where the Commission has identified', 'start': 197, 'end': 290}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96700114), 'word': ' an', 'start': 290, 'end': 293}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99629545), 'word': ' advantage, understood', 'start': 293, 'end': 315}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90512), 'word': ' in', 'start': 315, 'end': 318}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8650652), 'word': ' a broad sense, as arising directly or indirectly from a particular measure, it is', 'start': 318, 'end': 400}, {'entity_group': 'LABEL_1', 'score': np.float32(0.56922466), 'word': ' also', 'start': 400, 'end': 405}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9412391), 'word': ' required to establish that that advantage', 'start': 405, 'end': 447}, {'entity_group': 'LABEL_1', 'score': np.float32(0.63919324), 'word': ' specifically', 'start': 447, 'end': 460}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95120996), 'word': ' benefits one or more undertakings.', 'start': 460, 'end': 495}]"
"It falls to the Commission to show that the measure, in particular, creates differences between undertakings which, with regard to the objective of the measure, are in a comparable situation.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9889648), 'word': 'It falls to the Commission to show that', 'start': 0, 'end': 39}, {'entity_group': 'LABEL_1', 'score': np.float32(0.58716804), 'word': ' the', 'start': 39, 'end': 43}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99808574), 'word': ' measure', 'start': 43, 'end': 51}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55817086), 'word': ',', 'start': 51, 'end': 52}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98517656), 'word': ' in particular, creates differences between undertakings which, with', 'start': 52, 'end': 120}, {'entity_group': 'LABEL_1', 'score': np.float32(0.65442425), 'word': ' regard', 'start': 120, 'end': 127}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9291131), 'word': ' to', 'start': 127, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6718466), 'word': ' the', 'start': 130, 'end': 134}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98458076), 'word': ' objective of the measure, are in a comparable situation.', 'start': 134, 'end': 191}]"
It is necessary therefore that the advantage be granted selectively and that it be liable to place certain undertakings in a more favourable situation than that of others.,prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.977323), 'word': 'It is necessary therefore that the advantage be granted selectively and that it be', 'start': 0, 'end': 82}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85811925), 'word': ' liable to', 'start': 82, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999676), 'word': ' place', 'start': 92, 'end': 98}, {'entity_group': 'LABEL_1', 'score': np.float32(0.50078106), 'word': ' certain', 'start': 98, 'end': 106}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9940289), 'word': ' undertakings in a more', 'start': 106, 'end': 129}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9915352), 'word': ' favourable', 'start': 129, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9963911), 'word': ' situation than that of others.', 'start': 140, 'end': 171}]"
"It must, however, be noted that the selectivity requirement differs depending on whether the measure in question is envisaged as a general scheme of aid or as individual aid.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.94367105), 'word': 'It must, however, be noted that the selectivity', 'start': 0, 'end': 47}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6962455), 'word': ' requirement', 'start': 47, 'end': 59}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8957283), 'word': ' differs depending on whether', 'start': 59, 'end': 88}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9389835), 'word': ' the', 'start': 88, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9891197), 'word': ' measure in question', 'start': 92, 'end': 112}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8168497), 'word': ' is', 'start': 112, 'end': 115}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99813026), 'word': ' envisaged', 'start': 115, 'end': 125}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9980591), 'word': ' as a general', 'start': 125, 'end': 138}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6684272), 'word': ' scheme', 'start': 138, 'end': 145}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99970955), 'word': ' of', 'start': 145, 'end': 148}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999981), 'word': ' aid', 'start': 148, 'end': 152}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98323935), 'word': ' or as individual', 'start': 152, 'end': 169}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9619942), 'word': ' aid.', 'start': 169, 'end': 174}]"
"In the latter case, the identification of the economic advantage is, in principle, sufficient to support the presumption that it is selective.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547148), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99699414), 'word': ' the latter case,', 'start': 2, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85101163), 'word': ' the', 'start': 19, 'end': 23}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97523963), 'word': ' identification of the economic advantage', 'start': 23, 'end': 64}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99989265), 'word': ' is,', 'start': 64, 'end': 68}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9801189), 'word': ' in principle', 'start': 68, 'end': 81}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9965167), 'word': ',', 'start': 81, 'end': 82}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93911856), 'word': ' sufficient to support the presumption', 'start': 82, 'end': 120}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7226969), 'word': ' that', 'start': 120, 'end': 125}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99686223), 'word': ' it is selective.', 'start': 125, 'end': 142}]"
"By contrast, when examining a general scheme of aid, it is necessary to identify whether the measure in question, notwithstanding the finding that it confers an advantage of general application, does so to the exclusive benefit of certain undertakings or certain sectors of activity .",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8821163), 'word': 'By contrast,', 'start': 0, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83687496), 'word': ' when examining', 'start': 12, 'end': 27}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9701765), 'word': ' a general scheme', 'start': 27, 'end': 44}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9973563), 'word': ' of', 'start': 44, 'end': 47}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9988072), 'word': ' aid, it is necessary to identify whether the', 'start': 47, 'end': 92}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97871107), 'word': ' measure', 'start': 92, 'end': 100}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97254133), 'word': ' in question,', 'start': 100, 'end': 113}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7197571), 'word': ' notwithstanding the', 'start': 113, 'end': 133}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9375388), 'word': ' finding that it', 'start': 133, 'end': 149}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91725284), 'word': ' confers an', 'start': 149, 'end': 160}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999988), 'word': ' advantage', 'start': 160, 'end': 170}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9967696), 'word': ' of general', 'start': 170, 'end': 181}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97386646), 'word': ' application, does so to the exclusive benefit of certain undertakings', 'start': 181, 'end': 251}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8147741), 'word': ' or certain', 'start': 251, 'end': 262}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999963), 'word': ' sectors', 'start': 262, 'end': 270}, {'entity_group': 'LABEL_1', 'score': np.float32(0.62606114), 'word': ' of', 'start': 270, 'end': 273}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97520506), 'word': ' activity .', 'start': 273, 'end': 284}]"
"It follows that the appropriate comparator for establishing the selectivity of the measure at issue in the present case was to ascertain whether the procedure for concluding and setting the terms and conditions of the agreement extending mining rights, laid down in Article 26/A(5) of the Mining Act, draws a distinction between operators that are, in the light of the objective of the measure, in a comparable factual and legal situation, a distinction not justified by the nature and general scheme of the system at issue .",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.95954186), 'word': 'It follows that the', 'start': 0, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9840149), 'word': ' appropriate', 'start': 19, 'end': 31}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96053743), 'word': ' comparator for', 'start': 31, 'end': 46}, {'entity_group': 'LABEL_1', 'score': np.float32(0.799461), 'word': ' establishing the', 'start': 46, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9864413), 'word': ' selectivity of the measure at issue in the', 'start': 63, 'end': 106}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5552121), 'word': ' present', 'start': 106, 'end': 114}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9908128), 'word': ' case was to ascertain whether', 'start': 114, 'end': 144}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7802505), 'word': ' the procedure for', 'start': 144, 'end': 162}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99888164), 'word': ' concluding', 'start': 162, 'end': 173}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9990576), 'word': ' and', 'start': 173, 'end': 177}, {'entity_group': 'LABEL_0', 'score': np.float32(0.980783), 'word': ' setting the terms and conditions of the agreement', 'start': 177, 'end': 227}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8995583), 'word': ' extending', 'start': 227, 'end': 237}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9832206), 'word': ' mining rights, laid', 'start': 237, 'end': 257}, {'entity_group': 'LABEL_1', 'score': np.float32(0.734715), 'word': ' down in', 'start': 257, 'end': 265}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9977063), 'word': ' Article 26/A(5', 'start': 265, 'end': 280}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8298538), 'word': ') of the', 'start': 280, 'end': 288}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97714937), 'word': ' Mining Act, draws a distinction between operators that are, in the light of the objective of the measure, in a', 'start': 288, 'end': 399}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89178795), 'word': ' comparable', 'start': 399, 'end': 410}, {'entity_group': 'LABEL_0', 'score': np.float32(0.66237986), 'word': ' factual', 'start': 410, 'end': 418}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9196946), 'word': ' and', 'start': 418, 'end': 422}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9990856), 'word': ' legal situation, a distinction', 'start': 422, 'end': 453}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9899901), 'word': ' not', 'start': 453, 'end': 457}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9947974), 'word': ' justified by the nature', 'start': 457, 'end': 481}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9429388), 'word': ' and general', 'start': 481, 'end': 493}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9618521), 'word': ' scheme of the system at issue .', 'start': 493, 'end': 525}]"
"It follows from those considerations that the present case must be clearly distinguished from those cases giving rise to the case-law mentioned by the Commission in support of its arguments, set out in paragraphs 54 and 56 above, seeking to criticise the analysis made by the General Court of the legal framework governing the 2005 agreement.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8835004), 'word': 'It follows from those considerations that the present case', 'start': 0, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99780387), 'word': ' must', 'start': 58, 'end': 63}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94406134), 'word': ' be', 'start': 63, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9088332), 'word': ' clearly', 'start': 66, 'end': 74}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9462691), 'word': ' distinguished from those cases giving rise to the case-law mentioned by', 'start': 74, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81334716), 'word': ' the', 'start': 146, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8634087), 'word': ' Commission in support of', 'start': 150, 'end': 175}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91485125), 'word': ' its', 'start': 175, 'end': 179}, {'entity_group': 'LABEL_0', 'score': np.float32(0.872955), 'word': ' arguments, set out in paragraphs 54 and', 'start': 179, 'end': 219}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88786817), 'word': ' 5', 'start': 219, 'end': 221}, {'entity_group': 'LABEL_0', 'score': np.float32(0.928703), 'word': '6 above, seeking to', 'start': 221, 'end': 240}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9900993), 'word': ' criticise the', 'start': 240, 'end': 254}, {'entity_group': 'LABEL_0', 'score': np.float32(0.940288), 'word': ' analysis made by the', 'start': 254, 'end': 275}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9306575), 'word': ' General', 'start': 275, 'end': 283}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99942774), 'word': ' Court of the legal', 'start': 283, 'end': 302}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84451246), 'word': ' framework governing the', 'start': 302, 'end': 326}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99978167), 'word': ' 2005 agreement.', 'start': 326, 'end': 342}]"
"Those cases relate to provisions of national law granting relief on taxes or other charges (judgments in France v Commission, C‑241/94, EU:C:1996:353; Piaggio, C‑295/97, EU:C:1999:313; DM Transport, C‑256/97, EU:C:1999:332; P, C‑6/12, EU:C:2013:525; Ministerio de Defensa and Navantia, C‑522/13, EU:C:2014:2262; and British Telecommunications v Commission, C‑620/13 P, EU:C:2014:2309), or exceptions in matters of insolvency (judgment in Ecotrade, C‑200/97, EU:C:1998:579).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8476225), 'word': 'Those cases relate to provisions', 'start': 0, 'end': 32}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97188765), 'word': ' of national', 'start': 32, 'end': 44}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' law', 'start': 44, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9793961), 'word': ' granting', 'start': 48, 'end': 57}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999995), 'word': ' relief', 'start': 57, 'end': 64}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99997985), 'word': ' on', 'start': 64, 'end': 67}, {'entity_group': 'LABEL_0', 'score': np.float32(0.62406564), 'word': ' taxes', 'start': 67, 'end': 73}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9910442), 'word': ' or other charges (', 'start': 73, 'end': 92}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99688923), 'word': 'judgments in France v Commission, C‑241/94,', 'start': 92, 'end': 135}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6762569), 'word': ' EU', 'start': 135, 'end': 138}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9921702), 'word': ':C', 'start': 138, 'end': 140}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5325123), 'word': ':', 'start': 140, 'end': 141}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91192454), 'word': '1996', 'start': 141, 'end': 145}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6539139), 'word': ':', 'start': 145, 'end': 146}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9717561), 'word': '353;', 'start': 146, 'end': 150}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9978005), 'word': ' Pi', 'start': 150, 'end': 153}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9669794), 'word': 'aggio', 'start': 153, 'end': 158}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5074045), 'word': ',', 'start': 158, 'end': 159}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99892193), 'word': ' C‑295/97,', 'start': 159, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9839298), 'word': ' EU', 'start': 169, 'end': 172}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99270105), 'word': ':', 'start': 172, 'end': 173}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9549897), 'word': 'C:19', 'start': 173, 'end': 177}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8957576), 'word': '9', 'start': 177, 'end': 178}, {'entity_group': 'LABEL_1', 'score': np.float32(0.996808), 'word': '9', 'start': 178, 'end': 179}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98286414), 'word': ':313; DM Transport, C‑256/9', 'start': 179, 'end': 206}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90477216), 'word': '7', 'start': 206, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9590875), 'word': ', EU:C', 'start': 207, 'end': 213}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996705), 'word': ':19', 'start': 213, 'end': 216}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9976771), 'word': '99:', 'start': 216, 'end': 219}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98768973), 'word': '3', 'start': 219, 'end': 220}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9524314), 'word': '32; P, C‑6/12,', 'start': 220, 'end': 234}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99969196), 'word': ' EU', 'start': 234, 'end': 237}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8054842), 'word': ':', 'start': 237, 'end': 238}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8168639), 'word': 'C:', 'start': 238, 'end': 240}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87088615), 'word': '201', 'start': 240, 'end': 243}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9079018), 'word': '3', 'start': 243, 'end': 244}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9520183), 'word': ':525; Ministerio de Defensa and', 'start': 244, 'end': 275}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92819357), 'word': ' Nav', 'start': 275, 'end': 279}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9786899), 'word': 'antia, C‑522/13,', 'start': 279, 'end': 295}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9004181), 'word': ' EU:C', 'start': 295, 'end': 300}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91234124), 'word': ':', 'start': 300, 'end': 301}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9872635), 'word': '2', 'start': 301, 'end': 302}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9866274), 'word': '014:2262; and', 'start': 302, 'end': 315}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8621204), 'word': ' British Tele', 'start': 315, 'end': 328}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95347834), 'word': 'communications v Commission, C‑620/13 P,', 'start': 328, 'end': 368}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99961805), 'word': ' EU', 'start': 368, 'end': 371}, {'entity_group': 'LABEL_0', 'score': np.float32(0.5600694), 'word': ':', 'start': 371, 'end': 372}, {'entity_group': 'LABEL_1', 'score': np.float32(0.62489736), 'word': 'C:', 'start': 372, 'end': 374}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9778381), 'word': '2014:2309', 'start': 374, 'end': 383}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99449205), 'word': '),', 'start': 383, 'end': 385}, {'entity_group': 'LABEL_0', 'score': np.float32(0.58787227), 'word': ' or exceptions', 'start': 385, 'end': 399}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94296354), 'word': ' in matters of', 'start': 399, 'end': 413}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93297976), 'word': ' insolvency (judgment in Ecotrade, C‑200/97,', 'start': 413, 'end': 457}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998692), 'word': ' EU', 'start': 457, 'end': 460}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9992895), 'word': ':', 'start': 460, 'end': 461}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9756485), 'word': 'C:19', 'start': 461, 'end': 465}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9515109), 'word': '98:579).', 'start': 465, 'end': 473}]"
"As the Advocate General stated in point 86 of his Opinion, there is a fundamental difference between, on the one hand, the assessment of the selectivity of general schemes for exemption or relief, which, by definition, confer an advantage, and, on the other, the assessment of the selectivity of optional provisions of national law prescribing the imposition of additional charges.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9748984), 'word': 'As', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7238241), 'word': ' the', 'start': 2, 'end': 6}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99981433), 'word': ' Advocate General stated in point 86 of', 'start': 6, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6249789), 'word': ' his', 'start': 45, 'end': 49}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9596552), 'word': ' Opinion, there is a fundamental difference between, on the one hand, the assessment', 'start': 49, 'end': 133}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9725168), 'word': ' of the', 'start': 133, 'end': 140}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83813703), 'word': ' selectivity of', 'start': 140, 'end': 155}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9953413), 'word': ' general', 'start': 155, 'end': 163}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91596955), 'word': ' schemes for exemption', 'start': 163, 'end': 185}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99052256), 'word': ' or', 'start': 185, 'end': 188}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99988186), 'word': ' relief', 'start': 188, 'end': 195}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8382276), 'word': ',', 'start': 195, 'end': 196}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94926804), 'word': ' which, by definition, confer', 'start': 196, 'end': 225}, {'entity_group': 'LABEL_1', 'score': np.float32(0.68505573), 'word': ' an', 'start': 225, 'end': 228}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99961483), 'word': ' advantage, and, on', 'start': 228, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9577269), 'word': ' the', 'start': 247, 'end': 251}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9991646), 'word': ' other', 'start': 251, 'end': 257}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99850357), 'word': ',', 'start': 257, 'end': 258}, {'entity_group': 'LABEL_0', 'score': np.float32(0.76816833), 'word': ' the assessment', 'start': 258, 'end': 273}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9933875), 'word': ' of the', 'start': 273, 'end': 280}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90470946), 'word': ' selectivity', 'start': 280, 'end': 292}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8678595), 'word': ' of optional provisions of national', 'start': 292, 'end': 327}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9993223), 'word': ' law', 'start': 327, 'end': 331}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9989762), 'word': ' prescribing the', 'start': 331, 'end': 347}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97761893), 'word': ' imposition', 'start': 347, 'end': 358}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98494035), 'word': ' of', 'start': 358, 'end': 361}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8858069), 'word': ' additional charges', 'start': 361, 'end': 380}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7594073), 'word': '.', 'start': 380, 'end': 381}]"
