text,label,dhananjay_events
"As regards the first part of the first ground of appeal, it must be pointed out that, in paragraph 79 of the judgment under appeal, the General Court correctly set out that argument, stating, inter alia, that the appellant was arguing that the Commission had not assessed the effect of the notified measure in its context.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9868531), 'word': 'As regards', 'start': 0, 'end': 10}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83417434), 'word': ' the', 'start': 10, 'end': 14}, {'entity_group': 'LABEL_0', 'score': np.float32(0.76960003), 'word': ' first part', 'start': 14, 'end': 25}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8863732), 'word': ' of the first', 'start': 25, 'end': 38}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997185), 'word': ' ground', 'start': 38, 'end': 45}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9992661), 'word': ' of', 'start': 45, 'end': 48}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9983575), 'word': ' appeal', 'start': 48, 'end': 55}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99990284), 'word': ',', 'start': 55, 'end': 56}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9971365), 'word': ' it', 'start': 56, 'end': 59}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79313296), 'word': ' must be pointed', 'start': 59, 'end': 75}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8422683), 'word': ' out that,', 'start': 75, 'end': 85}, {'entity_group': 'LABEL_1', 'score': np.float32(0.63024586), 'word': ' in', 'start': 85, 'end': 88}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9948551), 'word': ' paragraph 79', 'start': 88, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998673), 'word': ' of the', 'start': 101, 'end': 108}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999629), 'word': ' judgment', 'start': 108, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6557579), 'word': ' under', 'start': 117, 'end': 123}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99815637), 'word': ' appeal', 'start': 123, 'end': 130}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8372533), 'word': ', the General Court correctly set', 'start': 130, 'end': 163}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9776191), 'word': ' out that argument', 'start': 163, 'end': 181}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9628114), 'word': ',', 'start': 181, 'end': 182}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95701784), 'word': ' stating, inter alia, that the appellant was arguing that', 'start': 182, 'end': 239}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74418163), 'word': ' the', 'start': 239, 'end': 243}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90280354), 'word': ' Commission had not assessed', 'start': 243, 'end': 271}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6137442), 'word': ' the', 'start': 271, 'end': 275}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9277869), 'word': ' effect of the notified measure in its context', 'start': 275, 'end': 321}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5906841), 'word': '.', 'start': 321, 'end': 322}]"
The appellant is claiming that it is apparent therefore from that paragraph that the Commission had confined itself to studying the effect of that measure in isolation.,prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99979424), 'word': ' appellant is', 'start': 3, 'end': 16}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99998677), 'word': ' claiming', 'start': 16, 'end': 25}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93146676), 'word': ' that it is apparent therefore from that paragraph that the Commission had confined itself', 'start': 25, 'end': 115}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998457), 'word': ' to studying the', 'start': 115, 'end': 131}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99997735), 'word': ' effect', 'start': 131, 'end': 138}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995284), 'word': ' of that', 'start': 138, 'end': 146}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9994715), 'word': ' measure', 'start': 146, 'end': 154}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99997544), 'word': ' in', 'start': 154, 'end': 157}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9846158), 'word': ' isolation.', 'start': 157, 'end': 168}]"
"Further, the General Court investigated, in paragraphs 81 to 83 of the judgment under appeal, whether the Commission had taken account of the combined effect of the previous provisions and other provisions, fiscal and non-fiscal.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.99999034), 'word': 'Further', 'start': 0, 'end': 7}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98572505), 'word': ', the', 'start': 7, 'end': 12}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98226327), 'word': ' General', 'start': 12, 'end': 20}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9848869), 'word': ' Court investigated, in paragraphs 81 to 83 of', 'start': 20, 'end': 66}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99625313), 'word': ' the', 'start': 66, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999976), 'word': ' judgment', 'start': 70, 'end': 79}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998337), 'word': ' under', 'start': 79, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9535622), 'word': ' appeal, whether', 'start': 85, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.81577456), 'word': ' the', 'start': 101, 'end': 105}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9731066), 'word': ' Commission had taken account', 'start': 105, 'end': 134}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8912353), 'word': ' of', 'start': 134, 'end': 137}, {'entity_group': 'LABEL_0', 'score': np.float32(0.71484673), 'word': ' the', 'start': 137, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8895619), 'word': ' combined', 'start': 141, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' effect', 'start': 150, 'end': 157}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55708253), 'word': ' of', 'start': 157, 'end': 160}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98627573), 'word': ' the previous provisions', 'start': 160, 'end': 184}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9972703), 'word': ' and', 'start': 184, 'end': 188}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95344394), 'word': ' other provisions, fiscal and non-fiscal.', 'start': 188, 'end': 229}]"
"In that regard, the General Court held that the Commission had examined, in recitals 16 to 23 of the contested decision, the relevance of the previous provisions in relation to the notified measure.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547144), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7423475), 'word': ' that regard, the', 'start': 2, 'end': 19}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9078692), 'word': ' General', 'start': 19, 'end': 27}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9395249), 'word': ' Court held that the Commission had examined, in recitals 16 to 23 of the contested decision, the relevance of the previous provisions in relation to', 'start': 27, 'end': 176}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9897217), 'word': ' the', 'start': 176, 'end': 180}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9695329), 'word': ' notified measure.', 'start': 180, 'end': 198}]"
"In particular, the General Court held, in paragraph 83 of that judgment, that, given that the previous early depreciation scheme provisions were to be repealed and the application of the amended Article 115(11) of the LIS no longer required prior authorisation from the tax authorities, the question of the combined effects of the previous provisions simply no longer arose.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9547151), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.5655602), 'word': ' particular,', 'start': 2, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.906041), 'word': ' the General', 'start': 14, 'end': 26}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9453608), 'word': ' Court held, in paragraph 83 of that judgment', 'start': 26, 'end': 71}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996177), 'word': ',', 'start': 71, 'end': 72}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99738497), 'word': ' that,', 'start': 72, 'end': 78}, {'entity_group': 'LABEL_1', 'score': np.float32(0.57762885), 'word': ' given', 'start': 78, 'end': 84}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83473223), 'word': ' that the previous', 'start': 84, 'end': 102}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8306368), 'word': ' early depreciation scheme', 'start': 102, 'end': 128}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9503121), 'word': ' provisions', 'start': 128, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999217), 'word': ' were', 'start': 139, 'end': 144}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999629), 'word': ' to', 'start': 144, 'end': 147}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99999094), 'word': ' be', 'start': 147, 'end': 150}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98196065), 'word': ' repealed', 'start': 150, 'end': 159}, {'entity_group': 'LABEL_1', 'score': np.float32(0.801752), 'word': ' and the', 'start': 159, 'end': 167}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9940148), 'word': ' application', 'start': 167, 'end': 179}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8878076), 'word': ' of the amended Article', 'start': 179, 'end': 202}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7801111), 'word': ' 115', 'start': 202, 'end': 206}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9042586), 'word': '(', 'start': 206, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997984), 'word': '11', 'start': 207, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.95010865), 'word': ') of the LIS', 'start': 209, 'end': 221}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999734), 'word': ' no', 'start': 221, 'end': 224}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9239639), 'word': ' longer', 'start': 224, 'end': 231}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87353635), 'word': ' required', 'start': 231, 'end': 240}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99999905), 'word': ' prior', 'start': 240, 'end': 246}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999018), 'word': ' authorisation from the tax authorities', 'start': 246, 'end': 285}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8522276), 'word': ',', 'start': 285, 'end': 286}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96670485), 'word': ' the question of', 'start': 286, 'end': 302}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999473), 'word': ' the combined', 'start': 302, 'end': 315}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9932989), 'word': ' effects of the previous provisions simply no', 'start': 315, 'end': 360}, {'entity_group': 'LABEL_1', 'score': np.float32(0.56056297), 'word': ' longer', 'start': 360, 'end': 367}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8286252), 'word': ' arose.', 'start': 367, 'end': 374}]"
"The General Court cannot therefore be criticised for having misconstrued arguments raised before it by the appellant that concerned specifically, as is apparent from, inter alia, the application initiating the proceedings, the analysis of the combined effects of the tax measures and other provisions, fiscal and non-fiscal.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.98349893), 'word': 'The General', 'start': 0, 'end': 11}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99390936), 'word': ' Court cannot therefore be criticised', 'start': 11, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.546923), 'word': ' for', 'start': 48, 'end': 52}, {'entity_group': 'LABEL_0', 'score': np.float32(0.87093455), 'word': ' having mis', 'start': 52, 'end': 63}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9960705), 'word': 'constru', 'start': 63, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9738109), 'word': 'ed arguments raised before it by the appellant that concerned specifically, as is apparent from, inter', 'start': 70, 'end': 172}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8474164), 'word': ' alia', 'start': 172, 'end': 177}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99858814), 'word': ', the application', 'start': 177, 'end': 194}, {'entity_group': 'LABEL_1', 'score': np.float32(0.997134), 'word': ' initiating the', 'start': 194, 'end': 209}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83833224), 'word': ' proceedings, the analysis of the', 'start': 209, 'end': 242}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99805546), 'word': ' combined', 'start': 242, 'end': 251}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998956), 'word': ' effects', 'start': 251, 'end': 259}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79054135), 'word': ' of the', 'start': 259, 'end': 266}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95243573), 'word': ' tax measures and other provisions, fiscal and non-fiscal', 'start': 266, 'end': 323}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998876), 'word': '.', 'start': 323, 'end': 324}]"
"For the remainder, the General Court did not for all that limit its examination to the previous early depreciation scheme.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.9326686), 'word': 'For the', 'start': 0, 'end': 7}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8661884), 'word': ' remainder,', 'start': 7, 'end': 18}, {'entity_group': 'LABEL_1', 'score': np.float32(0.875629), 'word': ' the General Court', 'start': 18, 'end': 36}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9703193), 'word': ' did not for all that limit its examination', 'start': 36, 'end': 79}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99191695), 'word': ' to', 'start': 79, 'end': 82}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97351015), 'word': ' the previous early depreciation scheme', 'start': 82, 'end': 121}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9464026), 'word': '.', 'start': 121, 'end': 122}]"
"Thus, in paragraphs 84 to 88 of the judgment under appeal, it set out the appellant’s arguments on the de facto selectivity of the notified measure, to be analysed in the following paragraphs in order to come to the conclusion, in paragraph 92 of that judgment, that, with regard to the new tax scheme, ‘the Commission examined the question of whether the notified measure contained an element of selectivity’.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.94675463), 'word': 'Thus, in paragraphs 84 to 88', 'start': 0, 'end': 28}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9734291), 'word': ' of the', 'start': 28, 'end': 35}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' judgment', 'start': 35, 'end': 44}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9972916), 'word': ' under', 'start': 44, 'end': 50}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999714), 'word': ' appeal', 'start': 50, 'end': 57}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7617008), 'word': ',', 'start': 57, 'end': 58}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9844793), 'word': ' it set', 'start': 58, 'end': 65}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9094212), 'word': ' out the', 'start': 65, 'end': 73}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996542), 'word': ' appellant’', 'start': 73, 'end': 84}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995857), 'word': 's', 'start': 84, 'end': 85}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999622), 'word': ' arguments', 'start': 85, 'end': 95}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99449265), 'word': ' on the', 'start': 95, 'end': 102}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9976305), 'word': ' de', 'start': 102, 'end': 105}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9383624), 'word': ' facto', 'start': 105, 'end': 111}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99990714), 'word': ' selectivity', 'start': 111, 'end': 123}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99289286), 'word': ' of the', 'start': 123, 'end': 130}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8817102), 'word': ' notified measure', 'start': 130, 'end': 147}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92199427), 'word': ',', 'start': 147, 'end': 148}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999994), 'word': ' to', 'start': 148, 'end': 151}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9993705), 'word': ' be', 'start': 151, 'end': 154}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9612776), 'word': ' analysed', 'start': 154, 'end': 163}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83153003), 'word': ' in the following', 'start': 163, 'end': 180}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9987181), 'word': ' paragraphs in order to come to the conclusion, in paragraph', 'start': 180, 'end': 240}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5562284), 'word': ' ', 'start': 240, 'end': 241}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98819923), 'word': '92 of', 'start': 241, 'end': 246}, {'entity_group': 'LABEL_1', 'score': np.float32(0.856109), 'word': ' that', 'start': 246, 'end': 251}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97362083), 'word': ' judgment, that', 'start': 251, 'end': 266}, {'entity_group': 'LABEL_1', 'score': np.float32(0.71036804), 'word': ',', 'start': 266, 'end': 267}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97993594), 'word': ' with regard to', 'start': 267, 'end': 282}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9346732), 'word': ' the new', 'start': 282, 'end': 290}, {'entity_group': 'LABEL_0', 'score': np.float32(0.79477537), 'word': ' tax scheme', 'start': 290, 'end': 301}, {'entity_group': 'LABEL_1', 'score': np.float32(0.57586604), 'word': ',', 'start': 301, 'end': 302}, {'entity_group': 'LABEL_0', 'score': np.float32(0.53435916), 'word': ' ‘', 'start': 302, 'end': 304}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8495962), 'word': 'the', 'start': 304, 'end': 307}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9989665), 'word': ' Commission examined', 'start': 307, 'end': 327}, {'entity_group': 'LABEL_1', 'score': np.float32(0.50818884), 'word': ' the', 'start': 327, 'end': 331}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8718213), 'word': ' question of', 'start': 331, 'end': 343}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8518152), 'word': ' whether the notified', 'start': 343, 'end': 364}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99855345), 'word': ' measure', 'start': 364, 'end': 372}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99529535), 'word': ' contained', 'start': 372, 'end': 382}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9955448), 'word': ' an element', 'start': 382, 'end': 393}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79436), 'word': ' of', 'start': 393, 'end': 396}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9193069), 'word': ' selectivity’.', 'start': 396, 'end': 410}]"
"While the General Court considered that examination to have been ‘succinct’, it nonetheless held that examination to have been sufficient, on the conclusion of reasoned argument set out in paragraphs 93 to 101 of that judgment, where the new tax provisions are dealt with.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.6627842), 'word': 'While', 'start': 0, 'end': 5}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97367394), 'word': ' the', 'start': 5, 'end': 9}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97634727), 'word': ' General', 'start': 9, 'end': 17}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9896473), 'word': ' Court considered that examination to have been ‘succinct’,', 'start': 17, 'end': 76}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6809887), 'word': ' it', 'start': 76, 'end': 79}, {'entity_group': 'LABEL_0', 'score': np.float32(0.83734965), 'word': ' nonetheless held that', 'start': 79, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90321845), 'word': ' examination', 'start': 101, 'end': 113}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99461377), 'word': ' to have been sufficient, on the conclusion', 'start': 113, 'end': 156}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8660227), 'word': ' of reasoned', 'start': 156, 'end': 168}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99921113), 'word': ' argument set out', 'start': 168, 'end': 185}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9931583), 'word': ' in', 'start': 185, 'end': 188}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9936003), 'word': ' paragraphs 93 to 101', 'start': 188, 'end': 209}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9593996), 'word': ' of that', 'start': 209, 'end': 217}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': ' judgment', 'start': 217, 'end': 226}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9969034), 'word': ', where', 'start': 226, 'end': 233}, {'entity_group': 'LABEL_0', 'score': np.float32(0.82646906), 'word': ' the', 'start': 233, 'end': 237}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99985325), 'word': ' new', 'start': 237, 'end': 241}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9997194), 'word': ' tax provisions', 'start': 241, 'end': 256}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8670932), 'word': ' are', 'start': 256, 'end': 260}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9592223), 'word': ' dealt with.', 'start': 260, 'end': 272}]"
"That being the case, the first part of the appellant’s first ground of appeal stems from a misreading of the judgment under appeal and must be rejected.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.93177503), 'word': 'That being the case, the', 'start': 0, 'end': 24}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9360877), 'word': ' first', 'start': 24, 'end': 30}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9344484), 'word': ' part of the appellant’', 'start': 30, 'end': 53}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96937346), 'word': 's first', 'start': 53, 'end': 60}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99910176), 'word': ' ground', 'start': 60, 'end': 67}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999989), 'word': ' of', 'start': 67, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999565), 'word': ' appeal', 'start': 70, 'end': 77}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9831085), 'word': ' stems from', 'start': 77, 'end': 88}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9779462), 'word': ' a misreading', 'start': 88, 'end': 101}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9972887), 'word': ' of', 'start': 101, 'end': 104}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9848988), 'word': ' the judgment', 'start': 104, 'end': 117}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999529), 'word': ' under', 'start': 117, 'end': 123}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9946925), 'word': ' appeal and must be rejected.', 'start': 123, 'end': 152}]"
