text,label,dhananjay_events
"According to the settled case-law of the Court, classification as ‘State aid’ within the meaning of Article 107(1) TFEU requires that all the conditions set out in that provision are fulilled.",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.6648641), 'word': 'According', 'start': 0, 'end': 9}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9615512), 'word': ' to the settled case-law', 'start': 9, 'end': 33}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7324458), 'word': ' of', 'start': 33, 'end': 36}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99514514), 'word': ' the Court, classification as ‘State aid’ within the meaning', 'start': 36, 'end': 96}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996202), 'word': ' of', 'start': 96, 'end': 99}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999269), 'word': ' Article', 'start': 99, 'end': 107}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99652714), 'word': ' ', 'start': 107, 'end': 108}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99743915), 'word': '107(1)', 'start': 108, 'end': 114}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9997172), 'word': ' T', 'start': 114, 'end': 116}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99647325), 'word': 'FEU requires that all the', 'start': 116, 'end': 141}, {'entity_group': 'LABEL_1', 'score': np.float32(0.86070275), 'word': ' conditions set', 'start': 141, 'end': 156}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9368587), 'word': ' out in', 'start': 156, 'end': 163}, {'entity_group': 'LABEL_1', 'score': np.float32(0.79785097), 'word': ' that', 'start': 163, 'end': 168}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9914789), 'word': ' provision are', 'start': 168, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996451), 'word': ' fu', 'start': 182, 'end': 185}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99937373), 'word': 'lilled.', 'start': 185, 'end': 192}]"
"Thus, first, there must be intervention by the State or through State resources;",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9868823), 'word': 'Thus, first, there must be intervention', 'start': 0, 'end': 39}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7475128), 'word': ' by the', 'start': 39, 'end': 46}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99801016), 'word': ' State or through State resources;', 'start': 46, 'end': 80}]"
"second, the intervention must be liable to affect trade between Member States;",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.99911433), 'word': 'second, the intervention must', 'start': 0, 'end': 29}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8960366), 'word': ' be', 'start': 29, 'end': 32}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99996364), 'word': ' liable', 'start': 32, 'end': 39}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6661618), 'word': ' to', 'start': 39, 'end': 42}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99678487), 'word': ' affect trade between', 'start': 42, 'end': 63}, {'entity_group': 'LABEL_1', 'score': np.float32(0.503692), 'word': ' Member', 'start': 63, 'end': 70}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99568903), 'word': ' States;', 'start': 70, 'end': 78}]"
"third, it must confer a selective advantage on the recipient;",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9988607), 'word': 'third, it must', 'start': 0, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97426856), 'word': ' confer', 'start': 14, 'end': 21}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9319488), 'word': ' a selective advantage on the recipient;', 'start': 21, 'end': 61}]"
"fourth, it must distort or threaten to distort competition (judgments of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraph 40, and of 21 December 2016, Commission v World Duty Free Group and Others, C‑20/15 P and C‑21/15 P, EU:C:2016:981, paragraph 53).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9991831), 'word': 'fourth, it must', 'start': 0, 'end': 15}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999995), 'word': ' distort', 'start': 15, 'end': 23}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99805427), 'word': ' or threaten to', 'start': 23, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999863), 'word': ' distort', 'start': 38, 'end': 46}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99983776), 'word': ' competition', 'start': 46, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998609), 'word': ' (', 'start': 58, 'end': 60}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9423599), 'word': 'judgments of 21 December 2016, Commission v', 'start': 60, 'end': 103}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9729548), 'word': ' Hans', 'start': 103, 'end': 108}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9843136), 'word': 'estadt Lübeck, C‑524/14 P,', 'start': 108, 'end': 134}, {'entity_group': 'LABEL_1', 'score': np.float32(0.98227894), 'word': ' EU', 'start': 134, 'end': 137}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8578894), 'word': ':C:', 'start': 137, 'end': 140}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9335364), 'word': '20', 'start': 140, 'end': 142}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9979996), 'word': '16:971, paragraph 40', 'start': 142, 'end': 162}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93807805), 'word': ',', 'start': 162, 'end': 163}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999962), 'word': ' and of 21 December', 'start': 163, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7104015), 'word': ' ', 'start': 182, 'end': 183}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93125486), 'word': '2016, Commission v', 'start': 183, 'end': 201}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8040538), 'word': ' World Duty', 'start': 201, 'end': 212}, {'entity_group': 'LABEL_0', 'score': np.float32(0.84985745), 'word': ' Free Group', 'start': 212, 'end': 223}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89222515), 'word': ' and', 'start': 223, 'end': 227}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9115205), 'word': ' Others, C‑20/15 P and C‑21/15 P, EU:C', 'start': 227, 'end': 265}, {'entity_group': 'LABEL_1', 'score': np.float32(0.80180377), 'word': ':20', 'start': 265, 'end': 268}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99430996), 'word': '16:981, paragraph 53).', 'start': 268, 'end': 290}]"
"The concept of ‘aid’ embraces not only positive benefits, such as subsidies, but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which, therefore, without being subsidies in the strict sense of the word, are similar in character and have the same effect (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 30).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.997022), 'word': 'The', 'start': 0, 'end': 3}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9946078), 'word': ' concept of', 'start': 3, 'end': 14}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9994485), 'word': ' ‘', 'start': 14, 'end': 16}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9959098), 'word': 'aid’ embraces not', 'start': 16, 'end': 33}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99199486), 'word': ' only', 'start': 33, 'end': 38}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9834125), 'word': ' positive benefits, such', 'start': 38, 'end': 62}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9684711), 'word': ' as', 'start': 62, 'end': 65}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99990857), 'word': ' subsidies', 'start': 65, 'end': 75}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9939135), 'word': ',', 'start': 75, 'end': 76}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9000903), 'word': ' but', 'start': 76, 'end': 80}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9917021), 'word': ' also measures', 'start': 80, 'end': 94}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9204551), 'word': ' which, in various forms, mitigate', 'start': 94, 'end': 128}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7520841), 'word': ' the', 'start': 128, 'end': 132}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9663204), 'word': ' charges which', 'start': 132, 'end': 146}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93751), 'word': ' are normally included in the', 'start': 146, 'end': 175}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9996092), 'word': ' budget', 'start': 175, 'end': 182}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9995785), 'word': ' of an', 'start': 182, 'end': 188}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99240136), 'word': ' undertaking and which, therefore,', 'start': 188, 'end': 222}, {'entity_group': 'LABEL_1', 'score': np.float32(0.951134), 'word': ' without being subsidies in the strict', 'start': 222, 'end': 260}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999927), 'word': ' sense', 'start': 260, 'end': 266}, {'entity_group': 'LABEL_1', 'score': np.float32(0.73646224), 'word': ' of the', 'start': 266, 'end': 273}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99851674), 'word': ' word,', 'start': 273, 'end': 279}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99951446), 'word': ' are', 'start': 279, 'end': 283}, {'entity_group': 'LABEL_0', 'score': np.float32(0.7148893), 'word': ' similar', 'start': 283, 'end': 291}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9912197), 'word': ' in', 'start': 291, 'end': 294}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999802), 'word': ' character', 'start': 294, 'end': 304}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99634075), 'word': ' and have', 'start': 304, 'end': 313}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89107496), 'word': ' the same effect', 'start': 313, 'end': 329}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99820995), 'word': ' (', 'start': 329, 'end': 331}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99121886), 'word': 'judgment of 21 March', 'start': 331, 'end': 351}, {'entity_group': 'LABEL_1', 'score': np.float32(0.92837644), 'word': ' 2', 'start': 351, 'end': 353}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97796327), 'word': '013, Commission v Buczek Automotive, C‑405', 'start': 353, 'end': 395}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7263646), 'word': '/', 'start': 395, 'end': 396}, {'entity_group': 'LABEL_0', 'score': np.float32(0.951552), 'word': '11 P, not published', 'start': 396, 'end': 415}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5399518), 'word': ', EU', 'start': 415, 'end': 419}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96597475), 'word': ':C:', 'start': 419, 'end': 422}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99705875), 'word': '20', 'start': 422, 'end': 424}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96211046), 'word': '13:186, paragraph 30).', 'start': 424, 'end': 446}]"
"However, the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 107 TFEU are not met if the recipient undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (judgment of 24 January 2013, Frucona Košice v Commission, C‑73/11 P, EU:C:2013:32, paragraph 70 and the case-law cited).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.9529349), 'word': 'However, the conditions which a measure must meet in order to be treated as', 'start': 0, 'end': 75}, {'entity_group': 'LABEL_1', 'score': np.float32(0.59408045), 'word': ' ‘', 'start': 75, 'end': 77}, {'entity_group': 'LABEL_0', 'score': np.float32(0.93685466), 'word': 'aid’ for the purposes of Article', 'start': 77, 'end': 109}, {'entity_group': 'LABEL_1', 'score': np.float32(0.89666486), 'word': ' ', 'start': 109, 'end': 110}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99973255), 'word': '107', 'start': 110, 'end': 113}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998043), 'word': ' T', 'start': 113, 'end': 115}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9548491), 'word': 'FEU', 'start': 115, 'end': 118}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93327826), 'word': ' are not', 'start': 118, 'end': 126}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9203218), 'word': ' met if the recipient undertaking could, in', 'start': 126, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9257975), 'word': ' circumstances', 'start': 169, 'end': 183}, {'entity_group': 'LABEL_0', 'score': np.float32(0.91065437), 'word': ' which correspond to', 'start': 183, 'end': 203}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9270307), 'word': ' normal market', 'start': 203, 'end': 217}, {'entity_group': 'LABEL_0', 'score': np.float32(0.85131806), 'word': ' conditions,', 'start': 217, 'end': 229}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7727639), 'word': ' have', 'start': 229, 'end': 234}, {'entity_group': 'LABEL_0', 'score': np.float32(0.545579), 'word': ' obtained', 'start': 234, 'end': 243}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7571721), 'word': ' the', 'start': 243, 'end': 247}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8141389), 'word': ' same advantage', 'start': 247, 'end': 262}, {'entity_group': 'LABEL_1', 'score': np.float32(0.55108505), 'word': ' as', 'start': 262, 'end': 265}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8398692), 'word': ' that which has', 'start': 265, 'end': 280}, {'entity_group': 'LABEL_1', 'score': np.float32(0.83450335), 'word': ' been', 'start': 280, 'end': 285}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99877274), 'word': ' made available to it through State resources (judgment of 24 January', 'start': 285, 'end': 354}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96709275), 'word': ' 2', 'start': 354, 'end': 356}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99420434), 'word': '013', 'start': 356, 'end': 359}, {'entity_group': 'LABEL_1', 'score': np.float32(0.752699), 'word': ', Fru', 'start': 359, 'end': 364}, {'entity_group': 'LABEL_0', 'score': np.float32(1.0), 'word': 'cona', 'start': 364, 'end': 368}, {'entity_group': 'LABEL_1', 'score': np.float32(0.84564227), 'word': ' Ko', 'start': 368, 'end': 371}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98809654), 'word': 'šice v Commission', 'start': 371, 'end': 388}, {'entity_group': 'LABEL_1', 'score': np.float32(0.973536), 'word': ', C', 'start': 388, 'end': 391}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94085085), 'word': '‑73/11 P', 'start': 391, 'end': 399}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88518095), 'word': ', EU', 'start': 399, 'end': 403}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89286447), 'word': ':C', 'start': 403, 'end': 405}, {'entity_group': 'LABEL_1', 'score': np.float32(0.907843), 'word': ':201', 'start': 405, 'end': 409}, {'entity_group': 'LABEL_0', 'score': np.float32(0.898403), 'word': '3:32, paragraph 70 and', 'start': 409, 'end': 431}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74460226), 'word': ' the case-law', 'start': 431, 'end': 444}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9753076), 'word': ' cited).', 'start': 444, 'end': 452}]"
"When a public creditor grants payment facilities in respect of a debt payable to it by an undertaking, that assessment is made by applying, in principle, the private creditor test (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 32).",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.991552), 'word': 'When a public creditor', 'start': 0, 'end': 22}, {'entity_group': 'LABEL_1', 'score': np.float32(0.96105987), 'word': ' grants', 'start': 22, 'end': 29}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99964565), 'word': ' payment facilities', 'start': 29, 'end': 48}, {'entity_group': 'LABEL_1', 'score': np.float32(0.90543383), 'word': ' in', 'start': 48, 'end': 51}, {'entity_group': 'LABEL_0', 'score': np.float32(0.89752066), 'word': ' respect', 'start': 51, 'end': 59}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97287875), 'word': ' of a debt', 'start': 59, 'end': 69}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97562295), 'word': ' payable to it by', 'start': 69, 'end': 86}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9520351), 'word': ' an', 'start': 86, 'end': 89}, {'entity_group': 'LABEL_0', 'score': np.float32(0.80274343), 'word': ' undertaking, that', 'start': 89, 'end': 107}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97244924), 'word': ' assessment', 'start': 107, 'end': 118}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9775517), 'word': ' is made', 'start': 118, 'end': 126}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7914692), 'word': ' by applying', 'start': 126, 'end': 138}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9989555), 'word': ',', 'start': 138, 'end': 139}, {'entity_group': 'LABEL_1', 'score': np.float32(0.97443), 'word': ' in principle, the private creditor', 'start': 139, 'end': 174}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999869), 'word': ' test', 'start': 174, 'end': 179}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8534782), 'word': ' (judgment', 'start': 179, 'end': 189}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9910384), 'word': ' of 21 March ', 'start': 189, 'end': 202}, {'entity_group': 'LABEL_1', 'score': np.float32(0.78777295), 'word': '2', 'start': 202, 'end': 203}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90561587), 'word': '013', 'start': 203, 'end': 206}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7020603), 'word': ',', 'start': 206, 'end': 207}, {'entity_group': 'LABEL_0', 'score': np.float32(0.90194607), 'word': ' Commission v Buczek Automotive', 'start': 207, 'end': 238}, {'entity_group': 'LABEL_1', 'score': np.float32(0.738514), 'word': ',', 'start': 238, 'end': 239}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92605597), 'word': ' C‑405/', 'start': 239, 'end': 246}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5578305), 'word': '1', 'start': 246, 'end': 247}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92024875), 'word': '1 P', 'start': 247, 'end': 250}, {'entity_group': 'LABEL_1', 'score': np.float32(0.93709046), 'word': ',', 'start': 250, 'end': 251}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99835086), 'word': ' not published', 'start': 251, 'end': 265}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9336646), 'word': ',', 'start': 265, 'end': 266}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9743061), 'word': ' EU:C', 'start': 266, 'end': 271}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9036142), 'word': ':201', 'start': 271, 'end': 275}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9704392), 'word': '3:186, paragraph 32).', 'start': 275, 'end': 296}]"
"Accordingly, the private creditor test is not an exception which applies only if a Member State so requests, when all the constituent elements of State aid incompatible with the common market, as laid down in Article 107(1) TFEU, exist.",prem,"[{'entity_group': 'LABEL_0', 'score': np.float32(0.8052549), 'word': 'Accordingly, the', 'start': 0, 'end': 16}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9999994), 'word': ' private', 'start': 16, 'end': 24}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999999), 'word': ' creditor test', 'start': 24, 'end': 38}, {'entity_group': 'LABEL_1', 'score': np.float32(0.88668567), 'word': ' is not an', 'start': 38, 'end': 48}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99352866), 'word': ' exception', 'start': 48, 'end': 58}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99919146), 'word': ' which', 'start': 58, 'end': 64}, {'entity_group': 'LABEL_0', 'score': np.float32(0.6336111), 'word': ' applies', 'start': 64, 'end': 72}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8306107), 'word': ' only', 'start': 72, 'end': 77}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98225176), 'word': ' if a Member State so requests,', 'start': 77, 'end': 108}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91342384), 'word': ' when', 'start': 108, 'end': 113}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8368991), 'word': ' all the constituent', 'start': 113, 'end': 133}, {'entity_group': 'LABEL_1', 'score': np.float32(0.5773519), 'word': ' elements', 'start': 133, 'end': 142}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9788514), 'word': ' of State aid incompatible', 'start': 142, 'end': 168}, {'entity_group': 'LABEL_1', 'score': np.float32(0.751696), 'word': ' with the', 'start': 168, 'end': 177}, {'entity_group': 'LABEL_0', 'score': np.float32(0.95816755), 'word': ' common market,', 'start': 177, 'end': 192}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7771451), 'word': ' as', 'start': 192, 'end': 195}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98611975), 'word': ' laid down in Article', 'start': 195, 'end': 216}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9996762), 'word': ' ', 'start': 216, 'end': 217}, {'entity_group': 'LABEL_0', 'score': np.float32(0.98493236), 'word': '107(1)', 'start': 217, 'end': 223}, {'entity_group': 'LABEL_1', 'score': np.float32(0.91766715), 'word': ' TFE', 'start': 223, 'end': 227}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998826), 'word': 'U, exist.', 'start': 227, 'end': 236}]"
"In fact, that test, where applicable, is among the factors which the Commission is required to take into account for the purposes of establishing whether such aid exists (see, to that effect, judgments of 5 June 2012, Commission v EDF, C‑124/10 P, EU:C:2012:318, paragraph 103, and of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 32).",prem,"[{'entity_group': 'LABEL_1', 'score': np.float32(0.95471543), 'word': 'In', 'start': 0, 'end': 2}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9813332), 'word': ' fact, that test', 'start': 2, 'end': 18}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9986455), 'word': ',', 'start': 18, 'end': 19}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9998072), 'word': ' where applicable,', 'start': 19, 'end': 37}, {'entity_group': 'LABEL_1', 'score': np.float32(0.74848646), 'word': ' is', 'start': 37, 'end': 40}, {'entity_group': 'LABEL_0', 'score': np.float32(0.8883471), 'word': ' among the factors which the Commission', 'start': 40, 'end': 79}, {'entity_group': 'LABEL_1', 'score': np.float32(0.85457087), 'word': ' is', 'start': 79, 'end': 82}, {'entity_group': 'LABEL_0', 'score': np.float32(0.92703307), 'word': ' required to take into account', 'start': 82, 'end': 112}, {'entity_group': 'LABEL_1', 'score': np.float32(0.94195306), 'word': ' for the', 'start': 112, 'end': 120}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99947876), 'word': ' purposes', 'start': 120, 'end': 129}, {'entity_group': 'LABEL_1', 'score': np.float32(0.6954965), 'word': ' of establishing whether such', 'start': 129, 'end': 158}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9999554), 'word': ' aid exists', 'start': 158, 'end': 169}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8115707), 'word': ' (', 'start': 169, 'end': 171}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9955084), 'word': 'see, to that effect', 'start': 171, 'end': 190}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9938268), 'word': ',', 'start': 190, 'end': 191}, {'entity_group': 'LABEL_0', 'score': np.float32(0.99999416), 'word': ' judgments of 5 June', 'start': 191, 'end': 211}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7339282), 'word': ' ', 'start': 211, 'end': 212}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9164133), 'word': '2012, Commission v EDF', 'start': 212, 'end': 234}, {'entity_group': 'LABEL_1', 'score': np.float32(0.62665904), 'word': ',', 'start': 234, 'end': 235}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9691146), 'word': ' C‑124', 'start': 235, 'end': 241}, {'entity_group': 'LABEL_1', 'score': np.float32(0.7787075), 'word': '/', 'start': 241, 'end': 242}, {'entity_group': 'LABEL_0', 'score': np.float32(0.96781033), 'word': '10 P,', 'start': 242, 'end': 247}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9961052), 'word': ' EU', 'start': 247, 'end': 250}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9178835), 'word': ':C', 'start': 250, 'end': 252}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8881623), 'word': ':20', 'start': 252, 'end': 255}, {'entity_group': 'LABEL_0', 'score': np.float32(0.9788811), 'word': '1', 'start': 255, 'end': 256}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9844052), 'word': '2', 'start': 256, 'end': 257}, {'entity_group': 'LABEL_0', 'score': np.float32(0.94952285), 'word': ':318, paragraph 103', 'start': 257, 'end': 276}, {'entity_group': 'LABEL_1', 'score': np.float32(0.8490752), 'word': ',', 'start': 276, 'end': 277}, {'entity_group': 'LABEL_0', 'score': np.float32(0.999857), 'word': ' and of 21 March', 'start': 277, 'end': 293}, {'entity_group': 'LABEL_1', 'score': np.float32(0.99927497), 'word': ' 2', 'start': 293, 'end': 295}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97555494), 'word': '013, Commission v Buczek Automotive, C‑405/11 P, not published,', 'start': 295, 'end': 358}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9546399), 'word': ' EU', 'start': 358, 'end': 361}, {'entity_group': 'LABEL_0', 'score': np.float32(0.996706), 'word': ':C:', 'start': 361, 'end': 364}, {'entity_group': 'LABEL_1', 'score': np.float32(0.9998801), 'word': '2', 'start': 364, 'end': 365}, {'entity_group': 'LABEL_0', 'score': np.float32(0.97046536), 'word': '013:186, paragraph 32).', 'start': 365, 'end': 388}]"
