text,label,events
"Article 5 para. 5 (Art. 5-5) provides as follows: ""Everyone who has been the victim of arrest or detention in contravention of the provisions of this Article shall have an enforceable right to compensation.""",premise,['everyone have right']
The applicant submits that the effect of Section 108 of the Courts and Legal Services Act 1991 is to deprive him of the remedy to which he had previously been entitled.,premise,[]
The applicant also complains under Article 5 para. 5 (Art. 5-5) of the Convention that he had no right to compensation under domestic law for his allegedly unlawful detention.,conclusion,['he have number right']
"The applicant submits that, although domestic law categorises the proceedings at issue in the present case as civil, both the nature of the proceedings and the actual penalty imposed indicate that a criminal charge was in fact determined.",premise,['law categorise proceeding']
"He considers that, whatever the nature of the proceedings, they were so complex as to require proper legal representation, especially regarding the alternatives to immediate imprisonment.",conclusion,"['company plex require representation', 'company plex regard alternative']"
This part of the application cannot therefore be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,premise,[]
"For these reasons, the Commission, by a majority DECLARES THE APPLICATION ADMISSIBLE, without prejudging the merits.",conclusion,"['<ORG> declare application', '<ORG> declare merit']"
This part of the application can therefore also not be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,premise,[]
"For these reasons, the Commission, by a majority DECLARES THE APPLICATION ADMISSIBLE, without prejudging the merits.",conclusion,"['<ORG> declare application', '<ORG> declare merit']"
"After a preliminary examination of the complaints under Article 5 para. 1 (a) and (b) (Art. 5-1-a, 5-1-b) of the Convention, the Commission finds that they raise complex issues of fact and law which must be examined on the merits.",premise,"['Commission find fact', 'they raise company plex issue', 'which examine merit']"
This part of the application cannot therefore be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,conclusion,[]
The Commission recalls that under Article 5 para. 5 (Art. 5-5) of the Convention the right to compensation is conditional on a breach of one of the paragraphs of Article 5 (Art. 5).,premise,"['<ORG> recall that', '<ORG> recall article para']"
This part of the application can therefore also not be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,conclusion,[]
"He considers that, whatever the nature of the proceedings, they were so complex as to require proper legal representation, especially regarding the alternatives to immediate imprisonment.",premise,"['company plex require representation', 'company plex regard alternative']"
"He alleges a violation of Article 6 (Art. 6) of the Convention. Article 6 (Art. 6) of the Convention provides, so far as relevant, as follows: ""1. In the determination of his civil rights and obligations or of any criminal charge against him, everyone is entitled to a fair and public hearing within a reasonable time by an independent and impartial tribunal established by law... 3. Everyone charged with a criminal offence has the following minimum rights: (c) to defend himself in person or through legal assistance of his own choosing or, if he has not sufficient means to pay for legal assistance, to be given it free when the interests of justice so require.""",premise,"['he allege violation', 'everyone entitle hearing', 'everyone entitle tribunal', 'tribunal establish law', 'everyone have right', 'right defend himself', 'right defend person', 'he have mean', 'mean pay assistance', 'assistance give it']"
He submits that there was no adequate provision for representation before the Magistrates.,conclusion,['there be provision']
The Commission finds that this complaint also raises complex issues of fact and law which must be examined on the merits. This part of the application cannot therefore be rejected as being manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention either.,premise,"['Commission find fact', 'company plaint raise company plex issue', 'which examine merit']"
"For these reasons, the Commission, by a majority DECLARES THE APPLICATION ADMISSIBLE, without prejudging the merits.",conclusion,"['<ORG> declare application', '<ORG> declare merit']"
"He submits that the present case cannot be distinguished from the R. v. Manchester City Magistrates' Court ex parte Davies case,",premise,['case not distinguish case']
and that the detention was unlawful both in domestic and in Convention terms.,conclusion,[]
"The applicant notes that in its judgment in the present case the Divisional Court answered the Magistrates' questions, ""Whether before issuing the ... warrant, (they) conducted an adequate inquiry into the appellant's means"", and ""Whether the following finding of fact can be supported by the evidence before the Magistrates' Court, namely that the applicant's failure to pay which led to the liability order being made was due to his culpable neglect"", in the negative.",premise,"['applicant number e finding', '<ORG> answer magistrate', '<ORG> answer question', 'question issue warrant', 'company ducte inquiry', 'finding support evidence']"
and that the detention was unlawful both in domestic and in Convention terms.,conclusion,[]
"Article 5 para. 1 (Art. 5-1) of the Convention provides, so far as relevant, as follows: ""1. Everyone has the right to liberty and security of person. No one shall be deprived of his liberty save in the following cases and in accordance with a procedure prescribed by law: (a) the lawful detention of a person convicted by a competent court; (b) the lawful arrest or detention of a person for non- compliance with the lawful order of a court or in order to secure the fulfilment of any obligation prescribed by law;...""",premise,"['everyone have right', 'number deprive liberty', 'procedure prescribe law', 'order secure fulfilment', 'obligation prescribe law']"
and that the detention was unlawful both in domestic and in Convention terms.,conclusion,[]
They rely on the absence of any suggestion in the High Court's judgment that the applicant's detention was unlawful.,premise,['they rely absence']
The Government submit that the Magistrates made an error of law within their jurisdiction which has been corrected on appeal.,conclusion,"['magistrate make error', 'which recte appeal']"
