text,label,events
"In particular, they refer to Section 41 (2) 3 (a)-(c) of the Administrative Court Act under which the Administrative Court must quash an authority's decision for violation of procedural rules where in an essential point the authority has found facts in a way which contradicts the file, where the facts require complementation in an essential point, or where procedural provisions have been disregarded in circumstances where, had they been observed, the authority could have arrived at a different decision.",premise,"['they refer section', 'court must quash decision', 'court must quash violation', 'authority have find fact', 'authority have find way', 'company tradict file', 'fact require plementation', 'fact require point', 'provision have be disregard circumstance', 'they have be observe ', 'company have arrive decision']"
"They submit that, even if the reservation does not prevent an examination, then the review of administrative decisions by the Administrative Court and the Constitutional Court is sufficiently wide to comply with Article 6 para. 1 (Art. 6-1) of the Convention.",conclusion,"['they submit ', 'reservation do prevent examination', ' to ply para']"
"In connection with Article 144 para. 2 of the Federal Constitution, the Government consider that, although the provision provides for non-acceptance of a constitutional complaint on grounds which were not in force in 1958 when the reservation was made, the ability of the Constitutional Court to refuse to deal with complaints against decisions without giving detailed reasons is only a procedural limitation and not a substantive one.",premise,"['provision provide -acceptance', 'provision provide ground', 'reservation be make ', ' to deal plaint', ' give reason']"
The Government point out that any complaint lodged with the Constitutional Court against a decision is subject to comprehensive review.,premise,"[' lodge court', ' lodge decision']"
The Government consider that the absence of an oral public and direct hearing is covered by the Austrian reservation to Article 6 (Art. 6) of the Convention.,premise,"['company sider ', 'absence be ere reservation']"
They also point out that the applicant did not make a complaint about the absence of a hearing before the Administrative Court.,premise,"['they point ', 'applicant do make plaint']"
"The Government consider that the Austrian reservation to Article 5 (Art. 5) of the Convention, if applicable, also covers the applicant's complaint under Article 6 para. 3 (d) (Art. 5-3-d).",conclusion,"[' er plaint', ' er para']"
"In connection with Article 144 para. 2 of the Federal Constitution, the applicant considers that the enlarged grounds for non-acceptance of a constitutional complaint are in any event at variance with Convention requirements.",premise,['company sider ']
This part of the application cannot therefore be declared manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention. No other ground for declaring it inadmissible has been established.,conclusion,"['part can be not declare found', ' found meaning', 'ground have be establish ']"
"The Commission finds that the applicant, who was convicted for speeding twice in the course of one journey, but over separate stretches of road, was convicted not of one but of two separate offences.",premise,"['commission find ', 'who be victe ', 'applicant be victe ']"
