text,label,events
The applicant considered that the law of blasphemy was so uncertain that it was inordinately difficult to establish in advance whether in the eyes of a jury a particular publication would constitute an offence.,premise,"['company sidere ', ' to establish advance', 'publication would stitute offence']"
"Moreover, it was practically impossible to know what predictions an administrative body - the British Board of Film Classification - would make as to the outcome of a hypothetical prosecution.",premise,['body would make ']
"In these circumstances, the applicant could not reasonably be expected to foresee the result of the Board’s speculations.",conclusion,"['number be expect ', ' to foresee result']"
"In these circumstances, the applicant could not reasonably be expected to foresee the result of the Board’s speculations.",premise,"['number be expect ', ' to foresee result']"
"The requirement of foreseeability which flows from the expression ""prescribed by law"" was therefore not fulfilled.",conclusion,"['which flow expression', ' prescribe law', 'requirement be fulfil ']"
it was a feature common to most laws and legal systems that tribunals may reach different conclusions even when applying the same law to the same facts.,premise,"['tribunal may reach clusion', ' apply law', ' apply fact']"
This did not necessarily make these laws inaccessible or unforeseeable.,premise,['this do make ']
"Given the infinite variety of ways of publishing ""contemptuous, reviling, scurrilous or ludicrous matter relating to God, Jesus Christ or the Bible"" (see paragraph 27 above), it would not be appropriate for the law to seek to define in detail which images would or would not be potentially blasphemous.",premise,"[' give variety', ' publish matter', ' relate god', ' see paragraph', 'law to seek ', ' to define detail']"
The Government contested this claim:,conclusion,['company test claim']
"The Court reiterates that, according to its case-law, the relevant national ""law"", which includes both statute and common law (see, inter alia, the Sunday Times v. the United Kingdom (no. 1) judgment of 26 April 1979, Series A no. 30, p. 30, para. 47), must be formulated with sufficient precision to enable those concerned - if need be, with appropriate legal advice - to foresee, to a degree that is reasonable in the circumstances, the consequences which a given action may entail.",premise,"['court reiterate ', ' accord law', 'which include statute', 'law see judgment', '47 must be formulate precision', 'company cerne advice', ' to foresee sequence', ' to foresee degree', 'action may entail ']"
