model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.9119,0.8743,0.9410,0.9038
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.9021,0.8381,0.9102,0.8681
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.8160,0.7367,0.7802,0.7357
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.8398,0.7870,0.8960,0.8183
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.8494,0.7894,0.9235,0.8331
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8170,0.8825,0.7006,0.7362
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8812,0.8270,0.9295,0.8663
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9313,0.6140,0.6305,0.6190
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.8580,0.8027,0.9205,0.8470
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.8529,0.8209,0.9034,0.8440
Average,Average,0.8660,0.7973,0.8535,0.8071
