model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.8774,0.8504,0.9262,0.8803
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.8851,0.8173,0.9351,0.8628
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.8190,0.7712,0.8913,0.7960
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.8184,0.7820,0.8834,0.8031
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.9112,0.8349,0.9303,0.8733
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8693,0.7992,0.8951,0.8289
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8812,0.8300,0.9348,0.8671
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9313,0.6140,0.6305,0.6190
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.8523,0.8041,0.9301,0.8456
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.8919,0.8410,0.9261,0.8721
Average,Average,0.8737,0.7944,0.8883,0.8248
