model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.8182,0.8369,0.8789,0.8498
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.9237,0.8833,0.9572,0.9152
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.8226,0.7408,0.8682,0.7643
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.8439,0.7340,0.6731,0.6876
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.8926,0.8513,0.9160,0.8761
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8298,0.7685,0.8883,0.8107
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8947,0.8644,0.9317,0.8922
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9455,0.6333,0.6310,0.6303
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.8302,0.9341,0.8125,0.8330
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.8740,0.8740,0.9065,0.8775
Average,Average,0.8675,0.8121,0.8463,0.8137
