model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.9021,0.8938,0.9368,0.9084
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.8931,0.8632,0.9119,0.8856
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.8629,0.7698,0.8964,0.7939
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.8394,0.7930,0.8481,0.8047
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.9128,0.8573,0.9406,0.8928
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8383,0.7755,0.8948,0.8166
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8804,0.8610,0.9277,0.8828
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9758,0.6510,0.6508,0.6505
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.7736,0.8571,0.8904,0.8435
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.8821,0.8778,0.9126,0.8838
Average,Average,0.8760,0.8200,0.8810,0.8363
