model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.3372,0.2786,0.3316,0.1712
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.2809,0.3818,0.3437,0.1660
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.4540,0.4813,0.3444,0.2263
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.4922,0.3813,0.3602,0.2964
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.4633,0.4091,0.4100,0.3134
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.3758,0.1282,0.3333,0.1852
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.4884,0.4413,0.4007,0.3168
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.7595,0.5486,0.4626,0.4771
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.2955,0.3163,0.3373,0.1666
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.5405,0.6380,0.5088,0.4931
Average,Average,0.4487,0.4005,0.3833,0.2812
