model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.9119,0.5976,0.6382,0.6133
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.5362,0.3588,0.5669,0.3219
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.8865,0.5993,0.6041,0.5946
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.4414,0.1471,0.3333,0.2042
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.8842,0.5707,0.6269,0.5900
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8399,0.5671,0.5878,0.5634
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8680,0.5760,0.6099,0.5832
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9237,0.6190,0.6265,0.6197
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.9318,0.6983,0.7509,0.7199
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.8378,0.5699,0.6117,0.5801
Average,Average,0.8061,0.5304,0.5956,0.5390
