model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.5245,0.1748,0.3333,0.2294
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.6336,0.3509,0.3654,0.3574
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.5565,0.1855,0.3333,0.2383
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.5045,0.1682,0.3333,0.2236
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.6040,0.2013,0.3333,0.2510
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.4468,0.3409,0.3355,0.2340
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.5598,0.1866,0.3333,0.2393
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.5091,0.1697,0.3333,0.2249
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.6887,0.2296,0.3333,0.2719
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.4472,0.1491,0.3333,0.2060
Average,Average,0.5475,0.2157,0.3367,0.2476
