model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.8811,0.5949,0.6178,0.6001
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.8626,0.5513,0.6227,0.5734
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.8790,0.5942,0.5990,0.5884
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.4253,0.3507,0.5934,0.3253
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.5503,0.3476,0.6259,0.3390
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8298,0.5697,0.5748,0.5589
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8421,0.5726,0.5954,0.5721
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9515,0.6367,0.6349,0.6343
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.6509,0.3421,0.6438,0.3386
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.4065,0.3681,0.5848,0.3497
Average,Average,0.7279,0.4928,0.6092,0.4880
