source_text,target_text,relation,source_type,target_type,file_name
"necessary, first, for there to be aid favouring certain undertakings or the production of certain goods and, second, for that advantage to come from the State or State resources.","Article 92 of the Treaty states: 'Save as otherwise provided in this Treaty, any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods shall, in so far as it affects trade between Member States, be incompatible with the common market.'",support,premise,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"Since the objective of the Commission’s single ground of appeal is precisely to contest the legal analysis of the obligation of the Court of First Instance to provide a statement of reasons, the Commission cannot be criticised for inviting the Court of Justice to re-examine the substance of the contested decision.","Appeals against the judgments of the Court of First Instance are governed, however, by the terms of Article 225(1) EC and the Statute of the Court of Justice.",support,premise,premise,R2006_European Commission v Italian Republic
"It is selective, as follows from the reasoning set out in paragraphs 41 and 47 to 55 of the present judgment, only if, within the context of a particular legal regime, it has the effect of conferring an advantage on certain undertakings over others, in a different sector or the same sector, which are, in the light of the objective pursued by that regime, in a comparable factual and legal situation.","The General Court also noted, in paragraphs 30 and 31 of the judgment under appeal, that it was clear from the decision at issue and the 2006 schedule that the possibility of applying reduced charges, within the framework of discounts provided for by that schedule, was dependent on an agreement concluded directly between the operator of L�beck Airport and an airline, without intervention on the part of the supervisory authority, and that it was indeed by means of agreements concluded directly between FL and Ryanair that special charges, derogating from those laid down by the 2006 schedule, had been applied to that airline.",no-relation,premise,premise,R2016_European Commission v Hansestadt Lübeck
"persons (Belgium and Forum 187 v Commission, paragraph 59).","Belgium and Forum 187 v Commission, paragraph 60).",support,premise,premise,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
"Court that there existed alternative methods enabling recovery, if only in part, of the aid in question.",State concerned are real and that there are no alternative methods of recovery.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"The deferral of payment does not constitute an alteration of a purely formal or administrative nature, nor can it be qualified as an increase in the original budget of an aid scheme within the meaning of Article 4(1) of Regulation No 794/2004.","In addition, in paragraphs 54 to 56 of the originating application, the Italian Republic claimed that the withdrawal of the aid resulting from the deferral of payment, in itself, is equivalent to the consequence laid down in the TFEU in the event of a finding that that aid is unlawful, and therefore should not also lead to the withdrawal of aid legally granted beforehand under the system of staggered payments.",no-relation,premise,premise,A2017_European Commission v Italian Republic_DT
"which is not a direct competitor of the beneficiary of the aid,",whether there are doubts as to the compatibility of the aid with the common market.,no-relation,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"Therefore, contrary to what the Commission submits, the Italian Republic argued in its application at first instance that the Commission had infringed Article 1(c) of Regulation No 659/1999 by classifying, in the decision at issue, the staggering of payments as new and unlawful aid, and by wrongly requiring that Member State to recover that aid.","Moreover, the complaint concerning the infringement of that provision is formulated differently from the one concerning the infringement of Article 4(1) of Regulation No 794/2004 and the failure to state adequate reasons.",support,premise,premise,A2017_European Commission v Italian Republic_DT
at issue constituted State aid.,rate of levy was not limited in nature.,support,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"taking the view, at paragraph 130 of the judgment under appeal, that the Commission has established in the present case that the restructuring carried out by ACEA together with Electrabel could have given rise to the risk of circumvention of the recovery order in the earlier decision.","appeal, first, that the agreement allocating the branch of the undertaking transferred from ACEA to AEP contained a clause precluding any possible dispute concerning that branch and, second, that ACEA had already, at that point, contested the earlier decision.",support,premise,premise,R2010_AceaElectrabel Produzione SpA v European Commission
from a list drawn up by a group set up within the Council.,"of the EC Treaty (now, after amendment, Article 87 EC).",support,premise,premise,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
"facts by the General Court, the first part of the second ground of appeal is admissible.","to C-69/16 P, EU:C:2017:999, paragraph 98).",support,premise,premise,A2018_Dirk Andres v European Commission
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.","Before concluding that Article 85(1) of the Treaty did not apply in those circumstances, the Court pointed out, in paragraph 54 of Albany, that, under Article 3(g) and (i) of the EC Treaty (now, after amendment, Article 3(1)(g) and (j) EC), the activities of the Community are to include not only a ‘system ensuring that competition in the internal market is not distorted’ but also ‘a policy in the social sphere’.",support,premise,premise,A2009_3F v Commission of the European Communities
as an illegal restriction of the scope of Article 93(2) and (3) of the Treaty.,in the event of any complaints which the Commission may receive.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"That fact however had to be taken into consideration in relation to the obligation to recover the incompatible aid, in the light of the principles of protection of legitimate expectations and legal certainty, as was done by the Commission in the contested decision when it declined to order the recovery of aid granted before the date of publication in the Official Journal of the European Communities of the decisions to initiate the procedure laid down in Article 88(2) EC.","The power conferred upon the Council in the area of State aid by the third subparagraph of Article 88(2) EC is exceptional in character, which means that it must necessarily be interpreted strictly (see also, to that effect, the judgment of 4 December 2013 in Case C‑111/10 Commission v Council [2013] ECR, paragraph 39).",no-relation,premise,premise,A2013_European Commission v Ireland and Others
framework governing the conclusion of the 2005 agreement.,in a more favourable situation than that of others.,support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
to the right to challenge such acts or decisions by way of an action for annulment.,the rights of interested parties.,no-relation,premise,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
"Consequently, given that Article 1 of the Third Steel Aid Code prohibited both aid that was and aid that was not specific to the steel sector, the Commission could not implicitly withdraw the 1971 Decision.","The provisions of the EC Treaty only apply in the alternative, in situations in which there is no specific rule under the ECSC Treaty (see, in particular, Case 328/85 Deutsche Babcock [1987] ECR 5119, paragraphs 6 to 14).",support,premise,premise,A2008_Commission of the European Communities v Salzgitter AG
It follows from all of the foregoing that the appeals must be dismissed.,to the present appeal.,support,premise,premise,R2004_Daewoo Electronics Manufacturing España SA and Territorio Histórico de Álava - Diputación Foral de Álava v Commission of the European Communities
France on French races.,"that the way in which stakes on Belgian races were treated, which allegedly produced the advantage to the Belgian P M U complained of, should be the same as the way in which the levy accruing to the P M U was treated.",attack,premise,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
alleging disregard for procedural guarantees.,applicant has not expressly raised a plea to that effect.,support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"In annulling the part of the contested decision relating to the Federal Republic of Germany’s obligation to recover the aid received by Salzgitter, the Court of First Instance again held that the Commission had known of that aid since the end of 1988 and that, given that it did not react until 1998, it had, in taking that decision, breached the principle of legal certainty.","It must be held that the reasoning followed by the judgment under appeal as regards breaching the principle of legal certainty is incorrect, and there is no need to rule on whether the Court of First Instance was entitled to hold that the Commission had knowledge of the aid in issue since the end of 1988, which the latter disputes.",attack,premise,premise,A2008_Commission of the European Communities v Salzgitter AG
"It follows that, since the resources of public undertakings are subject to the control of the State and are therefore at its disposal, those resources fall within the scope of the concept of 'State resources', within the meaning of Article 107(1) TFEU.","The fact that the resources concerned may be administered by entities that are distinct from the public authorities or that the source of those resources may be private is of no significance in that regard (see, to that effect, judgments of 2 July 1974, Italy v Commission, 173/73, EU:C:1974:71, paragraph 35, and of 8 May 2003, Italy and SIM 2 Multimedia v Commission, C-328/99 and C-399/00, EU:C:2003:252, paragraph 33).",support,premise,premise,A2017_European Commission v TV2_Danmark A_S
