source_ID,source_text,target_ID,target_text,relation,source_type,target_type,file_name,type_pair
A2,,A3,it include benefit; which mitigate charge; which mitigate join Cases; which include budget; charge have effect; measure see join Cases; measure paint Graphos,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A8,company pany benefit tax treatment; tax treatment characterise fact; business tax calculate basis; rate oppose rate; fact vote authority,A7,tax regime stitute exception,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A9,undertaking tax rate; rate vote authority; rate vote territory; undertaking have establishment,A7,tax regime stitute exception,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A10,rate applicable undertaking,A7,tax regime stitute exception,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A1,which form part; submission relate existence; ground put instance; ground put company text,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A3,it include benefit; which mitigate charge; which mitigate join Cases; which include budget; charge have effect; measure see join Cases; measure paint Graphos,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A4,,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A5,objective pursue <ORG>; nature have number bear; ground have number bear,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A6,Article EC distinguish cause; case law define they; case law define relation,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A7,tax regime stitute exception,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A11,argument rely appeal; <ORG> take account; <ORG> take number; <ORG> take factother; argument give characteristic; position determine level; position determine advance; position determine tax year,A13,finding depend number; tax rate vote authority; <ORG> have establishment,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
