source_ID,source_text,target_ID,target_text,relation,source_type,target_type,file_name,type_pair
A2,"As regards whether that ground is well founded, according to settled case-law, the definition of aid is more general than that of a subsidy.",A3,"It includes not only positive benefits but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which thus, without being subsidies in the strict sense of the word, are similar in character and have the same effect (see, Joined Cases C‑78/08 to C‑80/08 Paint Graphos and Others [2011] ECR I‑0000, paragraph 45 and the case-law cited).",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A8,"In particular, that company benefited from specific tax treatment at national level, characterised by the fact that business tax was calculated on the basis of a weighted average rate, as opposed to the various rates applicable in the different local authorities, whereas the rates to which other undertakings were subject were those voted annually by those authorities.",A7,"As regards the present case, it should be noted that the tax regime to which FT was subject during the second period under consideration, namely during the years from 1994 to 2002, constituted an exception to the general law regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A9,"Moreover, FT was subject to a single rate of business tax in its principle place of business, whereas other undertakings were taxed at the different rates voted by the local authorities in the territory within which those undertakings had establishments.",A7,"As regards the present case, it should be noted that the tax regime to which FT was subject during the second period under consideration, namely during the years from 1994 to 2002, constituted an exception to the general law regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A10,"A rate of 1.9% was also applied to FT, as opposed to the rate of 8% applicable to other undertakings, in respect of management costs.",A7,"As regards the present case, it should be noted that the tax regime to which FT was subject during the second period under consideration, namely during the years from 1994 to 2002, constituted an exception to the general law regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A1,"With regard to the Commission’s claim that the first ground of appeal is inadmissible, it should be noted that that ground, which forms part of the submissions relating to the existence of State aid, was put forward at first instance in the context of the first and second pleas relied on before the General Court.",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A3,"It includes not only positive benefits but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which thus, without being subsidies in the strict sense of the word, are similar in character and have the same effect (see, Joined Cases C‑78/08 to C‑80/08 Paint Graphos and Others [2011] ECR I‑0000, paragraph 45 and the case-law cited).",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A4,"It should also be noted that the concept of advantage that is intrinsic to the classification of a measure as State aid is an objective one, irrespective of the motives of the persons responsible for the measure in question.",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A5,"Accordingly, the nature of the objectives pursued by State measures and their grounds of justification have no bearing whatsoever on whether such measures are to be classified as State aid.",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A6,"It is established case-law that Article 87(1) EC does not distinguish between the causes or the objectives of State aid, but defines them in relation to their effects (see Case C‑409/00 Spain v Commission [2003] ECR I‑1487, paragraph 46 and the case-law cited).",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A7,"As regards the present case, it should be noted that the tax regime to which FT was subject during the second period under consideration, namely during the years from 1994 to 2002, constituted an exception to the general law regime.",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A11,"As regards the argument relied on in the present appeal that the General Court’s examination of the tax regime at issue should have taken account of a number of variables and extraneous factors, it should be noted that, even though, given the particular characteristics of that regime, the Commission was not in a position to determine in advance for each tax year the precise level of taxation for that year, it is nevertheless accepted that the regime was capable of resulting and in fact resulted – as is apparent from recital 59 of the contested decision and paragraph 225 of the judgment under appeal – in FT’s liability to business tax being lower than it would have been if the general law business tax regime had been applied.",A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A17,"On account of its specific features, as described at paragraph 18 above, the special tax regime could have resulted in FT’s liability to tax being less than it would have been had it been subject to business tax under the general law regime.",A18,"The fact that FT’s liability to professional tax was indeed lower as of 1994 is directly attributable to the specific features of the special tax regime applied to it, even though the exact amount of annual aid received by it under that regime depended on certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
