model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.7045,0.6044,0.8593,0.6225
legalBERT_processed_GNN,2,0.7106,0.6211,0.8698,0.6550
legalBERT_processed_GNN,3,0.7835,0.7020,0.8742,0.7319
legalBERT_processed_GNN,4,0.7964,0.6956,0.8894,0.7353
legalBERT_processed_GNN,5,0.7298,0.6351,0.8578,0.6609
legalBERT_processed_GNN,6,0.7712,0.6181,0.8850,0.6611
legalBERT_processed_GNN,7,0.7703,0.6364,0.8897,0.6771
legalBERT_processed_GNN,8,0.7137,0.5970,0.8567,0.6095
legalBERT_processed_GNN,9,0.8063,0.6532,0.9052,0.7021
legalBERT_processed_GNN,10,0.7541,0.6872,0.8510,0.7125
Average,Average,0.7540,0.6450,0.8738,0.6768
