model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.7045,0.6044,0.8593,0.6225
legalBERT_processed_GNN,2,0.7691,0.6423,0.8958,0.6928
legalBERT_processed_GNN,3,0.7823,0.6992,0.8735,0.7287
legalBERT_processed_GNN,4,0.7964,0.6956,0.8894,0.7353
legalBERT_processed_GNN,5,0.7298,0.6385,0.8495,0.6642
legalBERT_processed_GNN,6,0.7698,0.6154,0.8843,0.6568
legalBERT_processed_GNN,7,0.7717,0.6370,0.8904,0.6780
legalBERT_processed_GNN,8,0.7137,0.5970,0.8567,0.6095
legalBERT_processed_GNN,9,0.8077,0.6637,0.9067,0.7139
legalBERT_processed_GNN,10,0.7503,0.6851,0.8490,0.7100
Average,Average,0.7595,0.6478,0.8755,0.6812
