model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.2829,0.0943,0.3333,0.1470
legalBERT_processed_GNN,2,0.2309,0.0770,0.3333,0.1251
legalBERT_processed_GNN,3,0.3744,0.1248,0.3333,0.1816
legalBERT_processed_GNN,4,0.3435,0.1145,0.3333,0.1705
legalBERT_processed_GNN,5,0.2757,0.0919,0.3333,0.1441
legalBERT_processed_GNN,6,0.2676,0.0892,0.3333,0.1407
legalBERT_processed_GNN,7,0.2857,0.0952,0.3333,0.1481
legalBERT_processed_GNN,8,0.3063,0.1121,0.3067,0.1642
legalBERT_processed_GNN,9,0.3077,0.1026,0.3333,0.1569
legalBERT_processed_GNN,10,0.3363,0.1121,0.3333,0.1678
Average,Average,0.3011,0.1014,0.3306,0.1546
