model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.7045,0.6044,0.8593,0.6225
legalBERT_processed_GNN,2,0.7676,0.6362,0.8467,0.6784
legalBERT_processed_GNN,3,0.7691,0.6940,0.8662,0.7196
legalBERT_processed_GNN,4,0.8003,0.7220,0.8925,0.7616
legalBERT_processed_GNN,5,0.7339,0.6368,0.8598,0.6638
legalBERT_processed_GNN,6,0.7554,0.6096,0.8777,0.6475
legalBERT_processed_GNN,7,0.7633,0.6336,0.8864,0.6725
legalBERT_processed_GNN,8,0.7137,0.5970,0.8567,0.6095
legalBERT_processed_GNN,9,0.8049,0.6447,0.9045,0.6918
legalBERT_processed_GNN,10,0.7478,0.6863,0.8585,0.7108
Average,Average,0.7560,0.6465,0.8708,0.6778
