model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.7045,0.6044,0.8593,0.6225
legalBERT_processed_GNN,2,0.7691,0.6423,0.8958,0.6928
legalBERT_processed_GNN,3,0.7703,0.6944,0.8668,0.7205
legalBERT_processed_GNN,4,0.7964,0.6956,0.8894,0.7353
legalBERT_processed_GNN,5,0.7284,0.6345,0.8571,0.6599
legalBERT_processed_GNN,6,0.7554,0.6096,0.8777,0.6475
legalBERT_processed_GNN,7,0.7647,0.6483,0.8880,0.6895
legalBERT_processed_GNN,8,0.6951,0.5917,0.8473,0.5972
legalBERT_processed_GNN,9,0.8063,0.6532,0.9052,0.7021
legalBERT_processed_GNN,10,0.7478,0.6863,0.8585,0.7108
Average,Average,0.7538,0.6460,0.8745,0.6778
