model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.6569,0.5199,0.5602,0.4860
legalBERT_processed_GNN,2,0.6597,0.5005,0.5939,0.4850
legalBERT_processed_GNN,3,0.5945,0.5178,0.5684,0.4735
legalBERT_processed_GNN,4,0.6438,0.4971,0.5407,0.4801
legalBERT_processed_GNN,5,0.5748,0.5116,0.5451,0.4660
legalBERT_processed_GNN,6,0.5885,0.4337,0.4460,0.3969
legalBERT_processed_GNN,7,0.6751,0.4821,0.5117,0.4709
legalBERT_processed_GNN,8,0.6924,0.5138,0.4833,0.4827
legalBERT_processed_GNN,9,0.6758,0.4886,0.6395,0.4909
legalBERT_processed_GNN,10,0.6499,0.5517,0.5938,0.5306
Average,Average,0.6411,0.5017,0.5483,0.4763
