model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.9006,0.7471,0.9517,0.8104
legalBERT_processed_GNN,2,0.9280,0.8129,0.9665,0.8726
legalBERT_processed_GNN,3,0.8935,0.7899,0.9355,0.8379
legalBERT_processed_GNN,4,0.8766,0.7768,0.9112,0.8221
legalBERT_processed_GNN,5,0.8957,0.7773,0.9394,0.8322
legalBERT_processed_GNN,6,0.9137,0.7387,0.9510,0.8031
legalBERT_processed_GNN,7,0.8754,0.7329,0.9397,0.7953
legalBERT_processed_GNN,8,0.8921,0.9184,0.9460,0.9241
legalBERT_processed_GNN,9,0.9135,0.7118,0.9572,0.7741
legalBERT_processed_GNN,10,0.8833,0.7980,0.9208,0.8413
Average,Average,0.8972,0.7804,0.9419,0.8313
