model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.6933,0.6008,0.8540,0.6151
legalBERT_processed_GNN,2,0.7691,0.6423,0.8958,0.6928
legalBERT_processed_GNN,3,0.7703,0.6944,0.8668,0.7205
legalBERT_processed_GNN,4,0.7964,0.6956,0.8894,0.7353
legalBERT_processed_GNN,5,0.7353,0.6374,0.8604,0.6647
legalBERT_processed_GNN,6,0.7540,0.6068,0.8770,0.6435
legalBERT_processed_GNN,7,0.7633,0.6336,0.8864,0.6725
legalBERT_processed_GNN,8,0.7137,0.5970,0.8567,0.6095
legalBERT_processed_GNN,9,0.8036,0.6521,0.9038,0.7003
legalBERT_processed_GNN,10,0.7503,0.7166,0.7591,0.7049
Average,Average,0.7549,0.6477,0.8649,0.6759
