text,class
"JUDGMENT OF THE COURT (Eighth Chamber) 24 January 2013 (*) (Appeal – State aid – Tax-reduction measures – Seafarers working on board vessels registered in the Danish International Register – Article 88(3) EC – Preliminary examination stage – Commission decision not to raise objections – Action for annulment – Conditions for initiating the formal investigation procedure – Existence of doubts regarding the compatibility of the aid with the common market – Period for the examination) In Case C-646/11 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 8 December 2011, Falles Fagligt Forbund (3F), formerly Specialarbejderforbundet i Danmark (SID), established in Copenhagen (Denmark), represented by P. Torbøl, advokat, S. Aparicio Hill, abogada, and V. Edwards, Solicitor, appellant, the other parties to the proceedings being: European Commission, represented by H. van Vliet and P.-J.",NA
"Loewenthal, acting as Agents, with an address for service in Luxembourg, defendant at first instance, Kingdom of Denmark, represented by C. Vang and C. Thorning, acting as Agents, intervener at first instance, THE COURT (Eighth Chamber), composed of E. Jarašiūnas, President of the Chamber, A. Ó Caoimh (Rapporteur) and C. Toader, Judges, Advocate General: E. Sharpston, Registrar: K. Malacek, Administrator, having regard to the written procedure and further to the hearing on 12 November 2012, having decided, after hearing the Advocate General, to proceed to judgment without an Opinion, gives the following Judgment 1 By its appeal, Falles Fagligt Forbund (3F), formerly Specialarbejderforbundet i Danmark (SID) (‘3F’), the general trade union for workers in Denmark, asks the Court to set aside the judgment of the General Court of the European Union of 27 September 2011 in Case T-30/03 RENV 3F v Commission, not yet published in the ECR (‘the judgment under appeal’), by which the General Court dismissed its action for annulment of Commission Decision C(2002) 4370 final of 13 November 2002 not to raise objections to the Danish fiscal measures applicable to seafarers employed on board vessels registered in the Danish International Register (‘the contested decision’).",NA
"Facts giving rise to the dispute 2 The facts giving rise to the dispute, as set out in paragraphs 1 to 20 of the judgment under appeal, are as follows: ‘1 On 1 July 1988 the Kingdom of Denmark adopted Law No 408 (Lovtidende 1997 A, p.",NA
"29), which entered into force on 23 August 1988, establishing a Danish International Register of Shipping (“the DIS register”).",NA
That register was in addition to the ordinary Danish register of ships (“the DAS register”).,NA
The DIS register is intended to combat the flight from Danish flags to flags of third States.,NA
Shipowners whose vessels are registered in the DIS register have the right to employ seafarers from non-member countries on those vessels at the salary rates applicable in their country of origin.,NA
"On the same date the Kingdom of Denmark adopted Laws Nos 361, 362, 363 and 364, which entered into force on 1 January 1989, introducing various fiscal measures relating to seafarers employed on board vessels registered in the DIS register (Lovtidende 1988 A, p.",NA
"30, 36230, 36330 and 36430).",NA
"In particular, those seafarers were exempted from Danish income tax, whereas seafarers employed on board vessels registered in the DAS register were subject to that tax.",NA
On 28 August 1998 … 3F … lodged a complaint with the Commission of the European Communities against the Kingdom of Denmark concerning the fiscal measures at issue.,NA
"[3F] submitted that the fiscal rules applicable to seafarers employed on board vessels registered in the DIS register constituted State aid for the purposes of Article 88 EC and that the aid scheme in question was not compatible with the common market, since it allowed tax exemptions not only to Community seafarers, that is to say, seafarers resident for tax purposes in a Member State, but also to all seafarers including non-Community seafarers, which made it contrary both to the Commission document on financial and fiscal measures concerning shipping operations with ships registered in the Community (document SEC(89) 921 final …) and to the Community guidelines on State aid to maritime transport (OJ 1997 C 205, p.",NA
"[3F] also alleged that the provisions of the double taxation conventions entered into between, first, the Kingdom of Denmark and the Republic of the Philippines and, secondly, the Kingdom of Denmark and the Republic of Singapore also constituted an unlawful aid scheme.",NA
It submitted that the Commission should initiate the procedure laid down in Article 88(2) EC and drew attention to the procedure concerning an action for failure to act provided for in Article 232 EC.,NA
"By letter of 21 October 1998 [3F] drew the Commission’s attention to its obligation to initiate the formal investigation procedure under Article 88(2) EC and stated that, according to its information, the fiscal scheme at issue had not been notified to the Commission.",NA
"By letter of 6 January 1999 [3F] stated inter alia that it would not bring an action for failure to act before the Court of Justice if the Commission gave it an assurance that it would adopt a decision within two or three months, while reserving the possibility of doing so thereafter.",NA
"By letter of 4 February 1999 the Commission requested information from the Kingdom of Denmark, in particular as to whether the aid at issue had been paid or was going to be paid.",NA
By letter of 18 March 1999 [3F] sent new observations to the Commission in relation to the meaning of “Community seafarers”.,NA
"On 19 March 1999 a meeting took place between the Commission and the Kingdom of Denmark, at which the Commission expressed its concerns regarding the specific fiscal rules which applied at that time to seafarers.",NA
"By letter of 13 April 1999 the Kingdom of Denmark replied to the Commission’s letter of 4 February 1999, stating inter alia that the tax scheme at issue had been introduced in 1988.",NA
It also indicated that it was carrying out an investigation concerning the amendment of the rules for taxing the wages of non-residents.,NA
It added that the Commission would be informed as soon as the investigation was completed and the Danish Government had decided whether a draft bill would be presented to the Danish Parliament during the following session.,NA
On 4 June 1999 [3F] informed the Commission of the answer of a Danish minister to the Danish Parliament raising the possibility that the DIS scheme might be amended.,NA
By letter of 6 December 1999 the Danish Government submitted to the Danish Parliament a draft tax bill amending the DIS scheme.,NA
By letter of 10 January 2000 [3F] sent observations concerning the effects of the unamended DIS scheme to the Commission.,NA
By letter of 3 April 2000 the Danish Ministry of Taxation informed the Commission of the amendments to the draft bill.,NA
"A meeting took place on 4 April 2000 between the Commission and the Danish authorities, at the end of which it emerged that a further review would be necessary in the light of the latest amendments to the draft bill.",NA
"By letter of 6 April 2000 the Kingdom of Denmark stated that the amendments to the draft tax bill introduced following the discussions with the Commission at the meeting of 4 April 2000 would not be submitted to the Danish Parliament until the Commission formally stated that they were not contrary to Community law, and requested a comfort letter from the Commission to that effect as soon as possible.",NA
By letters of 18 April and 15 May 2000 [3F] sent observations concerning the amendments to the draft tax bill to the Commission.,NA
"On 30 November 2000 the Commission sought additional information from the Kingdom of Denmark, in particular concerning fiscal issues.",NA
The Kingdom of Denmark responded to that request on 15 January 2001.,NA
"[3F] sent observations to the Commission by letters of 1 February, 29 June and 5 November 2001.",NA
"A meeting took place on 27 May 2002 between the Commission and [3F], at which [3F] raised the possibility of bringing an action for failure to act.",NA
"… 20 On 13 November 2002 the Commission adopted [the contested decision], in which it decided not to raise any objections to the fiscal measures applied since 1 January 1989 to seafarers employed on board vessels registered in Denmark in either the DAS or the DIS register, since it considered that the arrangements constituted State aid but were compatible with the common market in accordance with Article 87(3)(c) EC.’ Proceedings before the General Court and the Court of Justice 3 By application lodged at the Registry of the Court of First Instance (now ‘the General Court’) on 30 January 2003, 3F sought the annulment of the contested decision.",NA
"By separate document lodged at the Registry of the General Court on 17 March 2003, the Commission raised a plea of inadmissibility under Article 114 of the Rules of Procedure of the General Court, asking the General Court to dismiss the action as manifestly inadmissible.",NA
"By order of 23 April 2007 in Case T-30/03 SID v Commission, the General Court dismissed the action as inadmissible.",NA
"By application lodged at the Registry of the Court of Justice on 9 July 2007, 3F brought an appeal pursuant to Article 56 of the Statute of the Court of Justice against that order.",NA
