text,class
"Reports of Cases JUDGMENT OF THE COURT (Tenth Chamber) 9 March 2017 * (Appeal — State aid — Transfer of mines at a price below real market value — Exemption from taxes on the transfer transaction — Assessment of the amount of the advantage granted) In Case C-100/16 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 18 February 2016, Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou, represented by V. Christianos and I. Soufleros, dikigoroi, appellant, the other parties to the proceedings being: Hellenic Republic, applicant at first instance, European Commission, represented by É. Gippini Fournier and A. Bouchagiar, acting as Agents, defendant at first instance, THE COURT (Tenth Chamber), composed of M. Berger, President of the Chamber, A. Borg Barthet and E. Levits (Rapporteur), Judges, Advocate General: M. Wathelet, Registrar: A. Calot Escobar, having regard to the written procedure, having decided, after hearing the Advocate General, to proceed to judgment without an Opinion, gives the following * Language of the case: English.",0
EN ECLI:EU:C:2017:194 1 JUDGMENT OF 9.,0
"7 — CASE C-100/16 P ELLINIKOS CHRYSOS v COMMISSION Judgment 1 By its appeal, Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou (‘Ellinikos Chrysos’) asks the Court to set aside the judgment of the General Court of 9 December 2015, Greece and Ellinikos Chrysos v Commission (T-233/11 and T-262/11, ‘the judgment under appeal’, EU:T:2015:948), in so far as, by that judgment, the General Court dismissed its action for the annulment of Commission Decision 2011/452/EU of 23 February 2011 on the State aid C 48/08 (ex NN 61/08) implemented by Greece in favour of Ellinikos Chrysos AE (OJ 2011 L 193, p.",0
", ‘the decision at issue’).",0
Background to the dispute and the decision at issue 2 Until 2003 TVX Hellas AE operated the Cassandra (Greece) gold mines.,0
"Under an extrajudicial settlement of 12 December 2003, the Hellenic Republic acquired the ownership of the assets of TVX Hellas for EUR 11 million and, released it, together with TVS Hellas’ parent company TVX Gold Inc., from any administrative or criminal liability or any obligation for possible infringements of environmental protection legislation.",0
"Article 51 of Law No 3220/2004 ratified that settlement, whereas Article 52 of that law ratified the contract whereby the Hellenic Republic transferred the assets of TVX Hellas to Ellinikos Chrysos for the sum of EUR 11 million.",0
"Those assets consist of gold mines, land and gold stocks.",0
"In addition, the acquirer undertook, first, to carry out the actions and procedures for environmental protection and maintenance within the time limit provided for granting the necessary authorisations and approvals, and, second, to commence the measures necessary for the start of the operation of the Cassandra mines within a period of three months.",0
"Third, the acquirer undertook to complete an investment project on the development of those mines and on the construction and operation of the gold processing plant, within a period of 24 months.",0
