source_text,target_text,relation,source_type,target_type,file_name
"Moreover, in so far as AEP presented that argument for the first time at the stage of the written procedure before the Court of Justice, it follows from settled case-law that to allow a party to put forward for the first time before the Court of Justice a plea in law which it has not raised before the General Court would in effect allow that party to bring before the Court a wider case than that heard by the General Court.",that that transfer is not sufficient for it to be established that it carries on the activi,no-relation,premise,non-argumentative,R2010_AceaElectrabel Produzione SpA v European Commission
"necessary, first, for there to be aid favouring certain undertakings or the production of certain goods and, second, for that advantage to come from the State or State resources.","Article 92 of the Treaty states: 'Save as otherwise provided in this Treaty, any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods shall, in so far as it affects trade between Member States, be incompatible with the common market.'",support,premise,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"Since the objective of the Commission’s single ground of appeal is precisely to contest the legal analysis of the obligation of the Court of First Instance to provide a statement of reasons, the Commission cannot be criticised for inviting the Court of Justice to re-examine the substance of the contested decision.","Appeals against the judgments of the Court of First Instance are governed, however, by the terms of Article 225(1) EC and the Statute of the Court of Justice.",support,premise,premise,R2006_European Commission v Italian Republic
"It is selective, as follows from the reasoning set out in paragraphs 41 and 47 to 55 of the present judgment, only if, within the context of a particular legal regime, it has the effect of conferring an advantage on certain undertakings over others, in a different sector or the same sector, which are, in the light of the objective pursued by that regime, in a comparable factual and legal situation.","The General Court also noted, in paragraphs 30 and 31 of the judgment under appeal, that it was clear from the decision at issue and the 2006 schedule that the possibility of applying reduced charges, within the framework of discounts provided for by that schedule, was dependent on an agreement concluded directly between the operator of L�beck Airport and an airline, without intervention on the part of the supervisory authority, and that it was indeed by means of agreements concluded directly between FL and Ryanair that special charges, derogating from those laid down by the 2006 schedule, had been applied to that airline.",no-relation,premise,premise,R2016_European Commission v Hansestadt Lübeck
the act in question would have been an action for failure to act.,"permits, or refer the case back to the General Court for judgment.",no-relation,non-argumentative,non-argumentative,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
"By the first part of its second ground of appeal, the Commission claims that the General Court erred in law in its interpretation of the concepts of ‘new aid’ and ‘existing aid’.","It must be added that a sufficiently broad interpretation of the concept of ‘new aid’, within the meaning of Article 1(c) of Regulation No 659/1999, covering not only the alteration made by the Member State concerned to an existing aid scheme, in breach of the authorisation conditions for that scheme, but also the entire aid scheme as altered, makes it possible to ensure the effectiveness of the system of review of State aid in the European Union by promoting compliance by the Member State concerned with the authorisation conditions for the aid scheme.",no-relation,non-argumentative,premise,A2017_European Commission v Italian Republic_DT
"persons (Belgium and Forum 187 v Commission, paragraph 59).","Belgium and Forum 187 v Commission, paragraph 60).",support,premise,premise,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
The Commission claims that the Court should:,"By the second part of its single ground of appeal, Ryanair argues that the ATT rate of EUR 10 per passenger cannot constitute the 'reference' rate for the purpose of determining whether the lower rate of ATT may be characterised as State aid because, by analogy with the Court's finding in its judgment of 6 February 2003, Stylianakis (C-92/01, EU:C:2003:72), the rate of EUR 10 per passenger was at odds with Article 56 TFEU and Regulation No 1008/2008. To take the higher rate as the reference rate would undermine the consistency of EU law.",no-relation,non-argumentative,non-argumentative,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
"Court that there existed alternative methods enabling recovery, if only in part, of the aid in question.",State concerned are real and that there are no alternative methods of recovery.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"The deferral of payment does not constitute an alteration of a purely formal or administrative nature, nor can it be qualified as an increase in the original budget of an aid scheme within the meaning of Article 4(1) of Regulation No 794/2004.","In addition, in paragraphs 54 to 56 of the originating application, the Italian Republic claimed that the withdrawal of the aid resulting from the deferral of payment, in itself, is equivalent to the consequence laid down in the TFEU in the event of a finding that that aid is unlawful, and therefore should not also lead to the withdrawal of aid legally granted beforehand under the system of staggered payments.",no-relation,premise,premise,A2017_European Commission v Italian Republic_DT
"which is not a direct competitor of the beneficiary of the aid,",whether there are doubts as to the compatibility of the aid with the common market.,no-relation,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"to be recovered, it was necessary to specify the amount of aid.","Accordingly, the second ground must be rejected in its entirety.",no-relation,non-argumentative,conclusion,R2011_France Télécom SA v European Commission
The first part of the first ground of appeal must accordingly be rejected.,applicable to horse-race betting in France but also took account of it.,support,conclusion,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"Therefore, contrary to what the Commission submits, the Italian Republic argued in its application at first instance that the Commission had infringed Article 1(c) of Regulation No 659/1999 by classifying, in the decision at issue, the staggering of payments as new and unlawful aid, and by wrongly requiring that Member State to recover that aid.","Moreover, the complaint concerning the infringement of that provision is formulated differently from the one concerning the infringement of Article 4(1) of Regulation No 794/2004 and the failure to state adequate reasons.",support,premise,premise,A2017_European Commission v Italian Republic_DT
at issue constituted State aid.,rate of levy was not limited in nature.,support,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
the European Union’s judicial system.,their power to impose penalties on the basis of a series of provisions of the applicable tax legislation.,no-relation,non-argumentative,non-argumentative,R2013_Telefónica SA v European Commission
