text,label
"It follows from the rules governing the procedure before the Courts of the European Union, in particular Article 21 of the Statute of the Court and Article 44(1) of the Rules of Procedure of the General Court, that the dispute is in principle determined and circumscribed by the parties and that the Courts of the European Union may not rule ultra petita.",prem
"While certain pleas may, and indeed must, be raised by the courts of their own motion, such as the question whether a statement of reasons for the decision at issue is lacking or is inadequate, which falls within the scope of essential procedural requirements, a plea going to the substantive legality of that decision, which falls within the scope of infringement of the Treaties or of any rule of law relating to their application, within the meaning of Article 263 TFEU, can, by contrast, be examined by the Courts of the European Union only if it is raised by the applicant (see, to that effect, Case C-367/95 P Commission v Sytraval and Brink’s France [1998] ECR I-1719, paragraph 67; Case C-265/97 P VBA v Florimex and Others [2000] ECR I-2061, paragraph 114; and Commission v Ireland and Others, paragraph 40).",prem
"Consequently, a plea based on an infringement of Article 87(1) EC because of the non‑attributability of the measure in question to the State cannot be raised by a court of its own motion.",prem
"In this case, after stating in paragraphs 73 and 74 of the judgment under appeal that, before advantages can be classified as State aid within the meaning of Article 87(1) EC, they must, in particular, be attributable to the State, the General Court, in paragraphs 98 and 99 of the judgment under appeal, rejected the Commission’s arguments that the authorisation decisions could not, in any event, have the effect of relieving Ireland, the French Republic and the Italian Republic of their obligation to comply with State aid rules and procedures and that the Council was not entitled, in exercising its own powers in the area of fiscal harmonisation, to encroach on the Commission’s powers in the area of State aid.",prem
"The General Court held that the advantages which the exemptions at issue might have conferred on their beneficiaries had been granted in accordance with the authorisation decisions, and consequently they were attributable not to the Member States but to the European Union and, accordingly, the Commission was not entitled, even in the exercise of its almost exclusive powers under Articles 87 EC and 88 EC, to classify those exemptions as State aid.",prem
"In paragraph 104 of the judgment under appeal, the General Court concluded that the authorisation decisions precluded the Commission being able to attribute the exemptions at issue to the Member States concerned and, therefore, being able to classify them as State aid within the meaning of Article 87(1) EC and ordering their partial recovery to the extent that it regarded them as not compatible with the internal market, within the meaning of Article 87(3) EC.",prem
"Consequently, in paragraph 110 and in the operative part of the judgment under appeal, the General Court annulled the contested decision ‘in so far as it finds, or is based on the finding, that the exemptions [at issue] constituted State aid, within the meaning of Article 87(1) EC’ and in so far as it orders the recovery of those exemptions from their beneficiaries.",prem
"By holding that the exemptions at issue were attributable to the European Union, the General Court, rather than raising a plea based on an infringement of essential procedural requirements, as suggested by Ireland and the Italian Republic, instead raised a plea going to the substantive legality of the contested decision, which falls within the scope of an infringement of the EC Treaty.",prem
"Yet, as submitted by the Commission and as stated by the Advocate General in points 57 to 63 of his Opinion, none of the applicants before the General Court relied on such a plea.",prem
"It is clear from the General Court’s file that the question of attributability of the exemptions at issue, merely alluded to by the Commission in its defence in Case T‑56/06, and by Eurallumina in its reply in Case T‑62/06, where however it stated that ‘[h]owever … it is not necessary to address this issue’, was introduced into the debate by the General Court by sending a written question to the parties, and, it may be added, it is also clear from paragraph 98 of the judgment under appeal.",prem
"Contrary to what is maintained by the French Republic, Eurallumina and AAL, it cannot be held that the General Court engaged in an amplification of the pleas raised by the parties.",prem
"Although the General Court may have linked the question of the attributability of the exemptions at issue with the pleas relied on by the parties, alleging infringement of the principles of the presumption of legality attaching to European Union measures and legal certainty, it remains the case, first, that that question derives from a plea in law which is distinct and different in kind, its subject being not an infringement of general principles of European Union law but an infringement of the EC Treaty and, secondly, that the parties, as is clear from, in particular, the account of the parties’ pleas set out in paragraphs 53 to 56 of the judgment under appeal, did not plead those principles with a view to the court finding that the exemptions at issue did not constitute State aid.",prem
"It follows that, by raising of its own motion the plea that the exemptions at issue were attributable not to the Member States but to the European Union, and, for that reason, did not constitute State aid within the meaning of Article 87(1) EC, the General Court caused the judgment under appeal to be vitiated by an error in law.",prem
"However, the reasoning relating to the attributability of the exemptions at issue, dealt with only in paragraphs 73, 74, 98, 99 and 104 of the judgment under appeal, constitutes only one element of the grounds stated in that judgment.",prem
It is therefore necessary to examine whether that judgment remains well founded on the basis of the other grounds stated.,prem
"The General Court, in addition to the considerations relating to the non‑attributability of the exemptions at issue to the Member States, based the judgment under appeal on the following grounds.",prem
"In paragraphs 63 to 72 of the judgment under appeal, the General Court held, first, that, in the light of the fact that the rules governing the harmonisation of national fiscal legislation and the rules on State aid have a shared objective, namely to promote the proper functioning of the internal market, by combating, inter alia, distortions of competition, the concept of distortion of competition had to be regarded as having the same scope and the same meaning in both those areas, in order to ensure the consistent implementation of those rules.",prem
