text,label
"To determine whether the appellant should be regarded as concerned within the meaning of Article 88(2) EC and its application therefore declared admissible, the Court of First Instance began by considering whether the appellant’s competitive position in the market was affected by the granting of aid.",prem
The Commission’s argument that the judgment in ATM was sufficient ground in itself for rejecting the appellant’s arguments relating to its competitive position cannot be accepted.,prem
"The first part of paragraph 32 of the order under appeal concerns the alleged competitive position of the appellant in relation to its members’ employers, namely the shipowners who benefit from the aid resulting from the fiscal measures at issue, not its alleged competitive position in relation to other trade unions in the negotiation of collective agreements, which is a separate argument referred to in the second part of paragraph 32.",prem
"Even if the appellant had argued that it was in a competitive position in relation to the shipowners – which it denied at the hearing – it was still open to it, despite the ATM judgment, to attempt to show that it had standing to bring proceedings because its interests might be affected by the granting of aid, by reason of the effect of the measures on its competitive position in relation to other trade unions whose members are employed on board vessels registered in the DIS register.",prem
"As to the Court of First Instance’s interpretation of Albany in paragraph 32 of the order under appeal, it must be observed that the Albany case concerned a collective agreement establishing a supplementary pension scheme managed by a pension fund in the textile industry sector, affiliation to which could be made compulsory by the public authorities.",prem
"Albany International BV, an undertaking in the textile sector, had refused to pay the fund the contributions for a certain period, on the ground that compulsory affiliation to the fund, by virtue of which those contributions were claimed from it, was inter alia contrary to Article 85(1) of the Treaty.",prem
"Before concluding that Article 85(1) of the Treaty did not apply in those circumstances, the Court pointed out, in paragraph 54 of Albany, that, under Article 3(g) and (i) of the EC Treaty (now, after amendment, Article 3(1)(g) and (j) EC), the activities of the Community are to include not only a ‘system ensuring that competition in the internal market is not distorted’ but also ‘a policy in the social sphere’.",prem
"Article 2 of the EC Treaty (now, after amendment, Article 2 EC) declares that a particular task of the Community is ‘to promote … a harmonious and balanced development of economic activities’ and ‘a high level of employment and of social protection’.",prem
"Moreover, it is apparent from the first paragraph of Article 136 EC that the Community and the Member States have as their objectives inter alia the promotion of employment, improved living and working conditions, so as to make possible their harmonisation while the improvement is being maintained, proper social protection, and dialogue between management and labour.",prem
"Under Article 138(1) EC the Commission has the task of promoting the consultation of management and labour at Community level, and that dialogue may, should they so desire, lead to contractual relations.",prem
"The Commission also takes any relevant measure to facilitate their dialogue by ensuring balanced support for the parties (see, to that effect, Albany, paragraphs 55 to 58, with respect to the EEC Treaty and the Agreement on social policy concluded between the Member States of the European Community with the exception of the United Kingdom of Great Britain and Northern Ireland (OJ 1992 C 191, p. 91) before the entry into force of the Treaty of Amsterdam).",prem
The Court accepted in Albany that some restrictions of competition are inherent in collective agreements between organisations representing employers and workers.,prem
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.",prem
"In those circumstances, the Court found that agreements concluded in the context of collective negotiations between management and labour in pursuit of such objectives must, by virtue of their nature and purpose, be regarded as falling outside the scope of that provision.",prem
"The Court then considered whether the nature and purpose of the agreement at issue in Albany justified its exclusion from the scope of Article 85(1) of the Treaty, and concluded that, in that case, its exclusion from the scope of that provision was justified (see Albany, paragraphs 59 to 64).",prem
"It thus follows from Albany, and from the later judgments which confirmed Albany, that it is for the competent authorities and courts to consider, in each individual case, whether the nature and purpose of the agreement in question and the social policy objectives pursued by it warrant its exclusion from the scope of Article 81(1) EC (see, to that effect, inter alia, Case C‑222/98 Van der Woude [2000] ECR I‑7111, paragraph 23).",prem
"In the present case, as may be seen from paragraph 34 of the order under appeal, the appellant as an organisation representing workers is by definition established to promote the collective interests of its members.",prem
"According to the observations it submitted to the Court of First Instance, as set out in paragraphs 17 to 20 of the order under appeal, it is an economic operator which negotiates the terms and conditions on which labour is provided to undertakings.",prem
