text,label
"With regard to the Commission’s claim that the first ground of appeal is inadmissible, it should be noted that that ground, which forms part of the submissions relating to the existence of State aid, was put forward at first instance in the context of the first and second pleas relied on before the General Court.",prem
"As regards whether that ground is well founded, according to settled case-law, the definition of aid is more general than that of a subsidy.",prem
"It includes not only positive benefits but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which thus, without being subsidies in the strict sense of the word, are similar in character and have the same effect (see, Joined Cases C‑78/08 to C‑80/08 Paint Graphos and Others [2011] ECR I‑0000, paragraph 45 and the case-law cited).",prem
"It should also be noted that the concept of advantage that is intrinsic to the classification of a measure as State aid is an objective one, irrespective of the motives of the persons responsible for the measure in question.",prem
"Accordingly, the nature of the objectives pursued by State measures and their grounds of justification have no bearing whatsoever on whether such measures are to be classified as State aid.",prem
"It is established case-law that Article 87(1) EC does not distinguish between the causes or the objectives of State aid, but defines them in relation to their effects (see Case C‑409/00 Spain v Commission [2003] ECR I‑1487, paragraph 46 and the case-law cited).",prem
"As regards the present case, it should be noted that the tax regime to which FT was subject during the second period under consideration, namely during the years from 1994 to 2002, constituted an exception to the general law regime.",prem
"In particular, that company benefited from specific tax treatment at national level, characterised by the fact that business tax was calculated on the basis of a weighted average rate, as opposed to the various rates applicable in the different local authorities, whereas the rates to which other undertakings were subject were those voted annually by those authorities.",prem
"Moreover, FT was subject to a single rate of business tax in its principle place of business, whereas other undertakings were taxed at the different rates voted by the local authorities in the territory within which those undertakings had establishments.",prem
"A rate of 1.9% was also applied to FT, as opposed to the rate of 8% applicable to other undertakings, in respect of management costs.",prem
"As regards the argument relied on in the present appeal that the General Court’s examination of the tax regime at issue should have taken account of a number of variables and extraneous factors, it should be noted that, even though, given the particular characteristics of that regime, the Commission was not in a position to determine in advance for each tax year the precise level of taxation for that year, it is nevertheless accepted that the regime was capable of resulting and in fact resulted – as is apparent from recital 59 of the contested decision and paragraph 225 of the judgment under appeal – in FT’s liability to business tax being lower than it would have been if the general law business tax regime had been applied.",prem
"It should also be noted that, irrespective of the rates of business tax adopted by the local authorities, FT benefited in all circumstances from a reduced rate in respect of management costs.",prem
"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",prem
"Contrary to the French Republic’s and FT’s claims, such circumstances do not in any way preclude the possibility that, even at the time of its adoption, the special tax regime could have been classified as State aid for the purposes of Article 87(1) EC.",prem
"Indeed, it is necessary to make a distinction between, on the one hand, the adoption of an aid scheme, namely in the present case the special tax regime, and, on the other, the grant of annual aid to FT on the basis of that regime, the precise total amount of which depended on certain external factors.",prem
"As the Advocate General stated at point 59 of his Opinion, the present case involves a dual categorisation, in which the existence of an advantage is attributable, first, to a fixed element forming part of the special tax regime applied to FT, as opposed to the general law regime, and, second, to a variable element, which depends on factual circumstances, namely the location of premises or land in the various local authorities and the tax rate applicable in those authorities.",prem
"On account of its specific features, as described at paragraph 18 above, the special tax regime could have resulted in FT’s liability to tax being less than it would have been had it been subject to business tax under the general law regime.",prem
"The fact that FT’s liability to professional tax was indeed lower as of 1994 is directly attributable to the specific features of the special tax regime applied to it, even though the exact amount of annual aid received by it under that regime depended on certain factors unrelated to the regime.",prem
"It is also apparent from the structure of the judgment under appeal that paragraph 323 of that judgment, which refers to circumstances unrelated to the special tax regime, concerns only the annual aid granted to FT under the special tax regime.",prem
"In fact, that paragraph forms part of the analysis of the plea relating to the limitation in time of the Commission’s power to recover unlawful aid.",prem
"The findings of the General Court in connection with that plea can relate only to aid actually received and, therefore, concern only the aid from which FT benefited under the special tax regime.",prem
"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",prem
"At paragraph 201 of the judgment under appeal, the General Court examined the part of the contested decision which found that the aid derived from a tax differential representing the difference between the amount which FT would have had to pay by way of business tax contributions if it had been subject to the tax under the general law and the amount which it was actually charged under the tax regime at issue.",prem
"The General Court verified that there was a genuine tax differential at paragraphs 219 to 225 of the judgment, without its findings in that regard being called into question by FT.",prem
"As regards the purported substitution of grounds on the part of the General Court, it is sufficient to note that the court did not exceed its powers of review in substituting its own assessment for that of the Commission, since the tax differential in question and the fact that the business tax is paid annually, as provided for in the General Tax Code, form an integral part of the reasoning adopted by the Commission in the contested decision.",prem
Recital 42 of the contested decision states that ‘the difference between the business tax actually paid by FT and that which should have been due under the ordinary law from 1 January 1994 to 1 January 2003 constitutes State aid inasmuch as it represents an advantage for FT granted through resources which would otherwise have been incorporated in the budget of the State’.,prem
Recital 49 of the decision states that the professional tax was payable annually.,prem
"Furthermore, the point is also made that business tax is payable annually at recital 25 of the decision initiating the formal investigation, to which recital 15 of the contested decision refers.",prem
"Consequently, the General Court’s interpretation to the effect that the aid at issue consisted in the tax differential deriving from the application of the provisions establishing a special regime is consistent with the enacting terms of the contested decision, which categorises the regime applicable to FT between the years 1994 and 2002 as aid which is incompatible with the common market.",prem
"Indeed, it is by virtue of that special regime that FT was not required to pay business tax in the amounts for which it would normally have been liable under the general law tax regime.",prem
The second part of the second ground of appeal must therefore be rejected.,prem
