text,label
"The Commission, the EFTA Surveillance Authority and Iberdrola claim, in essence, that, in examining whether the private investor test was applicable in the circumstances, the General Court took into account, for that purpose, the objective pursued by the French State when it adopted the contested measure;",prem
"secondly, it confused the roles of the State as shareholder and the State exercising its powers of taxation;",prem
"thirdly, it acted in breach of the principle of equal treatment as between public and private undertakings;",prem
"and, fourthly, it infringed the rules regarding allocation of the burden of proof.",prem
"According to case-law, a measure granted through State resources which puts the recipient undertaking in a more favourable financial situation than that of its competitors and which, for that reason, distorts or threatens to distort competition and affects trade between Member States is not excluded outright from being categorised as ‘aid’ for the purposes of Article 87 EC because of the aims pursued by that State (see, to that effect, Case C-6/97 Italy v Commission [1999] ECR I-2981, paragraph 15; Case C-156/98 Germany v Commission [2000] ECR I-6857, paragraph 25 and the case-law cited; and Joined Cases C-71/09 P, C-73/09 P and C-76/09 P Comitato ‘Venezia vuole vivere’ and Others v Commission [2011] ECR I-4727, paragraph 94 and the case-law cited).",prem
"Article 87(1) EC does not distinguish between measures of State intervention by reference to their causes or their aims but defines them in relation to their effects (Comitato ‘Venezia vuole vivere’ and Others v Commission, paragraph 94 and the case-law cited).",prem
"However, it is also clear from settled case-law that the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 87 EC are not met if the recipient public undertaking could, in circumstances which correspond to normal market conditions, obtain the same advantage as that which has been made available to it through State resources.",prem
"In the case of public undertakings, that assessment is made by applying, in principle, the private investor test (see, to that effect, Case C-303/88 Italy v Commission [1991] ECR I-1433, paragraph 20; Case C-482/99 France v Commission [2002] ECR I-4397, paragraphs 68 to 70; and Comitato ‘Venezia vuole vivere’ and Others v Commission, paragraph 91 and the case-law cited).",prem
"In particular, it is clear from case-law that, in order to assess whether the same measure would have been adopted in normal market conditions by a private investor in a situation as close as possible to that of the State, only the benefits and obligations linked to the situation of the State as shareholder — to the exclusion of those linked to its situation as a public authority — are to be taken into account (see, to that effect, Case 234/84 Belgium v Commission [1986] ECR 2263, paragraph 14; Case 40/85 Belgium v Commission [1986] ECR 2321, paragraph 13; Joined Cases C-278/92 to C-280/92 Spain v Commission [1994] ECR I-4103, paragraph 22; and Case C-334/99 Germany v Commission [2003] ECR I-1139, paragraph 134).",prem
"It follows that the roles of the State as shareholder of an undertaking, on the one hand, and of the State acting as a public authority, on the other, must be distinguished , as has been correctly argued by the Commission, the EFTA Surveillance Authority and Iberdrola and as the General Court held in paragraphs 223 to 228 of the judgment under appeal.",prem
"The applicability of the private investor test ultimately depends, therefore, on the Member State concerned having conferred, in its capacity as shareholder and not in its capacity as public authority, an economic advantage on an undertaking belonging to it.",prem
"It follows that, if a Member State relies on that test during the administrative procedure, it must, where there is doubt, establish unequivocally and on the basis of objective and verifiable evidence that the measure implemented falls to be ascribed to the State acting as shareholder .",prem
"That evidence must show clearly that, before or at the same time as conferring the economic advantage (see, to that effect, France v Commission, paragraphs 71 and 72), the Member State concerned took the decision to make an investment, by means of the measure actually implemented, in the public undertaking.",prem
"In that regard, it may be necessary to produce evidence showing that the decision is based on economic evaluations comparable to those which, in the circumstances, a rational private investor in a situation as close as possible to that of the Member State would have had carried out, before making the investment, in order to determine its future profitability.",prem
"By contrast, for the purposes of showing that, before or at the same time as conferring the advantage, the Member State took that decision as a shareholder, it is not enough to rely on economic evaluations made after the advantage was conferred, on a retrospective finding that the investment made by the Member State concerned was actually profitable, or on subsequent justifications of the course of action actually chosen (see, to that effect, France v Commission, paragraphs 71 and 72).",prem
"If the Member State concerned provides the Commission with the requisite evidence, it is for the Commission to carry out a global assessment, taking into account — in addition to the evidence provided by that Member State — all other relevant evidence enabling it to determine whether the Member State took the measure in question in its capacity as shareholder or as a public authority .",prem
"In particular, as the General Court held in paragraph 229 of the judgment under appeal, the nature and subject-matter of that measure are relevant in that regard, as is its context, the objective pursued and the rules to which the measure is subject.",prem
"Accordingly, in the circumstances of the case, the General Court was right to hold that the objective pursued by the French State could be taken into account, in the context of the requisite global assessment, for the purposes of determining whether the State had indeed acted in its capacity as shareholder and whether, as a consequence, the private investor test was applicable in the present case.",prem
"As regards the question whether the applicability of the private investor test could be ruled out in the present case simply because the means employed by the French State were fiscal, it should be recalled that, under Article 87(1) EC, any aid granted through State resources — in any form whatsoever — which, in terms of its effects, distorts or threatens to distort competition is incompatible with the common market in so far as it affects trade between Member States (see Case C-156/98 Germany v Commission, paragraph 25 and the case-law cited).",prem
"Moreover, it has been noted in paragraph 78 above that the private investor test is applied in order to determine whether, because of its effects, the economic advantage granted, in whatever form, through State resources to a public undertaking distorts or threatens to distort competition and affects trade between Member States .",prem
"The intention underlying Article 87(1) EC and the private investor test is thus to prevent the recipient public undertaking from being placed, by means of State resources, in a more favourable position than that of its competitors (see, to that effect, Case C-387/92 Banco Exterior de España [1994] ECR I-877, paragraph 14, and Case C-6/97 Italy v Commission, paragraph 16).",prem
