text,label
"It must be observed at the outset that, as the Advocate General stated in point 47 of his Opinion, the requirement as to selectivity under Article 107(1) TFEU must be clearly distinguished from the concomitant detection of an economic advantage, in that, where the Commission has identified an advantage, understood in a broad sense, as arising directly or indirectly from a particular measure, it is also required to establish that that advantage specifically benefits one or more undertakings.",prem
"It falls to the Commission to show that the measure, in particular, creates differences between undertakings which, with regard to the objective of the measure, are in a comparable situation.",prem
It is necessary therefore that the advantage be granted selectively and that it be liable to place certain undertakings in a more favourable situation than that of others.,prem
"It must, however, be noted that the selectivity requirement differs depending on whether the measure in question is envisaged as a general scheme of aid or as individual aid.",prem
"In the latter case, the identification of the economic advantage is, in principle, sufficient to support the presumption that it is selective.",prem
"By contrast, when examining a general scheme of aid, it is necessary to identify whether the measure in question, notwithstanding the finding that it confers an advantage of general application, does so to the exclusive benefit of certain undertakings or certain sectors of activity .",prem
"It follows that the appropriate comparator for establishing the selectivity of the measure at issue in the present case was to ascertain whether the procedure for concluding and setting the terms and conditions of the agreement extending mining rights, laid down in Article 26/A(5) of the Mining Act, draws a distinction between operators that are, in the light of the objective of the measure, in a comparable factual and legal situation, a distinction not justified by the nature and general scheme of the system at issue .",prem
"It follows from those considerations that the present case must be clearly distinguished from those cases giving rise to the case-law mentioned by the Commission in support of its arguments, set out in paragraphs 54 and 56 above, seeking to criticise the analysis made by the General Court of the legal framework governing the 2005 agreement.",prem
"Those cases relate to provisions of national law granting relief on taxes or other charges (judgments in France v Commission, C‑241/94, EU:C:1996:353; Piaggio, C‑295/97, EU:C:1999:313; DM Transport, C‑256/97, EU:C:1999:332; P, C‑6/12, EU:C:2013:525; Ministerio de Defensa and Navantia, C‑522/13, EU:C:2014:2262; and British Telecommunications v Commission, C‑620/13 P, EU:C:2014:2309), or exceptions in matters of insolvency (judgment in Ecotrade, C‑200/97, EU:C:1998:579).",prem
"As the Advocate General stated in point 86 of his Opinion, there is a fundamental difference between, on the one hand, the assessment of the selectivity of general schemes for exemption or relief, which, by definition, confer an advantage, and, on the other, the assessment of the selectivity of optional provisions of national law prescribing the imposition of additional charges.",prem
"In cases in which the national authorities impose such charges in order to maintain equal treatment between operators, the simple fact that those authorities enjoy discretion defined by law, and not unlimited, as the Commission claimed in its appeal, cannot be sufficient to establish that the corresponding scheme is selective .",prem
"Consequently, it must be stated, first, that the General Court correctly held in paragraph 72 of the judgment under appeal that the margin of assessment at issue in the present case allows the fixing of an additional charge imposed on economic operators in order to take account of the imperatives arising from the principle of equal treatment, and can be distinguished, by its very nature, from cases in which the exercise of such a margin is connected with the grant of an advantage in favour of a specific economic operator.",prem
"Secondly, it cannot validly be argued that the General Court erred in law by finding, in paragraph 74 of the judgment under appeal that the fact that the rates set by year of validity of the 2005 agreement are the result of negotiation does not suffice to confer on that agreement a selective character, and that the situation would have been different only if the Hungarian authorities had exercised their margin of assessment in such a way as to favour MOL by agreeing to a low fee level without any objective reason having regard to the rationale of increasing fees in the event of an extension of authorisation and to the detriment of any other operator having sought to extend its mining rights or, if there is no such operator, where there is concrete evidence that unjustified favourable treatment has been reserved to MOL.",prem
"In addition, in order to determine whether the selective nature of the 2005 agreement had been demonstrated by the Commission, the General Court first analysed, in paragraph 79 of the judgment under appeal, the rates stipulated under that agreement and found that no evidence of unjustified preferential treatment of MOL was apparent from the decision at issue, and that therefore it could not be assumed that MOL was afforded favourable treatment in relation to any other undertaking that was potentially in a situation comparable to its own for the purposes of the case-law cited in paragraph 54 of the judgment under appeal.",prem
"Secondly, the General Court found in paragraph 80 of the judgment under appeal that, although the Commission had mentioned that there were other extension agreements in the solid minerals sector, it did not take account of them, and that in doing so it did not take into consideration all the factors by means of which it would have been in a position to assess whether the 2005 agreement was selective as regards MOL in the light of the situation created by other agreements extending mining rights, also concluded on the basis of Article 26/A(5) of the Mining Act.",prem
"Following the analysis carried out in paragraphs 70 to 74 and 79 to 80 of the judgment under appeal, the General Court was right to conclude, in paragraph 81 of that judgment, that, in the light, first, of the absence of selectivity characterising the legal framework governing the conclusion of agreements extending mining rights and given the considerations justifying the grant of a margin of assessment, and secondly, of the absence of any evidence that those authorities treated MOL favourably in relation to any other undertaking in a comparable situation, the selective nature of the 2005 agreement cannot be regarded as established.",prem
